Unnamed: 0,IND,BAL
First Downs,19,20
Rush-Yds-TDs,35-139-0,37-186-2
Cmp-Att-Yd-TD-INT,27-44-227-1-0,22-31-202-0-0
Sacked-Yards,5-39,4-24
Net Pass Yards,188,178
Total Yards,327,364
Fumbles-Lost,1-0,4-2
Turnovers,0,2
Penalties-Yards,6-31,1-5
Third Down Conv.,8-22,6-16
Fourth Down Conv.,0-1,0-1
Time of Possession,36:33,32:18
