Quarter,Time,Tm,Detail,IND,BAL
1,6:35,Ravens,Lamar Jackson 8 yard rush (Justin Tucker kick),0,7
2,6:07,Colts,Zack Moss 17 yard pass from Gardner Minshew II (Matt Gay kick),7,7
,3:26,Colts,Matt Gay 31 yard field goal,10,7
3,8:33,Colts,Matt Gay 54 yard field goal,13,7
,0:13,Ravens,Lamar Jackson 10 yard rush (Justin Tucker kick),13,14
4,11:22,Colts,Matt Gay 53 yard field goal,16,14
,7:33,Ravens,Justin Tucker 50 yard field goal,16,17
,2:03,Ravens,"Safety, Gardner Minshew sacked in end zone by",16,19
,0:57,Colts,Matt Gay 53 yard field goal,19,19
OT,1:09,Colts,Matt Gay 53 yard field goal,22,19
