Quarter,Time,Tm,Detail,ATL,MIN
1.0,7:43,Vikings,Kevin Williams 54 yard interception return (Ryan Longwell kick),0,7
3.0,1:46,Vikings,Ryan Longwell 49 yard field goal,0,10
4.0,9:23,Falcons,Matt Prater 45 yard field goal,3,10
,7:19,Vikings,Adrian Peterson 60 yard pass from Tarvaris Jackson (Ryan Longwell kick),3,17
,2:37,Vikings,Antoine Winfield 14 yard interception return (Ryan Longwell kick),3,24
