Unnamed: 0,ATL,MIN
First Downs,17,15
Rush-Yds-TDs,28-96-0,27-139-0
Cmp-Att-Yd-TD-INT,23-32-199-0-2,13-23-163-1-1
Sacked-Yards,6-30,0-0
Net Pass Yards,169,163
Total Yards,265,302
Fumbles-Lost,1-0,1-0
Turnovers,2,1
Penalties-Yards,6-40,4-35
Third Down Conv.,8-16,3-9
Fourth Down Conv.,0-0,0-0
Time of Possession,33:01,26:59
