Quarter,Time,Tm,Detail,CAR,ATL
1.0,8:19,Falcons,Todd Gurley 35 yard rush (Younghoe Koo kick),0,7
,0:57,Panthers,Joey Slye 38 yard field goal,3,7
2.0,9:06,Panthers,Joey Slye 39 yard field goal,6,7
,2:30,Panthers,D.J. Moore 57 yard pass from Teddy Bridgewater (Joey Slye kick),13,7
,0:23,Panthers,Mike Davis 3 yard pass from Teddy Bridgewater (Joey Slye kick),20,7
3.0,12:19,Falcons,Younghoe Koo 46 yard field goal,20,10
4.0,14:48,Falcons,Younghoe Koo 31 yard field goal,20,13
,1:10,Panthers,Joey Slye 22 yard field goal,23,13
,0:04,Falcons,Younghoe Koo 54 yard field goal,23,16
