Quarter,Time,Down,ToGo,Location,CAR,ATL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Falcons won the coin toss and deferred, Panthers to receive the opening kickoff.",,
1,15:00,,,ATL 35,0,0,"Younghoe Koo kicks off 65 yards, returned by Pharoh Cooper for 23 yards (tackle by Keith Smith and Jaeden Graham)",0.000,0.480
1,14:54,1,10,CAR 23,0,0,Teddy Bridgewater pass complete short left to Robby Anderson for 12 yards (tackle by Foyesade Oluokun),0.480,1.270
1,14:18,1,10,CAR 35,0,0,Teddy Bridgewater pass complete short right to D.J. Moore for 10 yards (tackle by Kendall Sheffield),1.270,1.930
1,13:47,1,10,CAR 45,0,0,Mike Davis left tackle for 7 yards (tackle by Foyesade Oluokun and Grady Jarrett),1.930,2.330
1,13:11,2,3,ATL 48,0,0,Teddy Bridgewater pass incomplete short right,2.330,1.620
1,13:07,3,3,ATL 48,0,0,Teddy Bridgewater pass incomplete short middle intended for Robby Anderson,1.620,0.070
1,13:03,4,3,ATL 48,0,0,"Joseph Charlton punts 40 yards, fair catch by Brandon Powell at ATL-8",0.070,0.380
1,12:55,1,10,ATL 8,0,0,Matt Ryan pass complete short left to Todd Gurley for 4 yards (tackle by Tahir Whitehead and Shaq Thompson),-0.380,-0.490
1,12:24,2,6,ATL 12,0,0,Matt Ryan pass complete short left to Luke Stocker for 2 yards (tackle by Shaq Thompson),-0.490,-0.720
1,11:45,3,4,ATL 14,0,0,Matt Ryan pass complete short right to Olamide Zaccheaus for 13 yards (tackle by Rasul Douglas),-0.720,0.740
1,11:15,1,10,ATL 27,0,0,"Penalty on Derrick Brown: Encroachment, 5 yards (no play)",0.740,1.470
1,11:09,1,5,ATL 32,0,0,Todd Gurley right end for 11 yards (tackle by Jeremy Chinn),1.470,1.800
1,10:28,1,10,ATL 43,0,0,Todd Gurley left tackle for 8 yards (tackle by Juston Burris and Shaq Thompson),1.800,2.330
1,9:47,2,2,CAR 49,0,0,Matt Ryan pass incomplete short left intended for Olamide Zaccheaus,2.330,1.620
1,9:44,3,2,CAR 49,0,0,Brian Hill right end for 7 yards (tackle by Rasul Douglas and Jeremy Chinn),1.620,2.790
1,9:09,1,10,CAR 42,0,0,Matt Ryan pass incomplete deep right intended for Olamide Zaccheaus,2.790,2.240
1,9:04,2,10,CAR 42,0,0,Matt Ryan pass complete short middle to Jaeden Graham for 7 yards (tackle by Shaq Thompson and Jeremy Chinn),2.240,2.480
1,8:26,3,3,CAR 35,0,6,"Todd Gurley left tackle for 35 yards, touchdown",2.480,7.000
1,8:19,,,CAR 15,0,7,Younghoe Koo kicks extra point good,0.000,0.000
1,8:19,,,ATL 35,0,7,"Younghoe Koo kicks off 66 yards, returned by Pharoh Cooper for 17 yards (tackle by Christian Blake)",0.000,-0.140
1,8:12,1,10,CAR 16,0,7,Curtis Samuel left guard for 4 yards (tackle by Tyeler Davison and Charles Harris),-0.140,0.010
1,7:38,2,6,CAR 20,0,7,Mike Davis left guard for 4 yards (tackle by Steven Means and Grady Jarrett),0.010,-0.320
1,6:56,3,2,CAR 24,0,7,Teddy Bridgewater pass complete short right to Curtis Samuel for 8 yards (tackle by Ricardo Allen),-0.320,1.070
1,6:09,1,10,CAR 32,0,7,Teddy Bridgewater pass complete short left to Mike Davis for 13 yards (tackle by Foyesade Oluokun). Penalty on Kendall Sheffield: Illegal Contact (Declined),1.070,1.930
1,5:46,1,10,CAR 45,0,7,Teddy Bridgewater pass complete short left to Mike Davis for 7 yards (tackle by Charles Harris),1.930,2.330
1,5:11,2,3,ATL 48,0,7,Trenton Cannon left end for -3 yards (tackle by Foyesade Oluokun),2.330,1.220
1,4:27,3,6,CAR 49,0,7,Teddy Bridgewater pass complete short middle to Curtis Samuel for 7 yards (tackle by Keanu Neal),1.220,2.650
1,3:45,1,10,ATL 44,0,7,Teddy Bridgewater pass complete short left to Curtis Samuel for 5 yards (tackle by AJ Terrell),2.650,2.780
1,3:05,2,5,ATL 39,0,7,Teddy Bridgewater pass incomplete short left intended for Robby Anderson,2.780,2.080
1,3:02,,,,,,Timeout #1 by Atlanta Falcons,,
1,3:02,3,5,ATL 39,0,7,"Penalty on Chris Reed: False Start, 5 yards (no play)",2.080,1.420
1,3:02,3,10,ATL 44,0,7,Teddy Bridgewater pass complete deep right to Curtis Samuel for 17 yards (tackle by Keanu Neal),1.420,3.780
1,2:30,1,10,ATL 27,0,7,Mike Davis left end for 7 yards (tackle by Kendall Sheffield and Deion Jones),3.780,4.180
1,1:50,2,3,ATL 20,0,7,Mike Davis left tackle for no gain (tackle by Keanu Neal),4.180,3.470
1,1:04,3,3,ATL 20,0,7,Teddy Bridgewater pass incomplete short left intended for Robby Anderson (defended by Kendall Sheffield),3.470,2.220
1,1:01,4,3,ATL 20,3,7,Joey Slye 38 yard field goal good,2.220,3.000
1,0:57,,,CAR 35,3,7,"Joey Slye kicks off 65 yards, touchback.",0.000,0.610
1,0:57,1,10,ATL 25,3,7,Matt Ryan pass complete short right to Calvin Ridley for 8 yards (tackle by Rasul Douglas),0.610,1.140
1,0:25,2,2,ATL 33,3,7,Todd Gurley right end for 4 yards (tackle by Shaq Thompson),1.140,1.400
Quarter,Time,Down,ToGo,Location,CAR,ATL,Detail,EPB,EPA
