Unnamed: 0,CAR,ATL
First Downs,24,21
Rush-Yds-TDs,27-124-0,24-166-1
Cmp-Att-Yd-TD-INT,27-36-313-2-0,21-37-226-0-1
Sacked-Yards,0-0,2-19
Net Pass Yards,313,207
Total Yards,437,373
Fumbles-Lost,0-0,1-0
Turnovers,0,1
Penalties-Yards,4-25,3-40
Third Down Conv.,6-12,6-13
Fourth Down Conv.,0-0,1-1
Time of Possession,33:05,26:55
