Quarter,Time,Tm,Detail,CLE,KAN
1.0,10:13,Browns,Phil Dawson 47 yard field goal,3,0
,4:12,Chiefs,Ryan Succop 30 yard field goal,3,3
,3:56,Browns,Josh Cribbs 100 yard kickoff return (Phil Dawson kick),10,3
2.0,12:32,Browns,Phil Dawson 30 yard field goal,13,3
,10:04,Chiefs,Chris Chambers 9 yard pass from Matt Cassel (Ryan Succop kick),13,10
,4:10,Chiefs,Jamaal Charles 47 yard rush (Ryan Succop kick),13,17
,2:44,Chiefs,Andy Studebaker defensive fumble recovery in end zone (Ryan Succop kick),13,24
,2:31,Browns,Josh Cribbs 103 yard kickoff return (Phil Dawson kick),20,24
3.0,13:16,Browns,Jerome Harrison 71 yard rush (Phil Dawson kick),27,24
4.0,12:09,Browns,Jerome Harrison 8 yard rush (Phil Dawson kick),34,24
,8:08,Chiefs,Ryan Succop 27 yard field goal,34,27
,2:20,Chiefs,Mark Bradley 12 yard pass from Matt Cassel (Ryan Succop kick),34,34
,0:44,Browns,Jerome Harrison 28 yard rush (Phil Dawson kick),41,34
