Quarter,Time,Tm,Detail,ATL,BUF
1.0,11:04,Falcons,Safety,2,0
,3:15,Bills,Josh Allen 1 yard rush (Tyler Bass kick),2,7
,0:35,Bills,Josh Allen 4 yard rush (Tyler Bass kick),2,14
2.0,10:08,Falcons,Younghoe Koo 28 yard field goal,5,14
,1:48,Falcons,Mike Davis 1 yard rush (Younghoe Koo kick),12,14
,0:00,Falcons,Younghoe Koo 24 yard field goal,15,14
3.0,5:56,Bills,Devin Singletary 6 yard rush (Cole Beasley pass from Josh Allen),15,22
4.0,10:46,Bills,Devin Singletary 4 yard rush (Tyler Bass kick),15,29
