Unnamed: 0,ATL,BUF
First Downs,18,28
Rush-Yds-TDs,22-96-1,44-233-4
Cmp-Att-Yd-TD-INT,13-23-197-0-0,11-26-120-0-3
Sacked-Yards,5-28,1-2
Net Pass Yards,169,118
Total Yards,265,351
Fumbles-Lost,1-1,1-0
Turnovers,1,3
Penalties-Yards,4-27,7-47
Third Down Conv.,1-7,7-12
Fourth Down Conv.,0-1,1-1
Time of Possession,23:53,36:07
