Quarter,Time,Down,ToGo,Location,DET,ATL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Falcons won the coin toss, Falcons to receive the opening kickoff.",,
1,15:00,,,DET 30,0,0,"Jason Hanson kicks off 75 yards, returned by Jerious Norwood for 31 yards (tackle by Alex Lewis)",0.000,0.670
1,14:54,1,10,ATL 26,0,0,Michael Turner left tackle for 9 yards (tackle by Ernie Sims),0.670,1.350
1,14:20,2,1,ATL 35,0,0,Michael Turner left tackle for 3 yards (tackle by Jared DeVries),1.350,1.470
1,13:42,1,10,ATL 38,0,6,"Matt Ryan pass complete deep left to Michael Jenkins for 62 yards, touchdown",1.470,7.000
1,,,,DET 2,0,7,Jason Elam kicks extra point good,0.000,0.000
1,,,,ATL 30,0,7,"Michael Koenen kicks off 68 yards, returned by Mike Furrey for 14 yards (tackle by Jerious Norwood)",0.000,-0.140
1,13:27,1,10,DET 16,0,7,Kevin Smith left tackle for 8 yards (tackle by Erik Coleman),-0.140,0.550
1,12:52,2,2,DET 24,0,7,"Penalty on Stephen Peterman: False Start, 5 yards (no play)",0.550,-0.180
1,12:35,2,7,DET 19,0,7,Jon Kitna pass complete short left to Calvin Johnson for 11 yards (tackle by Chris Houston),-0.180,0.940
1,12:00,1,10,DET 30,0,7,Jon Kitna pass complete short middle to Kevin Smith for 7 yards (tackle by Michael Boley),0.940,1.340
1,11:15,2,3,DET 37,0,7,Kevin Smith left end for -4 yards (tackle by Grady Jackson),1.340,0.100
1,10:29,3,7,DET 33,0,7,Jon Kitna pass complete short left to Michael Gaines for 5 yards (tackle by Keith Brooking),0.100,-0.850
1,9:53,4,2,DET 38,0,7,"Nick Harris punts 52 yards, returned by Adam Jennings for 10 yards (tackle by Kalvin Pearson)",-0.850,-0.280
1,9:39,1,10,ATL 20,0,7,Michael Turner left end for 3 yards (tackle by Paris Lenon),0.280,0.140
1,9:04,2,7,ATL 23,0,7,Matt Ryan pass complete short right to Ovie Mughelli for 3 yards (tackle by Jared DeVries),0.140,-0.160
1,8:22,3,4,ATL 26,0,7,Matt Ryan pass complete short right to Roddy White for 8 yards (tackle by Brian Kelly),-0.160,1.200
1,7:46,1,10,ATL 34,0,13,"Michael Turner left tackle for 66 yards, touchdown",1.200,7.000
1,,,,DET 2,0,14,Jason Elam kicks extra point good,0.000,0.000
1,,,,ATL 30,0,14,"Michael Koenen kicks off 63 yards, returned by Mike Furrey for 16 yards (tackle by Adam Jennings)",0.000,0.480
1,7:29,1,10,DET 23,0,14,Kevin Smith right tackle for 2 yards (tackle by Grady Jackson and Chauncey Davis),0.480,0.200
1,6:52,2,8,DET 25,0,14,Jon Kitna pass incomplete short left intended for Shaun McDonald (defended by Michael Boley),0.200,-0.490
1,6:48,3,8,DET 25,0,14,Jon Kitna pass incomplete short right intended for Roy E. Williams,-0.490,-1.700
1,6:43,4,8,DET 25,0,14,"Nick Harris punts 44 yards, returned by Adam Jennings for 2 yards (tackle by Alex Lewis)",-1.700,-1.140
1,6:31,1,10,ATL 33,0,14,Matt Ryan pass complete short right to Michael Turner for 6 yards (tackle by Alex Lewis),1.140,1.400
1,5:53,2,4,ATL 39,0,14,Jerious Norwood up the middle for 3 yards (tackle by Shaun Cody),1.400,1.090
1,5:18,3,1,ATL 42,0,14,Michael Turner right tackle for 2 yards (tackle by Shaun Cody),1.090,1.860
1,4:37,1,10,ATL 44,0,14,Jerious Norwood right tackle for 17 yards (tackle by Leigh Bodden and Ernie Sims),1.860,2.980
1,3:56,1,10,DET 39,0,14,"Michael Turner left end for 29 yards (tackle by Gerald Alexander and Dwight Smith). Penalty on Brian Kelly: Face Mask (15 Yards), 5 yards",2.980,6.060
1,3:25,1,5,DET 5,0,20,"Michael Turner left tackle for 5 yards, touchdown",6.060,7.000
1,,,,DET 2,0,21,Jason Elam kicks extra point good,0.000,0.000
1,,,,ATL 30,0,21,"Michael Koenen kicks off 67 yards, returned by Marcus Thomas for 23 yards (tackle by Jerious Norwood)",0.000,0.670
1,3:14,1,10,DET 26,0,21,Kevin Smith up the middle for -2 yards (tackle by Grady Jackson),0.670,-0.140
1,2:34,2,12,DET 24,0,21,Jon Kitna pass complete short left to Calvin Johnson for 7 yards (tackle by Chris Houston),-0.140,0.100
1,1:52,3,5,DET 31,0,21,"Jon Kitna pass incomplete short left intended for Michael Gaines. Penalty on Chevis Jackson: Defensive Holding, 5 yards (no play)",0.100,1.330
1,1:47,1,10,DET 36,0,21,Jon Kitna pass complete deep middle to Calvin Johnson for 21 yards (tackle by Erik Coleman),1.330,2.720
1,1:05,1,10,ATL 43,0,21,Jon Kitna sacked by John Abraham for -8 yards,2.720,1.100
1,0:32,2,18,DET 49,0,21,Kevin Smith left tackle for 9 yards (tackle by Erik Coleman),1.100,1.620
Quarter,Time,Down,ToGo,Location,DET,ATL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,9,ATL 42,0,21,Jon Kitna pass complete short left to Mike Furrey for 2 yards (tackle by Michael Boley),1.620,0.590
2,14:28,4,7,ATL 40,0,21,"Nick Harris punts 31 yards, fair catch by Adam Jennings",0.590,0.380
2,14:20,1,10,ATL 9,0,21,Matt Ryan right end for 2 yards,-0.380,-0.630
2,13:45,2,8,ATL 11,0,21,Michael Turner left tackle for 11 yards (tackle by Ernie Sims and Dwight Smith),-0.630,0.410
2,13:02,1,10,ATL 22,0,21,Michael Turner left end for 7 yards (tackle by Ryan Nece),0.410,0.810
2,12:20,2,3,ATL 29,0,21,Jerious Norwood left end for -1 yards (tackle by Ernie Sims),0.810,-0.030
2,11:45,,,,0,21,Timeout #1 by Detroit Lions,0.000,-0.030
2,11:45,3,4,ATL 28,0,21,Matt Ryan pass complete short left to Jerious Norwood for 3 yards (tackle by Jordon Dizon),-0.030,-1.310
2,11:10,4,1,ATL 31,0,21,Michael Koenen punts 28 yards,-1.310,-1.660
2,11:02,1,10,DET 41,0,21,Jon Kitna pass complete short right to Calvin Johnson for 9 yards (tackle by Brent Grimes),1.660,2.340
2,10:23,2,1,,0,21,Kevin Smith up the middle for no gain (tackle by Curtis Lofton and Grady Jackson),2.340,1.620
2,9:40,3,1,,0,21,"Penalty on Dominic Raiola: False Start, 5 yards (no play)",1.620,0.960
