Unnamed: 0,DET,ATL
First Downs,21,23
Rush-Yds-TDs,21-70-1,42-318-3
Cmp-Att-Yd-TD-INT,24-33-262-2-1,9-13-161-1-0
Sacked-Yards,3-16,1-5
Net Pass Yards,246,156
Total Yards,316,474
Fumbles-Lost,1-0,0-0
Turnovers,1,0
Penalties-Yards,5-30,7-68
Third Down Conv.,2-9,3-9
Fourth Down Conv.,0-0,0-0
Time of Possession,30:53,29:07
