Unnamed: 0,ATL,NYJ
First Downs,12,17
Rush-Yds-TDs,28-86-0,33-99-0
Cmp-Att-Yd-TD-INT,16-34-152-1-0,18-32-226-1-3
Sacked-Yards,0-0,2-11
Net Pass Yards,152,215
Total Yards,238,314
Fumbles-Lost,0-0,1-0
Turnovers,0,3
Penalties-Yards,4-25,6-65
Third Down Conv.,7-18,5-15
Fourth Down Conv.,1-1,1-2
Time of Possession,29:36,30:24
