Unnamed: 0,JAX,KAN
First Downs,20,14
Rush-Yds-TDs,35-156-1,10-10-0
Cmp-Att-Yd-TD-INT,20-27-218-1-0,25-43-279-1-1
Sacked-Yards,4-17,3-18
Net Pass Yards,201,261
Total Yards,357,271
Fumbles-Lost,0-0,1-0
Turnovers,0,1
Penalties-Yards,5-30,3-25
Third Down Conv.,8-15,4-14
Fourth Down Conv.,0-1,2-2
Time of Possession,36:43,23:17
