Quarter,Time,Tm,Detail,JAX,KAN
1.0,0:00,Jaguars,John Carney 20 yard field goal,3,0
2.0,8:36,Jaguars,Maurice Jones-Drew 52 yard rush (John Carney kick),10,0
4.0,8:26,Jaguars,Dennis Northcutt 3 yard pass from David Garrard (John Carney kick),17,0
,0:00,Chiefs,Samie Parker 13 yard pass from Brodie Croyle (Dave Rayner kick),17,7
