Quarter,Time,Down,ToGo,Location,JAX,KAN,Detail,EPB,EPA
2,13:10,1,10,,3,0,Larry Johnson right end for -3 yards (tackle by Mike Peterson),2.260,1.310
2,12:33,2,13,KAN 47,3,0,Michael Bennett middle for -2 yards (tackle by Mike Peterson and John Henderson),1.310,0.370
2,11:54,3,15,KAN 45,3,0,Damon Huard pass incomplete short left intended for Tony Gonzalez (defended by Daryl Smith),0.370,-0.390
2,11:51,4,15,KAN 45,3,0,"Dustin Colquitt punts 55 yards, touchback",-0.390,-0.280
2,11:40,1,10,JAX 20,3,0,Fred Taylor right end for no gain (tackle by Jared Allen),0.280,-0.270
2,11:05,2,10,JAX 20,3,0,Fred Taylor middle for no gain (tackle by Ty Law),-0.270,-0.960
2,10:21,3,10,JAX 20,3,0,David Garrard pass complete short right to Dennis Northcutt for 14 yards (tackle by Ty Law),-0.960,1.200
2,9:56,1,10,JAX 34,3,0,David Garrard pass complete short right to Marcedes Lewis for 3 yards,1.200,1.060
2,9:24,2,7,JAX 37,3,0,David Garrard pass complete short right to Greg Estandia for 11 yards (tackle by Ty Law),1.060,2.130
2,8:44,1,10,JAX 48,9,0,"Maurice Jones-Drew middle for 52 yards, touchdown",2.130,7.000
2,,,,KAN 2,10,0,John Carney kicks extra point good,0.000,0.000
2,,,,JAX 30,10,0,"John Carney kicks off 66 yards, returned by Eddie Drummond for 22 yards (tackle by Brent Hawkins)",0.000,0.670
2,8:29,1,10,KAN 26,10,0,Larry Johnson middle for 2 yards (tackle by Rob Meier),0.670,0.400
2,7:53,2,8,KAN 28,10,0,Larry Johnson middle for 7 yards (tackle by Marcus Stroud),0.400,0.630
2,7:21,3,1,KAN 35,10,0,Larry Johnson left end for -1 yards (tackle by Marcus Stroud),0.630,-1.110
2,7:21,4,2,KAN 34,10,0,"Penalty on Jean-Phillipe Darche: False Start, 5 yards (no play)",-1.110,-1.440
2,6:35,4,7,KAN 29,10,0,"Dustin Colquitt punts 48 yards, fair catch by Dennis Northcutt",-1.440,-0.480
2,6:27,1,10,JAX 23,10,0,"David Garrard pass complete short right to Greg Estandia for 9 yards. Penalty on Derrick Johnson: Roughing the Passer, 15 yards",0.480,2.060
2,6:00,1,10,JAX 47,10,0,David Garrard left end for 10 yards,2.060,2.720
2,5:19,1,10,KAN 43,10,0,Fred Taylor middle for 3 yards (tackle by Derrick Johnson),2.720,2.580
2,4:42,2,7,KAN 40,10,0,David Garrard pass complete short right to Marcedes Lewis for 4 yards (tackle by Donnie Edwards),2.580,2.410
2,3:57,,,,10,0,Timeout #2 by Jacksonville Jaguars,0.000,2.410
2,3:57,3,3,KAN 36,10,0,"Penalty on Vince Manuwai: False Start, 5 yards (no play)",2.410,1.750
2,3:57,3,8,KAN 41,10,0,David Garrard pass complete short middle to Maurice Jones-Drew for 11 yards (tackle by Derrick Johnson),1.750,3.580
2,3:14,1,10,KAN 30,10,0,Maurice Jones-Drew right end for no gain (tackle by Donnie Edwards),3.580,3.030
2,2:33,2,10,KAN 30,10,0,David Garrard pass incomplete short right intended for Dennis Northcutt,3.030,2.340
2,2:29,3,10,KAN 30,10,0,David Garrard pass incomplete short right intended for Fred Taylor,2.340,1.410
2,2:29,4,10,KAN 30,10,0,John Carney 48 yard field goal no good,1.410,-1.470
2,2:21,1,10,KAN 38,10,0,Damon Huard pass complete deep middle to Tony Gonzalez for 22 yards (tackle by Mike Peterson),1.470,2.920
2,2:00,1,10,JAX 40,10,0,Damon Huard sacked by Rob Meier for -5 yards,2.920,1.700
2,1:25,2,15,JAX 45,10,0,Damon Huard pass complete short right to Tony Gonzalez for 6 yards (tackle by Reggie Nelson),1.700,1.820
2,1:15,,,,10,0,Timeout #2 by Kansas City Chiefs,0.000,1.820
2,1:15,3,9,JAX 39,10,0,Damon Huard pass incomplete short middle intended for Dwayne Bowe,1.820,0.660
2,1:12,,,,10,0,Timeout #3 by Kansas City Chiefs,0.000,0.660
2,1:12,4,9,JAX 39,10,0,Dustin Colquitt punts 35 yards,0.660,0.380
2,1:01,1,10,JAX 4,10,0,David Garrard kneels for -1 yards,-0.380,-0.850
2,0:28,2,11,JAX 3,10,0,David Garrard kneels for -1 yards,-0.850,-1.650
Quarter,Time,Down,ToGo,Location,JAX,KAN,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,KAN 30,10,0,"Dave Rayner kicks off 74 yards, returned by Maurice Jones-Drew for 29 yards (tackle by Khreem Smith)",0.000,0.610
3,14:52,1,10,JAX 25,10,0,David Garrard sacked by Ron Edwards for -5 yards,0.610,-0.610
3,14:18,2,15,JAX 20,10,0,Fred Taylor left end for 9 yards (tackle by Patrick Surtain and Bernard Pollard),-0.610,-0.100
3,13:33,3,6,JAX 29,10,0,David Garrard pass complete short right to Reggie Williams for 8 yards (tackle by Ty Law),-0.100,1.400
3,13:04,1,10,JAX 37,10,0,Fred Taylor middle for 4 yards,1.400,1.400
3,12:31,2,6,JAX 41,10,0,David Garrard pass incomplete short right intended for Dennis Northcutt,1.400,0.700
3,12:25,3,6,JAX 41,10,0,David Garrard pass incomplete short left intended for Dennis Northcutt,0.700,-0.650
3,12:21,4,6,JAX 41,10,0,Adam Podlesh punts 56 yards,-0.650,0.380
3,12:11,1,10,KAN 3,10,0,Damon Huard pass complete short right to Kris Wilson for 1 yard (tackle by Daryl Smith),-0.380,-0.710
3,11:35,2,9,KAN 4,10,0,Damon Huard pass incomplete short middle intended for Tony Gonzalez (defended by Sammy Knight),-0.710,-1.300
3,11:31,3,9,KAN 4,10,0,Damon Huard pass complete short left to Dwayne Bowe for 9 yards (tackle by Brian Williams),-1.300,-0.320
3,10:46,1,10,KAN 13,10,0,Larry Johnson left tackle for 3 yards (tackle by Paul Spicer and Daryl Smith),-0.320,-0.440
3,10:11,2,7,KAN 16,10,0,Damon Huard pass incomplete short left intended for Tony Gonzalez,-0.440,-1.060
3,10:05,3,7,KAN 16,10,0,Damon Huard pass complete short right to Tony Gonzalez for 11 yards (tackle by Sammy Knight and Brent Hawkins),-1.060,0.740
3,9:22,1,10,KAN 27,10,0,Damon Huard sacked by Paul Spicer for -8 yards,0.740,-0.940
3,8:48,2,18,KAN 19,10,0,Damon Huard pass complete short middle to Larry Johnson for -5 yards (tackle by Bobby McCray),-0.940,-2.760
3,8:04,3,23,KAN 14,10,0,Damon Huard pass complete short left to Jeff Webb for 20 yards (tackle by Sammy Knight),-2.760,-1.110
3,7:43,4,3,KAN 34,10,0,"Dustin Colquitt punts 48 yards, returned by Dennis Northcutt for 8 yards (tackle by Jean-Phillipe Darche)",-1.110,-0.670
3,7:32,1,10,JAX 26,10,0,Fred Taylor left tackle for 2 yards (tackle by Tamba Hali),0.670,0.400
3,6:53,2,8,JAX 28,10,0,David Garrard sacked by Bernard Pollard for -5 yards,0.400,-0.960
3,6:18,3,13,JAX 23,10,0,David Garrard pass complete short middle to Fred Taylor for 9 yards (tackle by Patrick Surtain),-0.960,-1.240
3,5:44,4,4,JAX 32,10,0,"Adam Podlesh punts 48 yards, fair catch by Eddie Drummond",-1.240,-0.280
3,5:36,1,10,KAN 20,10,0,Larry Johnson middle for no gain (tackle by Tony McDaniel),0.280,-0.270
3,5:02,2,10,KAN 20,10,0,Damon Huard pass incomplete short left intended for Tony Gonzalez. Penalty on Tony Gonzalez: Illegal Shift (Declined),-0.270,-0.960
3,4:55,3,10,KAN 20,10,0,Damon Huard pass complete short middle to Larry Johnson for 7 yards (tackle by Daryl Smith and Rashean Mathis),-0.960,-1.570
3,4:19,4,3,KAN 27,10,0,"Dustin Colquitt punts 43 yards, returned by Dennis Northcutt for 10 yards (tackle by Jean-Phillipe Darche)",-1.570,-1.600
3,4:08,1,10,JAX 40,10,0,Fred Taylor middle for 3 yards (tackle by Derrick Johnson),1.600,1.460
3,3:28,2,7,JAX 43,10,0,Maurice Jones-Drew middle for 6 yards (tackle by Ty Law),1.460,1.550
3,2:50,3,1,JAX 49,10,0,Fred Taylor left tackle for no gain (tackle by Donnie Edwards),1.550,-0.130
3,2:04,4,1,JAX 49,10,0,Adam Podlesh punts 43 yards,-0.130,0.380
3,1:54,1,10,KAN 8,10,0,Damon Huard pass complete short right to Larry Johnson for 4 yards (tackle by Rashean Mathis),-0.380,-0.490
3,1:25,2,6,KAN 12,10,0,Damon Huard pass complete short left to Larry Johnson for -1 yards (tackle by Sammy Knight),-0.490,-1.070
3,0:42,3,7,KAN 11,10,0,Damon Huard pass complete short right to Dwayne Bowe for 14 yards (tackle by Rashean Mathis),-1.070,0.610
3,0:06,1,10,KAN 25,10,0,Damon Huard pass incomplete short left intended for Dwayne Bowe (defended by Brian Williams),0.610,0.060
Quarter,Time,Down,ToGo,Location,JAX,KAN,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,10,KAN 25,10,0,Damon Huard pass complete short middle to Dwayne Bowe for 12 yards (tackle by Tony McDaniel),0.060,1.400
4,14:19,1,10,KAN 37,10,0,Damon Huard pass incomplete deep middle intended for Dwayne Bowe,1.400,0.860
4,14:13,2,10,KAN 37,10,0,Damon Huard pass incomplete short right intended for Kris Wilson,0.860,0.170
4,14:09,3,10,KAN 37,10,0,"Penalty on Chris Terry: False Start, 5 yards (no play)",0.170,-0.490
4,14:09,3,15,KAN 32,10,0,Damon Huard pass complete short left to Jeff Webb for 6 yards (tackle by Brian Williams),-0.490,-0.850
4,13:40,4,9,KAN 38,10,0,"Dustin Colquitt punts 49 yards, returned by Dennis Northcutt for 6 yards (tackle by Jean-Phillipe Darche)",-0.850,-0.150
4,13:29,1,10,JAX 19,10,0,David Garrard pass complete short right to Matt Jones for 11 yards (tackle by Ty Law),0.150,0.940
4,12:57,1,10,JAX 30,10,0,Maurice Jones-Drew middle for 3 yards (tackle by Napoleon Harris),0.940,0.800
4,12:21,2,7,JAX 33,10,0,David Garrard pass complete short left to Ernest Wilford for 12 yards (tackle by Patrick Surtain),0.800,1.930
4,11:51,1,10,JAX 45,10,0,David Garrard pass complete deep middle to Dennis Northcutt for 40 yards (tackle by Jarrad Page),1.930,4.580
4,11:04,1,10,KAN 15,10,0,David Garrard pass complete short right to Matt Jones for 9 yards (tackle by Ty Law),4.580,5.600
4,10:29,2,1,KAN 6,10,0,Maurice Jones-Drew left tackle for 1 yard (tackle by Ron Edwards),5.600,6.060
4,9:51,1,5,KAN 5,10,0,Maurice Jones-Drew middle for no gain (tackle by Napoleon Harris),6.060,5.150
4,9:11,2,5,KAN 5,10,0,Greg Jones middle for 2 yards (tackle by Donnie Edwards and Patrick Surtain),5.150,4.720
4,8:31,3,3,KAN 3,16,0,"David Garrard pass complete short right to Dennis Northcutt for 3 yards, touchdown",4.720,7.000
4,,,,KAN 2,17,0,John Carney kicks extra point good,0.000,0.000
4,,,,JAX 30,17,0,"John Carney kicks off 68 yards, returned by Eddie Drummond for 17 yards (tackle by Montell Owens)",0.000,0.150
4,8:21,1,10,KAN 19,17,0,Damon Huard pass incomplete deep right intended for Jeff Webb is intercepted by Reggie Nelson at KAN-42,0.150,-2.790
4,8:14,1,10,KAN 42,17,0,David Garrard pass incomplete deep middle intended for John Broussard,2.790,2.240
4,8:05,2,10,KAN 42,17,0,Fred Taylor middle for no gain (tackle by Napoleon Harris and Kendrell Bell),2.240,1.550
4,7:27,3,10,KAN 42,17,0,David Garrard pass complete short right to Reggie Williams for 4 yards (tackle by Ty Law),1.550,0.720
4,7:01,4,6,KAN 38,17,0,Adam Podlesh punts 33 yards,0.720,0.380
4,6:53,1,10,KAN 5,17,0,Brodie Croyle pass complete short middle to Tony Gonzalez for 8 yards (tackle by Sammy Knight),-0.380,-0.190
4,6:24,2,2,KAN 13,17,0,Brodie Croyle pass incomplete short right intended for Larry Johnson (defended by Daryl Smith),-0.190,-0.480
4,6:21,3,2,KAN 13,17,0,Brodie Croyle pass incomplete short left intended for Jeff Webb,-0.480,-2.490
4,6:15,4,2,KAN 13,17,0,"Dustin Colquitt punts 44 yards, returned by Dennis Northcutt for 4 yards (tackle by Rashad Barksdale)",-2.490,-2.060
4,6:08,1,10,JAX 47,17,0,Fred Taylor middle for 3 yards (tackle by Jared Allen and Bernard Pollard),2.060,1.920
4,6:01,,,,17,0,Timeout #1 by Kansas City Chiefs,0.000,1.920
4,6:01,2,7,,17,0,David Garrard pass complete short middle to Marcedes Lewis for 6 yards (tackle by Napoleon Harris and Donnie Edwards),1.920,2.020
4,5:15,3,1,KAN 44,17,0,Greg Jones middle for 2 yards (tackle by Kendrell Bell),2.020,2.790
4,4:08,1,10,KAN 42,17,0,"Fred Taylor right end for 11 yards (tackle by Bernard Pollard). Penalty on Greg Jones: Offensive Holding, 10 yards (no play)",2.790,2.130
4,4:00,1,20,JAX 48,17,0,Greg Jones middle for 3 yards (tackle by Bernard Pollard),2.130,1.300
4,3:55,,,,17,0,Timeout #2 by Kansas City Chiefs,0.000,1.300
4,3:55,2,17,KAN 49,17,0,David Garrard pass complete short right to Greg Estandia for 18 yards (tackle by Bernard Pollard),1.300,3.510
4,3:11,1,10,KAN 31,17,0,Greg Jones left tackle for 2 yards (tackle by Kendrell Bell and Napoleon Harris),3.510,3.240
4,3:05,,,,17,0,Timeout #3 by Kansas City Chiefs,0.000,3.240
4,3:05,2,8,KAN 29,17,0,"Penalty on Tony Pashos: False Start, 5 yards (no play)",3.240,2.560
4,3:05,2,13,KAN 34,17,0,Greg Jones middle for 3 yards (tackle by Patrick Surtain),2.560,2.280
4,2:26,3,10,KAN 31,17,0,Greg Jones middle for 2 yards (tackle by Jimmy Wilkerson),2.280,1.500
4,2:00,4,8,KAN 29,17,0,David Garrard pass incomplete deep right intended for Reggie Williams,1.500,-0.940
4,1:54,1,10,KAN 30,17,0,Brodie Croyle pass complete short left to Kolby Smith for 11 yards (tackle by Mike Peterson),0.940,1.660
4,1:33,1,10,KAN 41,17,0,Brodie Croyle pass incomplete short left intended for Samie Parker,1.660,1.120
4,1:29,2,10,KAN 41,17,0,Brodie Croyle pass complete short middle to Tony Gonzalez for 6 yards (tackle by Rashean Mathis),1.120,1.220
4,1:12,3,4,KAN 47,17,0,"Brodie Croyle sacked for -5 yards. Brodie Croyle fumbles, recovered by Brodie Croyle at KAN-42",1.220,-0.590
4,0:49,4,9,KAN 42,17,0,Brodie Croyle pass complete short middle to Kolby Smith for 10 yards (tackle by Terry Cousin),-0.590,2.390
4,0:22,1,10,JAX 48,17,0,Brodie Croyle spiked the ball,2.390,1.850
4,0:22,2,10,JAX 48,17,0,Brodie Croyle pass complete deep right to Dwayne Bowe for 35 yards (tackle by Rashean Mathis),1.850,4.710
4,0:16,1,10,JAX 13,17,0,Brodie Croyle pass incomplete short middle intended for Dwayne Bowe,4.710,4.050
4,0:12,2,10,JAX 13,17,0,Brodie Croyle pass incomplete short middle intended for Jeff Webb,4.050,3.120
4,0:08,3,10,JAX 13,17,0,Brodie Croyle pass incomplete short middle intended for Tony Gonzalez,3.120,2.570
4,0:03,4,10,JAX 13,17,6,"Brodie Croyle pass complete short right to Samie Parker for 13 yards, touchdown",2.570,7.000
4,,,,JAX 2,17,7,Dave Rayner kicks extra point good,0.000,0.000
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
