Unnamed: 0,WAS,PHI
First Downs,15,17
Rush-Yds-TDs,25-82-1,29-123-1
Cmp-Att-Yd-TD-INT,22-37-231-2-2,21-36-260-1-1
Sacked-Yards,1-10,2-2
Net Pass Yards,221,258
Total Yards,303,381
Fumbles-Lost,0-0,0-0
Turnovers,2,1
Penalties-Yards,7-39,7-60
Third Down Conv.,8-17,5-15
Fourth Down Conv.,0-1,1-1
Time of Possession,29:42,30:18
