Unnamed: 0,PIT,NYJ
First Downs,16,14
Rush-Yds-TDs,25-75-0,32-85-0
Cmp-Att-Yd-TD-INT,25-37-213-1-2,16-26-183-1-0
Sacked-Yards,4-28,2-9
Net Pass Yards,185,174
Total Yards,260,259
Fumbles-Lost,2-0,3-1
Turnovers,2,1
Penalties-Yards,4-34,3-30
Third Down Conv.,3-14,4-15
Fourth Down Conv.,0-1,1-1
Time of Possession,31:32,28:28
