Quarter,Time,Tm,Detail,PIT,NYJ
1.0,10:27,Jets,Robbie Chosen 23 yard pass from Sam Darnold (Sam Ficken kick),0,7
2.0,14:15,Jets,Sam Ficken 54 yard field goal,0,10
,1:18,Steelers,Chris Boswell 49 yard field goal,3,10
,0:04,Steelers,Diontae Johnson 29 yard pass from Mason Rudolph (Chris Boswell kick),10,10
3.0,6:30,Jets,Sam Ficken 37 yard field goal,10,13
4.0,3:11,Jets,Sam Ficken 42 yard field goal,10,16
