Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Benny Snell Jr.,PIT,7,14,0,,2,0.3,12,1.7,0,
James Conner,PIT,6,32,0,2,2,0.3,30,5.0,0,
Kerrith Whyte Jr,PIT,6,22,0,1,12,2.0,10,1.7,0,
Jaylen Samuels,PIT,3,7,0,0,2,0.7,5,1.7,0,
Mason Rudolph,PIT,2,0,0,0,-5,-2.5,5,2.5,0,
Devlin Hodges,PIT,1,0,0,0,0,0.0,0,0.0,0,
Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Le'Veon Bell,NYJ,25,72,0,3,17,0.7,55,2.2,0,
Sam Darnold,NYJ,4,3,0,1,-1,-0.3,4,1.0,0,
Ty Montgomery,NYJ,2,7,0,1,2,1.0,5,2.5,0,
Bilal Powell,NYJ,1,3,0,,1,1.0,2,2.0,0,
