Quarter,Time,Down,ToGo,Location,NOR,STL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Rams won the coin toss, Rams to receive the opening kickoff.",,
1,15:00,,,NOR 35,0,0,"Thomas Morstead kicks off 72 yards, returned by Isaiah Pead for 24 yards (tackle by Jed Collins)",0.000,0.060
1,14:55,1,10,STL 17,0,0,Zac Stacy left tackle for 5 yards (tackle by Cameron Jordan),-0.060,0.210
1,14:19,2,5,STL 22,0,0,Zac Stacy left tackle for 3 yards (tackle by Brodrick Bunkley),0.210,-0.240
1,13:48,3,2,STL 25,0,0,Zac Stacy up the middle for 8 yards (tackle by Malcolm Jenkins),-0.240,1.140
1,13:11,1,10,STL 33,0,0,Zac Stacy left end for -1 yards (tackle by David Hawthorne),1.140,0.460
1,12:29,2,11,STL 32,0,0,Kellen Clemens pass complete short left to Austin Pettis for 9 yards (tackle by David Hawthorne),0.460,0.960
1,11:49,3,2,STL 41,0,0,Kellen Clemens pass incomplete short right intended for Chris Givens (defended by Keenan Lewis),0.960,-0.650
1,11:41,4,2,STL 41,0,0,"Johnny Hekker punts 52 yards, out of bounds",-0.650,0.380
1,11:34,1,10,NOR 7,0,0,Drew Brees pass incomplete deep middle intended for Jimmy Graham is intercepted by T.J. McDonald at NOR-29 and returned for -2 yards (tackle by Jimmy Graham),-0.380,-3.510
1,11:27,1,10,NOR 31,0,6,"Kellen Clemens pass complete short right to Cory Harkey for 31 yards, touchdown",3.510,7.000
1,11:27,,,NOR 2,0,7,Greg Zuerlein kicks extra point good,0.000,0.000
1,11:27,,,STL 35,0,7,"Greg Zuerlein kicks off 65 yards, touchback",0.000,-0.280
1,11:20,1,10,NOR 20,0,7,Drew Brees pass complete short right to Pierre Thomas for 13 yards (tackle by T.J. McDonald),0.280,1.140
1,10:48,1,10,NOR 33,0,7,Pierre Thomas right tackle for 1 yard (tackle by Michael Brockers),1.140,0.730
1,10:13,2,9,NOR 34,0,7,Darren Sproles right end for 11 yards (tackle by Darian Stewart),0.730,1.930
1,9:36,1,10,NOR 45,0,7,Drew Brees pass complete short middle to Marques Colston for 15 yards (tackle by Trumaine Johnson),1.930,2.920
1,9:03,1,10,STL 40,0,7,"Drew Brees pass complete short right to Darren Sproles for -5 yards (tackle by Rodney McLeod). Penalty on Eugene Sims: Unnecessary Roughness, 15 yards",2.920,3.580
1,8:41,1,10,STL 30,0,7,Drew Brees pass complete short left to Kenny Stills for 20 yards (tackle by Rodney McLeod),3.580,4.910
1,8:17,1,10,STL 10,0,7,Drew Brees sacked by Matt Conrath for 0 yards,4.910,4.190
1,7:47,2,10,STL 10,0,7,Drew Brees pass incomplete short right intended for Jimmy Graham is intercepted by Trumaine Johnson at STL-0 and returned for 7 yards (tackle by Marques Colston),4.190,0.380
1,7:34,1,10,STL 7,0,7,Zac Stacy up the middle for 1 yard (tackle by David Hawthorne),-0.380,-0.710
1,7:02,2,9,STL 8,0,7,Zac Stacy left tackle for 4 yards (tackle by Brodrick Bunkley),-0.710,-0.840
1,6:19,3,5,STL 12,0,7,Kellen Clemens pass complete short right to Austin Pettis for 9 yards (tackle by Kenny Vaccaro),-0.840,0.340
1,5:40,1,10,STL 21,0,7,"Kellen Clemens right end for 7 yards (tackle by Curtis Lofton). Penalty on Curtis Lofton: Unnecessary Roughness, 15 yards",0.340,1.800
1,5:06,1,10,STL 43,0,7,"Zac Stacy right tackle for 29 yards (tackle by Malcolm Jenkins). Penalty on Malcolm Jenkins: Unnecessary Roughness, 14 yards",1.800,4.650
1,4:51,1,10,NOR 14,0,7,Zac Stacy up the middle for 1 yard (tackle by Curtis Lofton),4.650,4.160
1,4:20,2,9,NOR 13,0,7,Zac Stacy right guard for no gain (tackle by Curtis Lofton),4.160,3.260
1,3:34,3,9,NOR 13,0,7,Kellen Clemens pass complete short left to Austin Pettis for 9 yards (tackle by Isa Abdul-Quddus),3.260,3.260
1,2:49,3,9,NOR 13,0,7,Timeout #1 by St. Louis Rams,3.260,6.280
1,2:49,1,4,NOR 4,0,13,"Kellen Clemens pass complete short right to Lance Kendricks for 4 yards, touchdown",6.280,7.000
1,2:49,,,NOR 2,0,14,Greg Zuerlein kicks extra point good,0.000,0.000
1,2:49,,,STL 35,0,14,Greg Zuerlein kicks onside 18 yards,0.000,2.460
1,2:44,1,10,NOR 47,0,14,Zac Stacy right guard for no gain (tackle by David Hawthorne),2.460,1.910
1,2:04,2,10,NOR 47,0,14,"Kellen Clemens pass complete short middle to Austin Pettis for 14 yards (tackle by Malcolm Jenkins). Penalty on Malcolm Jenkins: Unnecessary Roughness, 15 yards",1.910,4.370
1,1:37,1,10,NOR 18,0,14,Zac Stacy right end for -2 yards (tackle by Kenny Vaccaro and Curtis Lofton),4.370,3.560
1,0:58,2,12,NOR 20,0,14,Zac Stacy left tackle for 9 yards (tackle by David Hawthorne),3.560,4.260
1,0:10,3,3,NOR 11,0,14,Kellen Clemens pass complete short right to Cory Harkey for -2 yards (tackle by John Jenkins),4.260,2.620
Quarter,Time,Down,ToGo,Location,NOR,STL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,4,5,NOR 13,0,17,Greg Zuerlein 31 yard field goal good,2.620,3.000
2,15:00,,,STL 35,0,17,"Greg Zuerlein kicks off 65 yards, touchback",0.000,-0.280
2,14:57,1,10,NOR 20,0,17,Mark Ingram right tackle for 5 yards (tackle by Robert Quinn),0.280,0.410
2,14:17,2,5,NOR 25,0,17,Drew Brees pass complete short right to Darren Sproles for 9 yards (tackle by Alec Ogletree),0.410,1.200
2,13:44,1,10,NOR 34,0,17,Drew Brees pass complete short left to Pierre Thomas for 10 yards (tackle by Rodney McLeod and James Laurinaitis),1.200,1.860
2,12:56,1,10,NOR 44,0,17,Drew Brees pass complete short left to Pierre Thomas for 28 yards (tackle by Alec Ogletree),1.860,3.710
2,12:14,1,10,STL 28,0,17,Kenny Stills left end for 3 yards (tackle by Janoris Jenkins),3.710,3.570
2,11:48,2,7,STL 25,0,17,Pierre Thomas right end for 1 yard (tackle by Chris Long),3.570,3.010
2,11:00,3,6,STL 24,0,17,"Drew Brees pass incomplete short right intended for Mark Ingram. Penalty on Chris Long: Defensive Offside, 5 yards (no play)",3.010,3.720
2,10:55,3,1,STL 19,0,17,Drew Brees sacked by Robert Quinn for -8 yards,3.720,1.670
2,10:20,4,9,STL 27,3,17,Garrett Hartley 45 yard field goal good,1.670,3.000
2,10:20,,,NOR 35,3,17,"Thomas Morstead kicks off 65 yards, touchback",0.000,-0.280
2,10:17,1,10,STL 20,3,17,Kellen Clemens pass complete short right to Jared Cook for 8 yards (tackle by Kenny Vaccaro),0.280,0.810
2,9:53,2,2,STL 28,3,17,Zac Stacy left guard for 4 yards (tackle by Curtis Lofton),0.810,1.070
2,9:17,1,10,STL 32,3,17,Kellen Clemens pass incomplete deep right intended for Brian Quick (defended by Keenan Lewis),1.070,0.530
2,9:10,2,10,STL 32,3,17,Kellen Clemens pass complete short right to Cory Harkey for no gain,0.530,-0.160
2,8:30,3,10,STL 32,3,17,Kellen Clemens pass incomplete short left intended for Lance Kendricks,-0.160,-1.240
2,8:25,4,10,STL 32,3,17,"Johnny Hekker punts 56 yards, returned by Darren Sproles for 9 yards (tackle by Johnny Hekker). Penalty on Daren Bates: Ineligible Downfield Kick, 5 yards (no play)",-1.240,-1.570
2,8:10,4,15,STL 27,3,17,Johnny Hekker punts 47 yards,-1.570,-0.670
2,7:59,1,10,NOR 26,3,17,Drew Brees pass incomplete short left intended for Robert Meachem,0.670,0.130
2,7:53,2,10,NOR 26,3,17,Darren Sproles right guard for 1 yard (tackle by Kendall Langford),0.130,-0.430
