Unnamed: 0,NOR,STL
First Downs,30,17
Rush-Yds-TDs,20-61-1,34-144-1
Cmp-Att-Yd-TD-INT,39-56-393-1-2,14-20-158-2-0
Sacked-Yards,4-22,0-0
Net Pass Yards,371,158
Total Yards,432,302
Fumbles-Lost,1-1,0-0
Turnovers,3,0
Penalties-Yards,8-77,4-30
Third Down Conv.,5-15,7-14
Fourth Down Conv.,4-4,0-0
Time of Possession,32:12,27:48
