Quarter,Time,Tm,Detail,CHI,SDG
1.0,6:50,Chargers,Danny Woodhead 14 yard pass from Philip Rivers (Josh Lambo kick),0,7
2.0,9:58,Chargers,Jason Verrett 68 yard interception return (Josh Lambo kick failed),0,13
,6:53,Bears,Martellus Bennett 1 yard pass from Jay Cutler (Robbie Gould kick),7,13
,0:03,Chargers,Josh Lambo 31 yard field goal,7,16
4.0,14:02,Bears,Jeremy Langford 1 yard rush (Robbie Gould kick),14,16
,7:53,Chargers,Josh Lambo 22 yard field goal,14,19
,3:19,Bears,Zach Miller 25 yard pass from Jay Cutler (Jeremy Langford run),22,19
