Quarter,Time,Down,ToGo,Location,CHI,SDG,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Chargers won the coin toss and deferred, Bears to receive the opening kickoff.",,
1,15:00,,,SDG 35,0,0,"Josh Lambo kicks off 68 yards, returned by Marc Mariani for 30 yards (tackle by John Phillips)",0.000,-0.740
1,14:54,1,10,CHI 27,0,0,Jay Cutler pass complete short left to Marc Mariani for 13 yards (tackle by Brandon Flowers),0.740,1.600
1,14:23,1,10,CHI 40,0,0,Ka'Deem Carey middle for 6 yards (tackle by Patrick Robinson and Eric Weddle),1.600,1.860
1,13:53,2,4,CHI 46,0,0,Jay Cutler pass complete short left to Martellus Bennett for 12 yards (tackle by Melvin Ingram and Kavell Conner),1.860,2.790
1,13:15,1,10,SDG 42,0,0,Ka'Deem Carey right tackle for 8 yards (tackle by Kavell Conner and Eric Weddle),2.790,3.320
1,12:55,2,2,SDG 34,0,0,Ka'Deem Carey left tackle for 3 yards (tackle by Eric Weddle),3.320,3.510
1,12:19,1,10,SDG 31,0,0,Jay Cutler pass incomplete deep right intended for Marc Mariani,3.510,2.970
1,12:12,2,10,SDG 31,0,0,Jeremy Langford left end for 3 yards (tackle by Eric Weddle),2.970,2.680
1,11:41,3,7,SDG 28,0,0,Jay Cutler pass incomplete deep right intended for Alshon Jeffery (defended by Jason Verrett),2.680,1.590
1,11:35,4,7,SDG 28,0,0,Robbie Gould 47 yard field goal no good,1.590,-1.400
1,11:32,1,10,SDG 37,0,0,Philip Rivers pass complete short right to Antonio Gates for 7 yards (tackle by Tracy Porter),1.400,1.800
1,11:08,2,3,SDG 44,0,0,Melvin Gordon left end for 5 yards (tackle by Willie Young and Jonathan Anderson),1.800,2.190
1,10:35,1,10,SDG 49,0,0,Philip Rivers pass complete short right to Danny Woodhead for 12 yards (tackle by Jonathan Anderson),2.190,2.980
1,10:08,1,10,CHI 39,0,0,Danny Woodhead left tackle for 5 yards (tackle by Jarvis Jenkins),2.980,3.120
1,9:24,2,5,CHI 34,0,0,"Melvin Gordon left end for no gain (tackle by Jonathan Anderson). Penalty on Malcom Floyd: Illegal Formation, 5 yards (no play)",3.120,2.440
1,8:55,2,10,CHI 39,0,0,Philip Rivers pass complete short right to Dontrelle Inman for 5 yards (tackle by Jonathan Anderson),2.440,2.410
1,8:11,3,5,CHI 34,0,0,Philip Rivers pass complete short right to Steve Johnson for 16 yards (tackle by Adrian Amos),2.410,4.370
1,7:38,1,10,CHI 18,0,0,Danny Woodhead left tackle for 4 yards (tackle by Jarvis Jenkins),4.370,4.430
1,6:55,2,6,CHI 14,0,6,"Philip Rivers pass complete short left to Danny Woodhead for 14 yards, touchdown",4.430,7.000
1,6:55,,,CHI 14,0,7,Josh Lambo kicks extra point good,0.000,0.000
1,6:55,,,SDG 35,0,7,"Josh Lambo kicks off 65 yards, touchback",0.000,-0.280
1,6:50,1,10,CHI 20,0,7,Jeremy Langford middle for 6 yards (tackle by Jahleel Addae),0.280,0.540
1,6:27,2,4,CHI 26,0,7,Jeremy Langford left guard for 2 yards (tackle by Eric Weddle),0.540,0.100
1,5:54,3,2,CHI 28,0,7,Jay Cutler pass complete short middle to Martellus Bennett for 17 yards (tackle by Eric Weddle),0.100,1.930
1,5:09,1,10,CHI 45,0,7,Jeremy Langford right guard for 4 yards (tackle by Sean Lissemore and Kyle Emanuel),1.930,1.920
1,4:35,2,6,CHI 49,0,7,Jeremy Langford middle for 3 yards (tackle by Sean Lissemore and Jahleel Addae),1.920,1.620
1,3:57,3,3,SDG 48,0,7,Jay Cutler pass complete deep left to Jeremy Langford for 31 yards (tackle by Eric Weddle),1.620,4.440
1,3:15,1,10,SDG 17,0,7,Jeremy Langford right guard for 4 yards (tackle by Kavell Conner and Eric Weddle),4.440,4.500
1,2:40,2,6,SDG 13,0,7,Jay Cutler pass complete short left to Martellus Bennett for 3 yards (tackle by Brandon Flowers),4.500,4.340
1,2:01,3,3,SDG 10,0,7,"Penalty on Matt Slauson: False Start, 5 yards (no play)",4.340,3.340
1,1:40,3,8,SDG 15,0,7,"Jay Cutler sacked by Melvin Ingram for -8 yards. Jay Cutler fumbles (forced by Melvin Ingram), recovered by Eric Weddle at SDG-23 (tackle by Charles Leno)",3.340,-0.480
1,1:33,1,10,SDG 23,0,7,Melvin Gordon middle for 4 yards (tackle by LaRoy Reynolds),0.480,0.470
1,0:50,2,6,SDG 27,0,7,Philip Rivers pass complete short right to Melvin Gordon for 7 yards (tackle by Jonathan Anderson),0.470,1.200
1,0:04,1,10,SDG 34,0,7,"Melvin Gordon left end for no gain (tackle by Adrian Amos). Penalty on John Phillips: Offensive Holding, 10 yards (no play)",1.200,0.540
Quarter,Time,Down,ToGo,Location,CHI,SDG,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,20,SDG 24,0,7,Philip Rivers pass complete short left to Melvin Gordon for 15 yards (tackle by Christian Jones),0.540,1.330
2,14:45,2,5,SDG 39,0,7,Melvin Gordon right tackle for 4 yards (tackle by Jonathan Anderson and Christian Jones),1.330,1.160
2,14:22,3,1,SDG 43,0,7,Melvin Gordon left guard for 4 yards (tackle by Willie Young and Bryce Callahan),1.160,2.060
2,13:44,1,10,SDG 47,0,7,Philip Rivers pass incomplete short middle intended for Antonio Gates,2.060,1.520
2,13:39,2,10,SDG 47,0,7,Philip Rivers pass incomplete deep left intended for Malcom Floyd,1.520,0.830
2,13:30,3,10,SDG 47,0,7,Philip Rivers pass incomplete short middle intended for Danny Woodhead,0.830,-0.260
2,13:25,4,10,SDG 47,0,7,"Mike Scifres punts 35 yards, returned by Marc Mariani for 10 yards (tackle by Greg Ducre)",-0.260,-0.810
2,13:13,1,10,CHI 28,0,7,Jeremy Langford middle for 3 yards (tackle by Sean Lissemore),0.810,0.670
2,12:30,2,7,CHI 31,0,7,Jeremy Langford middle for 5 yards (tackle by Jahleel Addae),0.670,0.630
2,11:58,3,2,CHI 36,0,7,Jay Cutler pass incomplete short right intended for Alshon Jeffery (defended by Jason Verrett),0.630,-0.980
2,11:52,4,2,CHI 36,0,7,"Pat O'Donnell punts 44 yards, fair catch by Javontee Herndon",-0.980,-0.280
2,11:44,1,10,SDG 20,0,7,Melvin Gordon right tackle for 2 yards (tackle by Bruce Gaston),0.280,0.000
2,11:03,2,8,SDG 22,0,7,"Philip Rivers pass complete short middle to Dontrelle Inman for 14 yards (tackle by Tracy Porter). Dontrelle Inman fumbles (forced by Tracy Porter), recovered by Christian Jones at SDG-41 (tackle by Dontrelle Inman)",0.000,-2.850
2,10:50,1,10,SDG 41,0,7,Jeremy Langford right tackle for 3 yards (tackle by Melvin Ingram),2.850,2.710
2,10:11,2,7,SDG 38,0,13,"Jay Cutler pass incomplete short right intended for Alshon Jeffery is intercepted by Jason Verrett at SDG-32 and returned for 68 yards, touchdown",2.710,-7.000
2,9:58,,,CHI 38,0,13,Josh Lambo kicks extra point no good,0.000,-1.000
2,9:58,,,SDG 35,0,13,"Josh Lambo kicks off 65 yards, touchback",0.000,-0.280
2,9:58,1,10,CHI 20,0,13,Jay Cutler pass complete deep right to Alshon Jeffery for 47 yards,0.280,3.380
2,9:25,1,10,SDG 33,0,13,Ka'Deem Carey left end for -2 yards (tackle by Melvin Ingram),3.380,2.570
2,8:45,2,12,SDG 35,0,13,Jay Cutler pass complete short right to Alshon Jeffery for 12 yards (tackle by Steve Williams),2.570,4.040
2,8:05,1,10,SDG 23,0,13,Jay Cutler pass incomplete deep right intended for Alshon Jeffery (defended by Steve Williams),4.040,3.500
2,7:59,2,10,SDG 23,0,13,Ka'Deem Carey middle for 8 yards (tackle by Jahleel Addae),3.500,4.050
2,7:23,3,2,SDG 15,0,13,Jay Cutler pass complete short middle to Alshon Jeffery for 14 yards (tackle by Patrick Robinson),4.050,6.970
2,6:57,1,1,SDG 1,6,13,"Jay Cutler pass complete short right to Martellus Bennett for 1 yard, touchdown",6.970,7.000
2,6:57,,,SDG 1,7,13,Robbie Gould kicks extra point good,0.000,0.000
2,6:57,,,CHI 35,7,13,"Robbie Gould kicks off 67 yards, returned by Javontee Herndon for 24 yards (tackle by Sam Acho)",0.000,-0.410
2,6:47,1,10,SDG 22,7,13,Philip Rivers pass complete short left to Steve Johnson for 5 yards (tackle by Kyle Fuller),0.410,0.540
2,6:14,2,5,SDG 27,7,13,Philip Rivers pass incomplete short middle intended for Antonio Gates (defended by Adrian Amos),0.540,-0.160
2,6:09,3,5,SDG 27,7,13,"Philip Rivers pass incomplete short right intended for Dontrelle Inman. Penalty on Lamarr Houston: Defensive Offside, 5 yards (no play)",-0.160,1.070
2,6:01,1,10,SDG 32,7,13,Melvin Gordon right tackle for 3 yards (tackle by Pernell McPhee),1.070,0.930
2,5:24,2,7,SDG 35,7,13,"Philip Rivers pass incomplete short right intended for Javontee Herndon. Penalty on Javontee Herndon: Offensive Pass Interference, 10 yards (no play)",0.930,-0.420
2,5:18,2,17,SDG 25,7,13,"Philip Rivers pass complete short right to Danny Woodhead for 5 yards (tackle by Antrel Rolle and Mitch Unrein). Penalty on D.J. Fluker: Offensive Holding, 10 yards (no play)",-0.420,-1.930
2,4:53,2,27,SDG 15,7,13,"Penalty on Trevor Robinson: False Start, 5 yards (no play)",-1.930,-2.390
2,4:44,2,32,SDG 10,7,13,Danny Woodhead middle for 6 yards (tackle by Christian Jones),-2.390,-2.780
2,4:11,3,26,SDG 16,7,13,Philip Rivers pass complete short middle to Danny Woodhead for 9 yards (tackle by Jonathan Anderson),-2.780,-1.700
2,3:36,4,17,SDG 25,7,13,Mike Scifres punts 33 yards,-1.700,-1.700
2,3:31,4,17,SDG 25,7,13,Timeout #1 by Los Angeles Chargers,-1.700,-1.730
2,3:31,1,10,CHI 42,7,13,Jeremy Langford middle for 16 yards (tackle by Jahleel Addae),1.730,2.790
2,3:01,1,10,SDG 42,7,13,Jeremy Langford middle for 2 yards (tackle by Jeremiah Attaochu),2.790,2.510
2,2:33,2,8,SDG 40,7,13,Jay Cutler pass incomplete short middle intended for Jeremy Langford (defended by Kavell Conner),2.510,1.820
2,2:27,3,8,SDG 40,7,13,"Jay Cutler pass complete short left to Martellus Bennett for 5 yards (tackle by Jimmy Wilson). Penalty on Kyle Long: Unsportsmanlike Conduct, 15 yards",1.820,-0.060
2,2:13,4,18,,7,13,"Pat O'Donnell punts 41 yards, fair catch by Javontee Herndon. Penalty on Cordarro Law: Offensive Holding, 4 yards",-0.060,0.380
2,2:06,1,10,SDG 5,7,13,Melvin Gordon left tackle for 3 yards (tackle by Jarvis Jenkins),-0.380,-0.560
2,1:59,2,7,SDG 8,7,13,Philip Rivers pass complete short left to Antonio Gates for 6 yards (tackle by Kyle Fuller),-0.560,-0.370
2,1:37,3,1,SDG 14,7,13,Danny Woodhead middle for 15 yards (tackle by Antrel Rolle),-0.370,0.870
2,1:23,1,10,SDG 29,7,13,Philip Rivers pass complete short right to Steve Johnson for 4 yards (tackle by Bryce Callahan),0.870,0.870
2,1:19,2,6,SDG 33,7,13,Philip Rivers pass complete short left to Antonio Gates for 1 yard (tackle by Jonathan Anderson),0.870,0.300
2,0:42,3,5,SDG 34,7,13,Philip Rivers pass complete short middle to Steve Johnson for 15 yards (tackle by Adrian Amos),0.300,0.300
2,0:34,3,5,SDG 34,7,13,Timeout #2 by Los Angeles Chargers,0.300,2.190
2,0:34,1,10,SDG 49,7,13,Philip Rivers pass incomplete short left intended for Danny Woodhead,2.190,1.650
2,0:28,2,10,SDG 49,7,13,Philip Rivers pass incomplete short left intended for Danny Woodhead,1.650,0.960
2,0:23,3,10,SDG 49,7,13,Philip Rivers pass complete short left to Danny Woodhead for 13 yards (tackle by Jonathan Anderson and Eddie Goldman),0.960,0.960
2,0:15,3,10,SDG 49,7,13,Timeout #3 by Los Angeles Chargers,0.960,3.050
2,0:15,1,10,CHI 38,7,13,"Philip Rivers pass incomplete short right intended for Javontee Herndon. Penalty on Jarvis Jenkins: Roughing the Passer, 15 yards (no play)",3.050,3.050
2,0:11,1,10,CHI 38,7,13,Timeout #1 by Chicago Bears,3.050,4.040
2,0:11,1,10,CHI 23,7,13,Philip Rivers pass complete short left to Dontrelle Inman for 9 yards (tackle by Kyle Fuller),4.040,4.950
2,0:05,2,1,CHI 14,7,16,Josh Lambo 31 yard field goal good,4.950,3.000
2,0:05,,,SDG 35,7,16,"Josh Lambo kicks off 50 yards, returned by Ka'Deem Carey for 16 yards (tackle by Kyle Emanuel)",0.000,1.270
Quarter,Time,Down,ToGo,Location,CHI,SDG,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,CHI 35,7,16,"Robbie Gould kicks off 65 yards, touchback",0.000,0.280
3,15:00,1,10,SDG 20,7,16,Philip Rivers pass complete short left to Melvin Gordon for 3 yards (tackle by Jonathan Anderson),0.280,0.140
3,14:25,2,7,SDG 23,7,16,Melvin Gordon left end for no gain (tackle by Christian Jones),0.140,-0.560
3,13:43,3,7,SDG 23,7,16,Philip Rivers pass incomplete short right intended for Steve Johnson,-0.560,-1.830
3,13:38,4,7,SDG 23,7,16,"Mike Scifres punts 49 yards, returned by Marc Mariani for 12 yards (tackle by Kavell Conner)",-1.830,-1.600
3,13:25,1,10,CHI 40,7,16,Jay Cutler pass complete short right to Zach Miller for -2 yards (tackle by Kavell Conner),1.600,0.780
3,12:49,2,12,CHI 38,7,16,Jay Cutler pass complete short left to Jeremy Langford for 16 yards (tackle by Jahleel Addae),0.780,2.520
3,12:13,1,10,SDG 46,7,16,Jay Cutler pass complete short left to Marquess Wilson for 15 yards (tackle by Craig Mager),2.520,3.510
3,11:52,1,10,SDG 31,7,16,Jeremy Langford middle for 5 yards (tackle by Jeremiah Attaochu),3.510,3.640
3,11:13,2,5,SDG 26,7,16,Jay Cutler pass incomplete short left intended for Martellus Bennett (defended by Craig Mager),3.640,2.940
3,11:08,3,5,SDG 26,7,16,Jay Cutler pass complete short left to Alshon Jeffery for 8 yards (tackle by Eric Weddle),2.940,4.370
3,10:22,1,10,SDG 18,7,16,Jay Cutler pass incomplete deep right intended for Alshon Jeffery,4.370,3.800
3,10:17,2,10,SDG 18,7,16,Ka'Deem Carey left end for 2 yards (tackle by Kavell Conner and Jeremiah Attaochu),3.800,3.800
3,9:36,2,10,SDG 18,7,16,Timeout #1 by Chicago Bears,3.800,3.300
3,9:36,3,8,SDG 16,7,16,Jay Cutler pass incomplete short left intended for Alshon Jeffery,3.300,2.380
3,9:31,4,8,SDG 16,7,16,Robbie Gould 34 yard field goal no good,2.380,-0.540
3,9:28,1,10,SDG 24,7,16,Philip Rivers pass incomplete intended for Antonio Gates (defended by Willie Young),0.540,0.000
3,9:24,2,10,SDG 24,7,16,Philip Rivers pass complete short middle to Danny Woodhead for 14 yards (tackle by Christian Jones),0.000,1.470
3,8:48,1,10,SDG 38,7,16,Donald Brown left tackle for 10 yards (tackle by Willie Young),1.470,2.130
3,8:17,1,10,SDG 48,7,16,Donald Brown middle for 3 yards (tackle by Pernell McPhee and Mitch Unrein),2.130,1.990
3,7:35,2,7,CHI 49,7,16,Philip Rivers pass incomplete short left intended for Steve Johnson (defended by Will Sutton),1.990,1.290
3,7:30,3,7,CHI 49,7,16,Philip Rivers pass incomplete short middle intended for Antonio Gates,1.290,0.000
3,7:25,4,7,CHI 49,7,16,"Mike Scifres punts 42 yards, fair catch by Marc Mariani",0.000,0.380
3,7:18,1,10,CHI 7,7,16,Jeremy Langford middle for 3 yards (tackle by Ryan Carrethers),-0.380,-0.560
3,6:42,2,7,CHI 10,7,16,Jeremy Langford left guard for -1 yards (tackle by Ryan Carrethers),-0.560,-1.190
3,5:58,3,8,CHI 9,7,16,Jay Cutler pass complete short right to Marc Mariani for 10 yards (tackle by Craig Mager),-1.190,0.150
3,5:23,1,10,CHI 19,7,16,Jay Cutler pass complete short right to Martellus Bennett for 5 yards (tackle by Kavell Conner),0.150,0.340
3,4:46,2,5,CHI 24,7,16,Jay Cutler pass incomplete deep right intended for Marquess Wilson,0.340,-0.420
3,4:40,3,5,CHI 24,7,16,Jay Cutler pass complete short right to Alshon Jeffery for 6 yards (tackle by Eric Weddle and Steve Williams),-0.420,0.940
3,4:08,1,10,CHI 30,7,16,"Jeremy Langford right end for no gain (tackle by Jahleel Addae). Penalty on Kyle Long: Offensive Holding, 10 yards (no play)",0.940,0.280
3,3:41,1,20,CHI 20,7,16,Jay Cutler pass complete short left to Alshon Jeffery for 9 yards (tackle by Brandon Flowers and Eric Weddle),0.280,0.260
3,2:59,2,11,CHI 29,7,16,Jay Cutler pass complete short left to Josh Bellamy for 6 yards (tackle by Steve Williams),0.260,0.370
3,2:12,3,5,CHI 35,7,16,Jay Cutler pass complete short left to Jeremy Langford for 23 yards (tackle by Jimmy Wilson),0.370,2.790
3,1:48,1,10,SDG 42,7,16,Jay Cutler pass complete short right to Alshon Jeffery for 10 yards (tackle by Melvin Ingram),2.790,3.450
3,1:03,1,10,SDG 32,7,16,Antone Smith middle for 11 yards (tackle by Eric Weddle),3.450,4.170
3,0:23,1,10,SDG 21,7,16,Jay Cutler pass complete short right to Alshon Jeffery for 16 yards (tackle by Jahleel Addae),4.170,6.060
Quarter,Time,Down,ToGo,Location,CHI,SDG,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,5,SDG 5,7,16,Jay Cutler pass incomplete,6.060,5.150
4,14:54,2,5,SDG 5,7,16,Jeremy Langford middle for 4 yards (tackle by Ryan Carrethers and Sean Lissemore),5.150,5.170
4,14:06,3,1,SDG 1,13,16,"Jeremy Langford middle for 1 yard, touchdown",5.170,7.000
4,14:06,,,SDG 1,14,16,Robbie Gould kicks extra point good,0.000,0.000
4,14:06,,,CHI 35,14,16,"Robbie Gould kicks off 65 yards, touchback",0.000,-0.280
4,14:02,1,10,SDG 20,14,16,Philip Rivers pass incomplete short middle intended for Antonio Gates (defended by Christian Jones),0.280,-0.270
4,13:58,2,10,SDG 20,14,16,Philip Rivers pass complete short left to Steve Johnson for 8 yards (tackle by Adrian Amos),-0.270,0.100
4,13:44,3,2,SDG 28,14,16,Melvin Gordon middle for 3 yards (tackle by Sam Acho),0.100,1.000
4,13:18,1,10,SDG 31,14,16,Melvin Gordon left end for 3 yards (tackle by Sam Acho and Kyle Fuller),1.000,0.870
4,12:44,2,7,SDG 34,14,16,Philip Rivers pass complete short middle to Steve Johnson for 12 yards (tackle by Jonathan Anderson),0.870,1.990
4,12:18,1,10,SDG 46,14,16,Melvin Gordon left tackle for no gain (tackle by Jonathan Anderson and Christian Jones),1.990,1.450
4,11:43,2,10,SDG 46,14,16,Philip Rivers pass complete deep left to Antonio Gates for 40 yards (tackle by Antrel Rolle),1.450,4.650
4,10:55,1,10,CHI 14,14,16,Philip Rivers pass incomplete short middle intended for Steve Johnson (defended by Bryce Callahan),4.650,4.000
4,10:51,2,10,CHI 14,14,16,Danny Woodhead left tackle for 2 yards (tackle by Christian Jones),4.000,3.430
4,10:11,3,8,CHI 12,14,16,"Philip Rivers pass complete short middle to Steve Johnson for 8 yards (tackle by Bryce Callahan). Penalty on Steve Johnson: Delay of Game, 5 yards",3.430,5.140
4,9:31,1,9,CHI 9,14,16,Philip Rivers pass incomplete short middle intended for Danny Woodhead,5.140,4.380
4,9:26,2,9,CHI 9,14,16,Danny Woodhead middle for 1 yard (tackle by Willie Young),4.380,3.580
4,8:46,3,8,CHI 8,14,16,"Philip Rivers pass complete short right to Antonio Gates for 8 yards. Penalty on D.J. Fluker: Ineligible Downfield Pass, 5 yards (no play)",3.580,3.580
4,8:36,3,8,CHI 8,14,16,Timeout #1 by Los Angeles Chargers,3.580,3.060
4,8:36,3,13,CHI 13,14,16,Philip Rivers pass complete short left to Antonio Gates for 9 yards (tackle by Kyle Fuller),3.060,3.030
4,7:55,4,4,CHI 4,14,19,Josh Lambo 22 yard field goal good,3.030,3.000
4,7:55,,,SDG 35,14,19,"Josh Lambo kicks off 65 yards, touchback",0.000,-0.280
4,7:53,1,10,CHI 20,14,19,Jeremy Langford middle for no gain (tackle by Donald Butler),0.280,-0.270
4,7:28,2,10,CHI 20,14,19,Jay Cutler pass complete short left to Martellus Bennett for 10 yards (tackle by Brandon Flowers),-0.270,0.940
4,6:47,1,10,CHI 30,14,19,Jay Cutler pass complete short right to Alshon Jeffery for 17 yards (tackle by Steve Williams),0.940,2.060
4,6:02,1,10,CHI 47,14,19,Jeremy Langford right end for 9 yards (tackle by Kavell Conner),2.060,2.730
4,5:24,2,1,SDG 44,14,19,Ka'Deem Carey middle for 3 yards (tackle by Eric Weddle),2.730,2.850
4,5:01,1,10,SDG 41,14,19,Jay Cutler pass incomplete deep right intended for Marquess Wilson,2.850,2.310
4,4:55,2,10,SDG 41,14,19,Jay Cutler pass complete short left to Martellus Bennett for 4 yards (tackle by Damion Square),2.310,2.150
4,4:11,3,6,SDG 37,14,19,Jay Cutler pass complete short right to Alshon Jeffery for 12 yards (tackle by Steve Williams),2.150,3.910
4,3:30,1,10,SDG 25,14,19,Jay Cutler pass incomplete,3.910,3.360
4,3:24,2,10,SDG 25,20,19,"Jay Cutler pass complete deep middle to Zach Miller for 25 yards, touchdown",3.360,7.000
4,3:24,2,,SDG 25,22,19,"Two Point Attempt: Jeremy Langford middle, conversion succeeds",3.360,1.000
4,3:24,,,CHI 35,22,19,"Robbie Gould kicks off 65 yards, touchback",0.000,-0.280
4,3:19,1,10,SDG 20,22,19,Philip Rivers pass complete short right to Antonio Gates for 6 yards (tackle by Jonathan Anderson),0.280,0.540
4,2:47,2,4,SDG 26,22,19,Philip Rivers pass complete short middle to Danny Woodhead for 16 yards (tackle by Antrel Rolle),0.540,1.730
4,2:19,1,10,SDG 42,22,19,Philip Rivers pass incomplete short left intended for Dontrelle Inman,1.730,1.190
4,2:13,2,10,SDG 42,22,19,Philip Rivers pass complete short right to Javontee Herndon for 12 yards (tackle by Tracy Porter),1.190,2.520
4,2:00,1,10,CHI 46,22,19,Philip Rivers sacked by Lamarr Houston for -8 yards,2.520,0.900
4,1:32,2,18,SDG 46,22,19,"Philip Rivers pass incomplete short left intended for Dontrelle Inman. Penalty on Lamarr Houston: Defensive Offside, 5 yards (no play)",0.900,1.570
4,1:26,2,13,CHI 49,22,19,Philip Rivers sacked by Lamarr Houston for -10 yards,1.570,1.570
4,1:21,2,13,CHI 49,22,19,Timeout #2 by Los Angeles Chargers,1.570,-0.430
4,1:21,3,23,SDG 41,22,19,Philip Rivers pass incomplete short right intended for Javontee Herndon (defended by Tracy Porter),-0.430,-0.650
4,1:17,4,23,SDG 41,22,19,Philip Rivers pass incomplete deep middle intended for Dontrelle Inman,-0.650,-2.850
4,1:09,1,10,SDG 41,22,19,Jay Cutler kneels for -1 yards,2.850,2.850
4,1:07,1,10,SDG 41,22,19,Timeout #3 by Los Angeles Chargers,2.850,2.170
4,1:03,2,11,SDG 42,22,19,Jay Cutler kneels for no gain,2.170,1.490
4,0:34,3,11,SDG 42,22,19,Jay Cutler kneels for -1 yards,1.490,0.400
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
