Unnamed: 0,PIT,BAL
First Downs,16,15
Rush-Yds-TDs,25-93-0,41-172-2
Cmp-Att-Yd-TD-INT,16-33-243-2-2,10-18-98-0-0
Sacked-Yards,4-26,2-11
Net Pass Yards,217,87
Total Yards,310,259
Fumbles-Lost,1-1,0-0
Turnovers,3,0
Penalties-Yards,9-75,10-123
Third Down Conv.,3-13,5-16
Fourth Down Conv.,0-0,0-0
Time of Possession,26:52,33:08
