Unnamed: 0,SDG,NYG
First Downs,18,19
Rush-Yds-TDs,15-34-0,29-116-0
Cmp-Att-Yd-TD-INT,24-36-209-3-2,25-33-215-2-0
Sacked-Yards,2-17,5-27
Net Pass Yards,192,188
Total Yards,226,304
Fumbles-Lost,1-0,2-1
Turnovers,2,1
Penalties-Yards,3-20,9-104
Third Down Conv.,3-10,5-14
Fourth Down Conv.,0-0,0-1
Time of Possession,22:13,37:47
