Quarter,Time,Tm,Detail,SDG,NYG
2.0,14:55,Chargers,Vincent Jackson 10 yard pass from Philip Rivers (Nate Kaeding kick),7,0
,4:20,Giants,Steve Smith 6 yard pass from Eli Manning (Lawrence Tynes kick),7,7
3.0,3:51,Chargers,Kris Wilson 2 yard pass from Philip Rivers (Nate Kaeding kick),14,7
4.0,14:09,Giants,Lawrence Tynes 38 yard field goal,14,10
,8:58,Giants,Kevin Boss 8 yard pass from Eli Manning (Lawrence Tynes kick),14,17
,2:07,Giants,Lawrence Tynes 22 yard field goal,14,20
,0:21,Chargers,Vincent Jackson 18 yard pass from Philip Rivers (Nate Kaeding kick),21,20
