Quarter,Time,Down,ToGo,Location,SDG,NYG,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,NYG 10,6,0,"Philip Rivers pass complete short middle to Vincent Jackson for 10 yards, touchdown",4.910,7.000
2,,,,NYG 2,7,0,Nate Kaeding kicks extra point good,0.000,0.000
2,,,,SDG 30,7,0,"Nate Kaeding kicks off 63 yards, returned by Domenik Hixon for 17 yards (tackle by Kassim Osgood)",0.000,0.540
2,14:50,1,10,NYG 24,7,0,Eli Manning pass complete short right to Domenik Hixon for 8 yards (tackle by Quentin Jammer),0.540,1.080
2,14:23,2,2,NYG 32,7,0,Ahmad Bradshaw left tackle for 3 yards (tackle by Ian Scott),1.080,1.270
2,13:16,1,10,NYG 35,7,0,Eli Manning sacked by Alfonso Boone for -5 yards,1.270,0.050
2,12:56,2,15,NYG 30,7,0,Eli Manning pass complete short middle to Kevin Boss for 9 yards (tackle by Eric Weddle and Kevin Ellison),0.050,0.560
2,12:27,3,6,NYG 39,7,0,Eli Manning pass complete short left to Hakeem Nicks for 10 yards,0.560,2.190
2,11:49,1,10,NYG 49,7,0,Ahmad Bradshaw left end for 9 yards (tackle by Eric Weddle and Shaun Phillips),2.190,2.860
2,11:17,2,1,SDG 42,7,0,Ahmad Bradshaw for 6 yards (tackle by Eric Weddle),2.860,3.180
2,10:37,1,10,SDG 36,7,0,"Eli Manning pass complete short right to Madison Hedgecock for 6 yards (tackle by Shaun Phillips). Penalty on Ahmad Bradshaw: Chop Block, 15 yards (no play)",3.180,2.190
2,10:09,1,25,NYG 49,7,0,Eli Manning pass complete short left to Ahmad Bradshaw for 10 yards (tackle by Stephen Cooper and Luis Castillo),2.190,1.960
2,9:27,2,15,SDG 41,7,0,"Eli Manning sacked by Shaun Phillips for -7 yards. Eli Manning fumbles (forced by Shaun Phillips), recovered by Shaun O'Hara at SDG-44",1.960,0.890
2,8:36,3,18,SDG 44,7,0,Eli Manning pass complete deep right to Steve Smith for 19 yards (tackle by Paul Oliver and Steve Gregory),0.890,3.910
2,8:06,1,10,SDG 25,7,0,"Brandon Jacobs left end for -3 yards (tackle by Brandon Siler). Penalty on Shaun O'Hara: Offensive Holding, 10 yards (no play)",3.910,3.250
2,7:46,1,20,SDG 35,7,0,Eli Manning pass complete short middle to Steve Smith for 5 yards (tackle by Brandon Siler),3.250,2.690
2,6:59,2,15,SDG 30,7,0,Brandon Jacobs left tackle for 5 yards (tackle by Stephen Cooper and Paul Oliver),2.690,2.680
2,6:19,3,10,SDG 25,7,0,Eli Manning pass complete short right to Darcy Johnson for 14 yards (tackle by Quentin Jammer and Paul Oliver). Penalty on Shawne Merriman: Defensive Offside (Declined),2.680,4.840
2,5:49,1,10,SDG 11,7,0,Eli Manning pass complete short middle to Steve Smith for 5 yards (tackle by Brandon Siler),4.840,5.080
2,5:12,2,5,SDG 6,7,0,Ahmad Bradshaw left guard for no gain (tackle by Shaun Phillips),5.080,4.210
2,4:28,3,5,SDG 6,7,6,"Eli Manning pass complete short middle to Steve Smith for 6 yards, touchdown",4.210,7.000
2,,,,SDG 2,7,7,Lawrence Tynes kicks extra point good,0.000,0.000
2,,,,NYG 30,7,7,"Lawrence Tynes kicks off 64 yards, returned by Darren Sproles for 20 yards (tackle by Jonathan Goff)",0.000,0.670
2,4:13,1,10,SDG 26,7,7,Philip Rivers pass incomplete short middle intended for Jacob Hester (defended by Michael Boley),0.670,0.130
2,4:07,2,10,SDG 26,7,7,Philip Rivers pass complete short left to Antonio Gates for 29 yards (tackle by Terrell Thomas),0.130,2.590
2,3:31,1,10,NYG 45,7,7,LaDainian Tomlinson right tackle for 4 yards (tackle by Mathias Kiwanuka),2.590,2.580
2,3:00,2,6,NYG 41,7,7,LaDainian Tomlinson right guard for 5 yards (tackle by Mathias Kiwanuka and Clint Sintim),2.580,2.540
2,2:15,3,1,NYG 36,7,7,LaDainian Tomlinson right tackle for 2 yards (tackle by Clint Sintim and Rocky Bernard),2.540,3.310
2,2:00,1,10,NYG 34,7,7,Philip Rivers pass complete short right to Darren Sproles for -2 yards (tackle by Corey Webster),3.310,2.500
2,1:25,2,12,NYG 36,7,7,Philip Rivers pass complete short left to Jacob Hester for 3 yards (tackle by Michael Boley),2.500,2.210
2,1:06,,,,7,7,Timeout #1 by San Diego Chargers,0.000,2.210
2,1:06,3,9,NYG 33,7,7,"Philip Rivers sacked by Osi Umenyiora for -10 yards. Philip Rivers fumbles (forced by Osi Umenyiora), recovered by Jeromey Clary at NYG-43",2.210,0.400
2,0:59,,,,7,7,Timeout #1 by New York Giants,0.000,0.400
2,0:59,4,19,NYG 43,7,7,"Mike Scifres punts 33 yards, fair catch by Domenik Hixon",0.400,0.380
2,0:53,1,10,NYG 10,7,7,Eli Manning pass complete short right to Ahmad Bradshaw for 8 yards (tackle by Jacques Cesaire and Stephen Cooper),-0.380,0.070
2,0:32,2,2,NYG 18,7,7,Eli Manning pass incomplete short left intended for Hakeem Nicks,0.070,-0.480
2,0:25,3,2,NYG 18,7,7,Ahmad Bradshaw right end for no gain (tackle by Stephen Cooper and Steve Gregory),-0.480,-2.240
2,0:20,,,,7,7,Timeout #2 by San Diego Chargers,0.000,-2.240
2,0:20,4,2,NYG 18,7,7,Jeff Feagles punts 37 yards,-2.240,-1.930
2,0:12,1,10,SDG 45,7,7,Philip Rivers pass complete short right to Darren Sproles for 3 yards (tackle by Terrell Thomas),1.930,1.790
2,0:06,2,7,SDG 48,7,7,"Penalty on Marcus McNeill: False Start, 5 yards (no play)",1.790,1.110
2,0:06,2,12,SDG 43,7,7,Philip Rivers pass complete short right to Darren Sproles for 9 yards (tackle by Michael Boley),1.110,1.620
2,0:02,3,3,NYG 48,7,7,Philip Rivers pass incomplete deep middle intended for Vincent Jackson (defended by Bruce Johnson),1.620,0.070
Quarter,Time,Down,ToGo,Location,SDG,NYG,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,NYG 30,7,7,"Lawrence Tynes kicks off 68 yards, returned by Darren Sproles for 18 yards (tackle by Gerris Wilkinson)",0.000,0.280
3,14:55,1,10,SDG 20,7,7,LaDainian Tomlinson right guard for -1 yards (tackle by Danny Clark and Fred Robbins),0.280,-0.460
3,14:28,2,11,SDG 19,7,7,Philip Rivers pass incomplete deep right intended for Antonio Gates,-0.460,-1.140
3,14:14,3,11,SDG 19,7,7,Philip Rivers pass incomplete deep right intended for Malcom Floyd is intercepted by Michael Johnson at NYG-36,-1.140,-1.330
3,14:04,1,10,NYG 36,7,7,Eli Manning pass complete short middle to Mario Manningham for 10 yards (tackle by Quentin Jammer),1.330,1.990
3,13:35,1,10,NYG 46,7,7,Brandon Jacobs right guard for 7 yards (tackle by Kevin Ellison and Stephen Cooper),1.990,2.400
3,12:56,2,3,SDG 47,7,7,Ahmad Bradshaw right tackle for 2 yards (tackle by Shaun Phillips),2.400,1.950
3,12:14,3,1,SDG 45,7,7,Ahmad Bradshaw left tackle for no gain (tackle by Brandon Siler and Stephen Cooper),1.950,0.270
3,11:23,4,1,SDG 45,7,7,"Jeff Feagles punts 30 yards, fair catch by Darren Sproles. Penalty on Kevin Dockery: Fair Catch Interference, 15 yards",0.270,-0.940
3,11:13,1,10,SDG 30,7,7,Philip Rivers pass incomplete deep middle intended for Malcom Floyd,0.940,0.390
3,11:05,2,10,SDG 30,7,7,Philip Rivers pass complete short left to Legedu Naanee for 9 yards (tackle by Michael Boley and Aaron Rouse),0.390,0.890
3,10:23,3,1,SDG 39,7,7,Philip Rivers pass complete short left to Malcom Floyd for 17 yards (tackle by Michael Boley),0.890,2.650
3,9:35,1,10,NYG 44,7,7,Philip Rivers pass incomplete deep right intended for Vincent Jackson (defended by Corey Webster),2.650,2.110
3,9:28,2,10,NYG 44,7,7,LaDainian Tomlinson middle for 2 yards (tackle by Antonio Pierce and Barry Cofield),2.110,1.690
3,8:50,3,8,NYG 42,7,7,Philip Rivers pass incomplete short middle intended for Antonio Gates,1.690,0.460
3,8:42,4,8,NYG 42,7,7,"Mike Scifres punts 30 yards, fair catch by Domenik Hixon",0.460,0.350
3,8:35,1,10,NYG 12,7,7,"Eli Manning pass incomplete deep right intended for Steve Smith. Penalty on Kevin Ellison: Illegal Contact, 5 yards (no play)",-0.350,-0.060
3,8:29,1,10,NYG 17,7,7,Ahmad Bradshaw left end for -1 yards (tackle by Shaun Phillips),-0.060,-0.730
3,7:48,2,11,NYG 16,7,7,Eli Manning pass incomplete short right intended for Steve Smith,-0.730,-1.410
3,7:39,3,11,NYG 16,7,7,Eli Manning pass complete short middle to Steve Smith for 4 yards (tackle by Eric Weddle),-1.410,-2.030
3,7:08,4,7,NYG 20,7,7,Jeff Feagles punts 31 yards,-2.030,-2.190
3,6:54,1,10,SDG 49,7,7,LaDainian Tomlinson middle for 2 yards (tackle by Mathias Kiwanuka),2.190,1.920
3,6:26,2,8,NYG 49,7,7,Philip Rivers pass complete short left to Vincent Jackson for 9 yards (tackle by Corey Webster),1.920,2.920
3,5:45,1,10,NYG 40,7,7,LaDainian Tomlinson left tackle for 2 yards (tackle by Terrell Thomas and Clint Sintim),2.920,2.640
3,5:09,2,8,NYG 38,7,7,Philip Rivers pass complete short left to LaDainian Tomlinson for 8 yards (tackle by Terrell Thomas),2.640,3.580
3,4:43,1,10,NYG 30,7,7,"Philip Rivers pass incomplete deep left intended for Vincent Jackson (defended by Corey Webster). Penalty on Corey Webster: Illegal Contact (Declined), Penalty on Corey Webster: Defensive Pass Interfere, 29 yards (no play)",3.580,6.970
3,4:31,1,1,NYG 1,7,7,LaDainian Tomlinson right guard for -1 yards (tackle by Rocky Bernard),6.970,5.720
3,4:00,2,2,NYG 2,13,7,"Philip Rivers pass complete short right to Kris Wilson for 2 yards, touchdown",5.720,7.000
3,,,,NYG 2,14,7,Nate Kaeding kicks extra point good,0.000,0.000
3,,,,SDG 30,14,7,"Nate Kaeding kicks off 66 yards, returned by Domenik Hixon for 17 yards (tackle by Michael Bennett)",0.000,0.340
3,3:45,1,10,NYG 21,14,7,Eli Manning pass complete short left to Mario Manningham for 9 yards (tackle by Antonio Cromartie),0.340,1.020
3,3:04,2,1,NYG 30,14,7,Brandon Jacobs left end for 6 yards (tackle by Stephen Cooper and Steve Gregory),1.020,1.330
3,2:18,1,10,NYG 36,14,7,Eli Manning pass incomplete short left intended for Kevin Boss,1.330,0.790
3,2:08,2,10,NYG 36,14,7,Eli Manning pass complete short left to Hakeem Nicks for 29 yards (tackle by Paul Oliver),0.790,3.250
3,1:40,1,10,SDG 35,14,7,Hakeem Nicks left end for 9 yards (tackle by Kevin Ellison),3.250,3.920
3,1:06,2,1,SDG 26,14,7,Danny Ware left guard for 6 yards (tackle by Kevin Ellison and Steve Gregory),3.920,4.240
3,0:26,1,10,SDG 20,14,7,Danny Ware right guard for 3 yards (tackle by Brandon Siler and Stephen Cooper),4.240,4.120
Quarter,Time,Down,ToGo,Location,SDG,NYG,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,7,SDG 17,14,7,Eli Manning pass complete short right to Mario Manningham for -2 yards (tackle by Eric Weddle),4.120,3.100
4,14:23,3,9,SDG 19,14,7,Eli Manning pass incomplete short right intended for Steve Smith (defended by Kevin Ellison),3.100,2.180
,,,,,,,"SDG challenged the runner was down by contact ruling, and the original play was overturned.",,
4,14:14,4,9,SDG 19,14,10,Lawrence Tynes 38 yard field goal good,2.180,3.000
4,,,,NYG 30,14,10,"Lawrence Tynes kicks off 70 yards, touchback",0.000,0.280
4,14:09,1,10,SDG 20,14,10,Philip Rivers sacked by Fred Robbins for -7 yards,0.280,-1.280
4,13:48,2,17,SDG 13,14,10,Philip Rivers pass complete short right to Darren Sproles for -9 yards (tackle by Justin Tuck),-1.280,-3.290
4,13:08,3,26,SDG 4,14,10,Darren Sproles left guard for 1 yard (tackle by Mathias Kiwanuka and Terrell Thomas),-3.290,-2.490
4,12:36,4,25,SDG 5,14,10,"Mike Scifres punts 47 yards, returned by Domenik Hixon for 13 yards (tackle by Kassim Osgood)",-2.490,-2.980
4,12:23,1,10,SDG 39,14,10,Eli Manning pass complete short left to Mario Manningham for 5 yards (tackle by Steve Gregory),2.980,3.120
4,11:53,2,5,SDG 34,14,10,Eli Manning pass complete short left to Mario Manningham for 14 yards (tackle by Larry English),3.120,4.240
4,11:09,1,10,SDG 20,14,10,Brandon Jacobs right end for 6 yards (tackle by Paul Oliver and Stephen Cooper),4.240,4.640
4,10:27,2,4,SDG 14,14,10,Ahmad Bradshaw right tackle for 6 yards (tackle by Stephen Cooper and Shawne Merriman),4.640,5.370
4,9:48,1,8,SDG 8,14,10,Ahmad Bradshaw left guard for no gain (tackle by Eric Weddle),5.370,4.570
4,9:09,2,8,SDG 8,14,16,"Eli Manning pass complete short left to Kevin Boss for 8 yards, touchdown. Penalty on Jacques Cesaire: Defensive Offside (Declined)",4.570,7.000
4,,,,SDG 2,14,17,Lawrence Tynes kicks extra point good,0.000,0.000
4,,,,NYG 30,14,17,"Lawrence Tynes kicks off 46 yards, returned by Kris Wilson for 13 yards (tackle by Derek Hagan)",0.000,1.400
4,8:54,1,10,SDG 37,14,17,Philip Rivers middle for 15 yards (tackle by Terrell Thomas),1.400,2.390
4,8:19,1,10,NYG 48,14,17,LaDainian Tomlinson right tackle for 5 yards (tackle by Michael Boley),2.390,2.520
4,7:43,2,5,NYG 43,14,17,LaDainian Tomlinson left tackle for no gain (tackle by Michael Johnson),2.520,1.820
4,7:03,3,5,NYG 43,14,17,Vincent Jackson left end for -4 yards (tackle by Justin Tuck and Mathias Kiwanuka),1.820,0.130
4,6:38,4,9,NYG 47,14,17,"Mike Scifres punts 45 yards. Penalty on Mike Tolbert: Offensive Holding, 10 yards (no play)",0.130,-0.520
4,6:23,4,19,SDG 43,14,17,"Mike Scifres punts 34 yards, fair catch by Domenik Hixon",-0.520,-0.480
4,6:17,1,10,NYG 23,14,17,Ahmad Bradshaw left end for 5 yards (tackle by Quentin Jammer and Kevin Ellison),0.480,0.610
4,5:41,2,5,NYG 28,14,17,Eli Manning pass complete short left to Ahmad Bradshaw for 9 yards (tackle by Brandon Siler),0.610,1.400
4,4:57,1,10,NYG 37,14,17,Ahmad Bradshaw left end for 4 yards (tackle by Larry English),1.400,1.400
4,4:16,2,6,NYG 41,14,17,Eli Manning pass incomplete short right intended for Brandon Jacobs,1.400,0.700
4,4:06,3,6,NYG 41,14,17,Eli Manning sacked by Shawne Merriman for -8 yards,0.700,-1.180
4,3:43,4,14,NYG 33,14,17,Jeff Feagles punts 46 yards,-1.180,-0.340
4,3:30,1,10,SDG 21,14,17,Philip Rivers pass incomplete deep middle intended for Malcom Floyd is intercepted by Terrell Thomas at SDG-37 and returned for 33 yards,0.340,-6.280
4,3:14,1,4,SDG 4,14,17,"Brandon Jacobs right end for 3 yards (tackle by Travis Johnson). Penalty on Chris Snee: Offensive Holding, 10 yards (no play)",6.280,4.440
4,3:07,1,14,SDG 14,14,17,Eli Manning pass complete short right to Hakeem Nicks for no gain,4.440,3.580
4,3:01,,,,14,17,Timeout #1 by San Diego Chargers,0.000,3.580
4,3:01,2,14,SDG 14,14,17,Brandon Jacobs middle for 5 yards (tackle by Brandon Siler and Jacques Cesaire),3.580,3.360
4,2:55,,,,14,17,Timeout #2 by San Diego Chargers,0.000,3.360
4,2:55,3,9,SDG 9,14,17,Brandon Jacobs middle for 5 yards (tackle by Jacques Cesaire),3.360,3.030
4,2:11,4,4,SDG 4,14,20,Lawrence Tynes 22 yard field goal good,3.030,3.000
4,,,,NYG 30,14,20,"Lawrence Tynes kicks off 70 yards, touchback",0.000,0.280
4,2:05,1,10,SDG 20,14,20,Philip Rivers pass complete short middle to Antonio Gates for 9 yards (tackle by Antonio Pierce and Terrell Thomas),0.280,0.950
4,2:00,2,1,SDG 29,14,20,Philip Rivers pass complete short left to Legedu Naanee for 5 yards (tackle by Terrell Thomas),0.950,1.200
4,1:39,1,10,SDG 34,14,20,"Philip Rivers pass incomplete short left intended for Antonio Gates (defended by Fred Robbins). Penalty on Michael Boley: Defensive Holding, 5 yards (no play)",1.200,1.530
4,1:34,1,10,SDG 39,14,20,Philip Rivers pass incomplete deep left intended for Malcom Floyd (defended by Bruce Johnson),1.530,0.990
4,1:28,2,10,SDG 39,14,20,Philip Rivers pass complete short middle to Malcom Floyd for 12 yards (tackle by Bruce Johnson),0.990,2.320
4,1:08,1,10,NYG 49,14,20,Philip Rivers pass incomplete short left intended for Antonio Gates,2.320,1.780
4,1:04,2,10,NYG 49,14,20,Philip Rivers pass complete short middle to Antonio Gates for 10 yards (tackle by Michael Johnson),1.780,2.980
4,0:50,,,,14,20,Timeout #1 by New York Giants,0.000,2.980
4,0:50,1,10,NYG 39,14,20,Philip Rivers pass complete short middle to Darren Sproles for 21 yards (tackle by Michael Boley),2.980,4.370
4,0:29,1,10,NYG 18,20,20,"Philip Rivers pass complete deep right to Vincent Jackson for 18 yards, touchdown",4.370,7.000
4,,,,NYG 2,21,20,Nate Kaeding kicks extra point good,0.000,0.000
4,,,,SDG 30,21,20,"Nate Kaeding kicks off 66 yards, returned by Domenik Hixon for 25 yards (tackle by Mike Tolbert)",0.000,0.870
4,0:15,1,10,NYG 29,21,20,Eli Manning pass incomplete deep middle intended for Steve Smith (defended by Steve Gregory),0.870,0.330
4,0:10,2,10,NYG 29,21,20,Eli Manning pass incomplete short left intended for Ahmad Bradshaw,0.330,-0.360
4,0:05,3,10,NYG 29,21,20,Eli Manning sacked by Shawne Merriman for -11 yards,-0.360,-2.240
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
