Unnamed: 0,NOR,TEN
First Downs,23,17
Rush-Yds-TDs,23-102-2,26-149-1
Cmp-Att-Yd-TD-INT,28-40-299-3-0,17-27-272-3-0
Sacked-Yards,3-24,5-24
Net Pass Yards,275,248
Total Yards,377,397
Fumbles-Lost,1-0,1-1
Turnovers,0,1
Penalties-Yards,11-70,6-56
Third Down Conv.,4-12,5-13
Fourth Down Conv.,0-1,0-1
Time of Possession,31:04,28:56
