Quarter,Time,Down,ToGo,Location,NOR,TEN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Saints won the coin toss and deferred, Titans to receive the opening kickoff.",,
1,15:00,,,NOR 35,0,0,"Wil Lutz kicks off 61 yards, returned by Kalif Raymond for 24 yards (tackle by Taysom Hill and P.J. Williams)",0.000,0.810
1,14:55,1,10,TEN 28,0,0,Dion Lewis right guard for -1 yards (tackle by Chauncey Gardner-Johnson),0.810,0.130
1,14:17,2,11,TEN 27,0,0,Dion Lewis left tackle for no gain (tackle by Demario Davis and David Onyemata),0.130,-0.560
1,13:49,3,11,TEN 27,0,0,Ryan Tannehill sacked by A.J. Klein for no gain,-0.560,-1.570
1,13:07,4,11,TEN 27,0,0,"Brett Kern punts 40 yards, returned by Deonte Harris for 1 yard (tackle by Kamalei Correa). Penalty on Dwayne Washington: Offensive Holding, 10 yards",-1.570,-0.540
1,12:58,1,10,NOR 24,0,0,Alvin Kamara left tackle for 5 yards (tackle by DaQuan Jones),0.540,0.670
1,12:26,2,5,NOR 29,0,0,Drew Brees pass complete short left to Michael Thomas for 7 yards (tackle by Logan Ryan),0.670,1.330
1,11:55,1,10,NOR 36,0,0,Drew Brees pass incomplete deep right intended for Michael Thomas (defended by Tramaine Brock),1.330,0.790
1,11:50,2,10,NOR 36,0,0,Latavius Murray left tackle for no gain (tackle by LeShaun Sims),0.790,0.100
1,11:10,3,10,NOR 36,0,0,Drew Brees pass complete short right to Alvin Kamara for -1 yards (tackle by Tramaine Brock). Penalty on Jared Cook: Offensive Holding (Declined),0.100,-1.040
1,10:52,4,11,NOR 35,0,0,"Thomas Morstead punts 52 yards, returned by Kalif Raymond for 14 yards (tackle by Craig Robertson)",-1.040,-0.740
1,10:37,1,10,TEN 27,0,0,Ryan Tannehill pass complete short right to Corey Davis for 12 yards (tackle by Eli Apple),0.740,1.530
1,10:04,1,10,TEN 39,0,0,Dion Lewis left tackle for 1 yard (tackle by Taylor Stallworth and Shy Tuttle),1.530,1.120
1,9:29,2,9,TEN 40,0,0,Ryan Tannehill pass complete short left to Dion Lewis for 19 yards (tackle by Chauncey Gardner-Johnson),1.120,2.850
1,8:42,1,10,NOR 41,0,0,Dalyn Dawkins right tackle for no gain (tackle by Demario Davis),2.850,2.310
1,8:03,2,10,NOR 41,0,6,"Ryan Tannehill pass complete short middle to Jonnu Smith for 41 yards, touchdown",2.310,7.000
1,7:55,,,NOR 15,0,7,Greg Joseph kicks extra point good,0.000,0.000
1,7:55,,,TEN 35,0,7,"Greg Joseph kicks off 63 yards, returned by Deonte Harris for 41 yards (tackle by Greg Joseph)",0.000,1.800
1,7:48,1,10,NOR 43,0,7,Latavius Murray up the middle for 2 yards (tackle by Jayon Brown),1.800,1.520
1,7:18,2,8,NOR 45,0,7,"Drew Brees pass complete short right to Josh Hill for 9 yards (tackle by Jayon Brown). Penalty on Terron Armstead: Offensive Holding, 10 yards (no play)",1.520,0.170
1,6:51,2,18,NOR 35,0,7,Drew Brees pass incomplete short left intended for Latavius Murray,0.170,-0.490
1,6:47,3,18,NOR 35,0,7,Drew Brees sacked by Derick Roberson for -7 yards,-0.490,-1.500
1,6:12,4,25,NOR 28,0,7,"Thomas Morstead punts 53 yards, returned by Kalif Raymond for 11 yards (tackle by Manti Te'o)",-1.500,-0.940
1,6:01,1,10,TEN 30,0,7,Ryan Tannehill pass complete short left to Jonnu Smith for 15 yards (tackle by Marshon Lattimore),0.940,1.930
1,5:37,1,10,TEN 45,0,7,Dion Lewis right tackle for 6 yards (tackle by Eli Apple and Marcus Williams),1.930,2.190
1,5:00,2,4,NOR 49,0,13,"A.J. Brown left end for 49 yards, touchdown",2.190,7.000
1,4:50,,,NOR 15,0,14,Greg Joseph kicks extra point good,0.000,0.000
1,4:50,,,TEN 35,0,14,"Greg Joseph kicks off 60 yards, returned by Deonte Harris for 25 yards (tackle by Joshua Kalu and Cody Hollister)",0.000,0.940
1,4:43,1,10,NOR 30,0,14,Alvin Kamara up the middle for -1 yards (tackle by Rashaan Evans),0.940,0.260
1,4:04,2,11,NOR 29,0,14,Drew Brees pass complete short right to Jared Cook for 7 yards (tackle by Kevin Byard),0.260,0.500
1,3:28,3,4,NOR 36,0,14,Drew Brees pass complete short right to Michael Thomas for 7 yards (tackle by Tramaine Brock),0.500,1.800
1,2:48,1,10,NOR 43,0,14,"Penalty on Josh Hill: False Start, 5 yards (no play)",1.800,1.470
1,2:28,1,15,NOR 38,0,14,Drew Brees pass incomplete deep middle intended for Michael Thomas,1.470,0.580
1,2:24,2,15,NOR 38,0,14,Drew Brees pass complete short middle to Michael Thomas for 19 yards (tackle by Kevin Byard),0.580,2.720
1,1:45,1,10,TEN 43,0,14,Latavius Murray left tackle for 2 yards (tackle by LeShaun Sims and Rashaan Evans),2.720,2.450
1,1:09,2,8,TEN 41,0,14,Taysom Hill left end for 7 yards (tackle by LeShaun Sims),2.450,2.680
1,0:47,3,1,TEN 34,0,14,Latavius Murray up the middle for 2 yards (tackle by Jayon Brown),2.680,3.450
1,0:13,1,10,TEN 32,0,14,Drew Brees pass complete short middle to Latavius Murray for 4 yards (tackle by Jayon Brown),3.450,3.440
Quarter,Time,Down,ToGo,Location,NOR,TEN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,6,TEN 28,0,14,"Penalty on Nick Easton: False Start, 5 yards (no play)",3.440,2.770
2,15:00,2,11,TEN 33,0,14,"Drew Brees pass incomplete short middle intended for Jared Cook. Penalty on Jayon Brown: Defensive Pass Interference, 11 yards (no play)",2.770,4.110
2,14:56,1,10,TEN 22,0,14,"Penalty on Nick Easton: False Start, 5 yards (no play)",4.110,3.780
2,14:56,1,15,TEN 27,0,14,Drew Brees pass incomplete deep middle intended for Ted Ginn (defended by Tramaine Brock),3.780,2.890
2,14:50,2,15,TEN 27,0,14,Drew Brees pass complete short right to Alvin Kamara for 7 yards (tackle by Tramaine Brock),2.890,3.140
2,14:18,,,,,,Timeout #1 by New Orleans Saints,,
2,14:18,3,8,TEN 20,0,14,Drew Brees sacked by Jurrell Casey for -9 yards,3.140,1.500
2,13:41,4,17,TEN 29,3,14,Wil Lutz 47 yard field goal good,1.500,3.000
2,13:36,,,NOR 35,3,14,"Wil Lutz kicks off 65 yards, touchback.",0.000,0.610
2,13:36,1,10,TEN 25,3,14,"Ryan Tannehill pass complete short left to A.J. Brown for 15 yards (tackle by Demario Davis). Penalty on Taylor Lewan: Ineligible Downfield Pass, 5 yards. Penalty on Rodger Saffold: Illegal Block Above the Waist, 5 yards (no play)",0.610,0.280
2,13:15,1,15,TEN 20,3,14,Dion Lewis up the middle for 4 yards (tackle by Cameron Jordan),0.280,-0.070
2,12:42,2,11,TEN 24,3,14,Ryan Tannehill pass incomplete deep right,-0.070,-0.760
2,12:34,3,11,TEN 24,3,14,Ryan Tannehill pass complete short right to Jonnu Smith for 7 yards (tackle by Demario Davis),-0.760,-1.310
2,12:00,4,4,TEN 31,3,14,Brett Kern punts 44 yards out of bounds,-1.310,-0.610
2,11:54,1,10,NOR 25,3,14,Drew Brees pass incomplete short right,0.610,0.060
2,11:47,2,10,NOR 25,3,14,Drew Brees pass complete short left to Michael Thomas for 15 yards (tackle by LeShaun Sims),0.060,1.600
2,11:21,1,10,NOR 40,3,14,"Alvin Kamara up the middle for 8 yards (tackle by Kenny Vaccaro). Penalty on Josh Hill: Offensive Holding, 10 yards (no play)",1.600,0.940
2,11:00,1,20,NOR 30,3,14,Drew Brees pass complete short left to Alvin Kamara for 7 yards,0.940,0.650
2,10:39,2,13,NOR 37,3,14,Drew Brees pass complete short left to Michael Thomas for 6 yards (tackle by LeShaun Sims),0.650,0.760
2,10:12,3,7,NOR 43,3,14,Drew Brees pass complete short right to Krishawn Hogan for 4 yards (tackle by Logan Ryan),0.760,-0.260
2,9:40,4,3,NOR 47,3,14,"Thomas Morstead punts 42 yards, fair catch by Kalif Raymond at TEN-11",-0.260,0.370
2,9:33,1,10,TEN 11,3,14,"Ryan Tannehill sacked by Mario Edwards for no gain. Penalty on David Onyemata: Illegal Use of Hands, 5 yards (no play)",-0.370,-0.140
