Unnamed: 0,CLE,PIT
First Downs,15,17
Rush-Yds-TDs,20-79-0,29-120-1
Cmp-Att-Yd-TD-INT,23-41-240-1-1,19-31-179-1-2
Sacked-Yards,3-26,1-7
Net Pass Yards,214,172
Total Yards,293,292
Fumbles-Lost,1-1,1-0
Turnovers,2,2
Penalties-Yards,3-30,2-15
Third Down Conv.,6-15,5-12
Fourth Down Conv.,0-3,0-0
Time of Possession,29:43,30:17
