0,1
Officials,Officials
Referee,Craig Wrolstad
Umpire,Ruben Fowler
Down Judge,Tripp Sutter
Line Judge,Tim Podraza
Back Judge,Keith Ferguson
Side Judge,Gary Cavaletto
Field Judge,Clay Reynard
