Quarter,Time,Tm,Detail,ATL,MIN
1.0,12:02,Falcons,Julio Jones 20 yard pass from Matt Ryan (Younghoe Koo kick),7,0
,3:02,Falcons,Younghoe Koo 50 yard field goal,10,0
2.0,1:54,Falcons,Calvin Ridley 8 yard pass from Matt Ryan (Younghoe Koo kick),17,0
,0:01,Falcons,Younghoe Koo 21 yard field goal,20,0
3.0,10:45,Falcons,Younghoe Koo 47 yard field goal,23,0
,6:25,Vikings,Justin Jefferson 11 yard pass from Kirk Cousins (Dan Bailey kick),23,7
,2:01,Falcons,Julio Jones 40 yard pass from Matt Ryan (Younghoe Koo kick),30,7
4.0,7:07,Falcons,Younghoe Koo 43 yard field goal,33,7
,3:58,Vikings,Adam Thielen 2 yard pass from Kirk Cousins (Irv Smith Jr. pass from Kirk Cousins),33,15
,2:11,Falcons,Hayden Hurst 35 yard pass from Matt Ryan (Younghoe Koo kick),40,15
,1:26,Vikings,Justin Jefferson 49 yard pass from Kirk Cousins (Justin Jefferson pass from Kirk Cousins),40,23
