Unnamed: 0,ATL,MIN
First Downs,24,19
Rush-Yds-TDs,37-99-0,13-32-0
Cmp-Att-Yd-TD-INT,30-40-371-4-0,24-36-343-3-3
Sacked-Yards,2-8,1-10
Net Pass Yards,363,333
Total Yards,462,365
Fumbles-Lost,2-1,0-0
Turnovers,1,3
Penalties-Yards,5-25,3-30
Third Down Conv.,9-17,3-10
Fourth Down Conv.,3-3,1-2
Time of Possession,40:07,19:53
