Unnamed: 0,CLE,CIN
First Downs,15,22
Rush-Yds-TDs,20-74-0,39-179-3
Cmp-Att-Yd-TD-INT,12-27-279-3-3,16-28-190-1-1
Sacked-Yards,6-40,1-8
Net Pass Yards,239,182
Total Yards,313,361
Fumbles-Lost,1-0,1-0
Turnovers,3,1
Penalties-Yards,4-33,3-20
Third Down Conv.,4-13,9-14
Fourth Down Conv.,1-1,0-0
Time of Possession,25:19,34:41
