Quarter,Time,Tm,Detail,CLE,CIN
1.0,13:32,Browns,Damion Ratley 46 yard pass from Baker Mayfield (Austin Seibert kick),7,0
,9:53,Bengals,C.J. Uzomah 15 yard pass from Andy Dalton (Randy Bullock kick),7,7
,4:45,Bengals,Joe Mixon 3 yard rush (Randy Bullock kick failed),7,13
2.0,10:06,Bengals,Andy Dalton 5 yard rush (Randy Bullock kick),7,20
,6:53,Browns,Austin Seibert 42 yard field goal,10,20
,1:52,Browns,Jarvis Landry 56 yard pass from Baker Mayfield (Austin Seibert kick failed),16,20
3.0,9:04,Bengals,Randy Bullock 47 yard field goal,16,23
4.0,14:16,Bengals,Joe Mixon 2 yard rush (Randy Bullock kick),16,30
,7:16,Browns,Odell Beckham Jr. 20 yard pass from Baker Mayfield (Austin Seibert kick),23,30
,1:55,Bengals,Randy Bullock 46 yard field goal,23,33
