Unnamed: 0,IND,HOU
First Downs,19,26
Rush-Yds-TDs,32-161-1,28-158-1
Cmp-Att-Yd-TD-INT,21-32-252-1-1,25-39-269-2-1
Sacked-Yards,3-21,1-13
Net Pass Yards,231,256
Total Yards,392,414
Fumbles-Lost,0-0,1-0
Turnovers,1,1
Penalties-Yards,7-42,7-59
Third Down Conv.,5-14,5-11
Fourth Down Conv.,0-1,0-0
Time of Possession,36:33,30:17
