Unnamed: 0,TAM,NOR
First Downs,17,14
Rush-Yds-TDs,16-34-0,31-102-1
Cmp-Att-Yd-TD-INT,28-44-276-2-1,10-26-165-2-0
Sacked-Yards,4-27,4-29
Net Pass Yards,249,136
Total Yards,283,238
Fumbles-Lost,4-2,2-1
Turnovers,3,1
Penalties-Yards,5-40,6-57
Third Down Conv.,2-14,9-17
Fourth Down Conv.,3-3,0-0
Time of Possession,32:40,27:20
