Quarter,Time,Tm,Detail,BUF,TEN
1.0,6:07,Bills,Tyler Bass 24 yard field goal,3,0
2.0,11:36,Bills,Tyler Bass 28 yard field goal,6,0
,11:20,Titans,Derrick Henry 76 yard rush (Randy Bullock kick),6,7
,7:54,Bills,Stefon Diggs 14 yard pass from Josh Allen (Tyler Bass kick),13,7
,5:04,Titans,Randy Bullock 43 yard field goal,13,10
,4:23,Titans,Ryan Tannehill 4 yard rush (Randy Bullock kick),13,17
,0:40,Bills,Cole Beasley 29 yard pass from Josh Allen (Tyler Bass kick),20,17
3.0,10:49,Bills,Tyler Bass 52 yard field goal,23,17
,4:23,Titans,Derrick Henry 3 yard rush (Randy Bullock kick),23,24
,0:27,Bills,Tommy Sweeney 1 yard pass from Josh Allen (Josh Allen pass from Dawson Knox),31,24
4.0,9:45,Titans,Randy Bullock 38 yard field goal,31,27
,3:05,Titans,Derrick Henry 13 yard rush (Randy Bullock kick),31,34
