Unnamed: 0,BUF,TEN
First Downs,28,16
Rush-Yds-TDs,23-82-0,22-146-4
Cmp-Att-Yd-TD-INT,35-47-353-3-1,18-29-216-0-1
Sacked-Yards,3-18,0-0
Net Pass Yards,335,216
Total Yards,417,362
Fumbles-Lost,1-0,0-0
Turnovers,1,1
Penalties-Yards,8-60,7-91
Third Down Conv.,7-13,4-10
Fourth Down Conv.,0-1,1-1
Time of Possession,32:50,27:10
