Quarter,Time,Down,ToGo,Location,CHI,CAR,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Panthers won the coin toss and deferred, Bears to receive the opening kickoff.",,
1,15:00,,,CAR 30,0,0,"Rhys Lloyd kicks off 70 yards, returned by Danieal Manning for 62 yards (tackle by Mike Goodson)",0.000,3.050
1,14:51,1,10,CAR 38,0,0,Matt Forte left tackle for 1 yard (tackle by James Anderson and Dan Connor),3.050,2.640
1,14:17,2,9,CAR 37,0,0,Matt Forte right end for 14 yards (tackle by Dan Connor),2.640,4.040
1,13:52,1,10,CAR 23,0,0,Todd Collins pass complete short left to Devin Hester for 5 yards (tackle by Jon Beason),4.040,4.210
1,13:22,2,5,CAR 18,6,0,"Matt Forte left end for 18 yards, touchdown",4.210,7.000
1,,,,CAR 2,7,0,Robbie Gould kicks extra point good,0.000,0.000
1,,,,CHI 30,7,0,"Robbie Gould kicks off 48 yards, returned by Eric Norwood for 17 yards (tackle by Josh Bullocks)",0.000,1.530
1,13:11,1,10,CAR 39,7,0,DeAngelo Williams middle for no gain (tackle by Lance Briggs),1.530,0.990
1,12:34,2,10,CAR 39,7,0,DeAngelo Williams middle for 23 yards (tackle by Danieal Manning and Charles Tillman),0.990,3.050
1,11:56,1,10,CHI 38,7,0,DeAngelo Williams right tackle for 6 yards (tackle by Tim Jennings and Brian Urlacher),3.050,3.320
1,11:17,2,4,CHI 32,7,0,"Penalty on Geoff Schwartz: False Start, 5 yards (no play)",3.320,2.640
1,11:03,2,9,CHI 37,7,0,Jonathan Stewart right end for 1 yard (tackle by Chris Harris),2.640,2.080
1,10:26,3,8,CHI 36,7,0,Jonathan Stewart middle for 24 yards (tackle by Danieal Manning and Charles Tillman),2.080,4.780
1,9:44,1,10,CHI 12,7,0,DeAngelo Williams middle for 1 yard (tackle by Israel Idonije),4.780,4.270
1,9:10,2,9,CHI 11,7,0,DeAngelo Williams middle for 3 yards (tackle by Julius Peppers),4.270,3.930
1,8:32,3,6,CHI 8,7,0,DeAngelo Williams middle for 2 yards (tackle by Lance Briggs),3.930,3.000
1,7:55,4,4,CHI 6,7,3,John Kasay 24 yard field goal good,3.000,3.000
1,,,,CAR 30,7,3,"Rhys Lloyd kicks off 75 yards, returned by Danieal Manning for 37 yards (tackle by Eric Norwood)",0.000,1.070
1,7:46,1,10,CHI 32,13,3,"Matt Forte left end for 68 yards, touchdown",1.070,7.000
1,,,,CAR 2,14,3,Robbie Gould kicks extra point good,0.000,0.000
1,,,,CHI 30,14,3,"Robbie Gould kicks off 67 yards, returned by Mike Goodson for 30 yards (tackle by Garrett Wolfe)",0.000,1.140
1,7:29,1,10,CAR 33,14,3,"Jimmy Clausen for no gain. Jimmy Clausen fumbles, recovered by Jimmy Clausen at CAR-32",1.140,0.460
1,7:04,2,11,CAR 32,14,3,Jonathan Stewart left end for no gain (tackle by Israel Idonije),0.460,-0.230
1,6:26,3,11,CAR 32,14,3,Jimmy Clausen pass incomplete short right intended for David Gettis is intercepted by Julius Peppers at CAR-27,-0.230,-3.780
1,6:20,1,10,CAR 27,14,3,Devin Hester left end for 10 yards (tackle by Richard Marshall),3.780,4.440
1,6:02,1,10,CAR 17,14,3,Chester Taylor middle for 3 yards (tackle by Charles Godfrey),4.440,4.320
1,5:24,2,7,CAR 14,14,3,Todd Collins pass incomplete (defended by Charles Johnson),4.320,3.500
1,5:19,3,7,CAR 14,14,3,Todd Collins pass complete short middle to Earl Bennett for 4 yards (tackle by Jordan Pugh),3.500,2.860
1,4:41,4,3,CAR 10,17,3,Robbie Gould 28 yard field goal good,2.860,3.000
1,,,,CHI 30,17,3,"Robbie Gould kicks off 70 yards, touchback",0.000,0.280
1,4:37,1,10,CAR 20,17,3,"Penalty on Jeff King: False Start, 5 yards (no play)",0.280,-0.310
1,4:36,1,15,CAR 15,17,3,DeAngelo Williams left tackle for 2 yards (tackle by Brian Urlacher),-0.310,-0.790
1,4:05,2,13,CAR 17,17,3,"Jimmy Clausen sacked by Israel Idonije for -5 yards. Jimmy Clausen fumbles (forced by Israel Idonije), recovered by Geoff Schwartz at CAR-11",-0.790,-2.470
1,3:17,3,19,CAR 11,17,3,Jimmy Clausen pass complete short right to DeAngelo Williams for 2 yards,-2.470,-2.490
1,2:51,4,17,CAR 13,17,3,"Jason Baker punts 46 yards, returned by Devin Hester for 50 yards",-2.490,-5.140
1,2:38,1,9,CAR 9,17,3,Chester Taylor middle for 8 yards (tackle by Jordan Pugh),5.140,5.910
,,,,,,,"CHI challenged the runner broke the plane ruling, and the play was upheld.",,
1,2:34,2,1,CAR 1,17,3,Chester Taylor right tackle for no gain (tackle by Nick Hayden),5.910,5.170
,,,,,,,"CAR challenged the runner was down by contact ruling, and the play was upheld.",,
1,2:09,3,1,CAR 1,17,3,Todd Collins pass incomplete short middle intended for Devin Hester is intercepted by Edward Johnson at CAR-1 and returned for 5 yards,5.170,0.380
1,2:03,1,10,CAR 6,17,3,Jonathan Stewart left tackle for 2 yards (tackle by Lance Briggs),-0.380,-0.630
1,1:23,2,8,CAR 8,17,3,"Jimmy Clausen pass incomplete deep left intended for Jeff King. Penalty on Charles Tillman: Defensive Pass Interfere, 20 yards (no play)",-0.630,0.810
1,1:19,1,10,CAR 28,17,3,Jimmy Clausen pass incomplete short left intended for Brandon LaFell (defended by Charles Tillman),0.810,0.260
1,1:16,2,10,CAR 28,17,3,Jimmy Clausen sacked by Lance Briggs for -6 yards,0.260,-1.220
1,0:41,3,16,CAR 22,17,3,Jimmy Clausen pass complete short right to David Gettis for 13 yards (tackle by Chris Harris),-1.220,-1.040
1,0:04,4,3,CAR 35,17,3,Jason Baker punts 46 yards,-1.040,-0.150
Quarter,Time,Down,ToGo,Location,CHI,CAR,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,CHI 19,17,3,Matt Forte left end for 1 yard (tackle by Richard Marshall),0.150,-0.200
2,14:30,2,9,CHI 20,17,3,Todd Collins pass complete short left to Matt Forte for 8 yards (tackle by Dan Connor),-0.200,0.100
2,13:48,3,1,CHI 28,17,3,Chester Taylor right tackle for 2 yards (tackle by Jon Beason),0.100,0.940
2,13:07,1,10,CHI 30,17,3,Matt Forte middle for 3 yards (tackle by Charles Johnson and Jon Beason),0.940,0.800
2,12:35,2,7,CHI 33,17,3,Todd Collins pass complete short right to Matt Forte for 14 yards (tackle by James Anderson and Dan Connor),0.800,2.060
2,11:49,1,10,CHI 47,17,3,Chester Taylor middle for 1 yard (tackle by Nick Hayden),2.060,1.650
2,11:14,2,9,CHI 48,17,3,Todd Collins pass incomplete deep right intended for Greg Olsen,1.650,0.960
2,11:08,3,9,CHI 48,17,3,Todd Collins pass incomplete deep left intended for Johnny Knox is intercepted by Jordan Pugh at CAR-26 and returned for -2 yards,0.960,-0.540
2,11:00,1,10,CAR 24,17,3,"Jimmy Clausen pass incomplete deep left intended for Brandon LaFell. Penalty on Brandon LaFell: Offensive Pass Interfere, 10 yards (no play)",0.540,-0.500
2,10:54,1,20,CAR 14,17,3,DeAngelo Williams middle for -1 yards (tackle by Anthony Adams and Tim Jennings). Penalty on Ryan Kalil: Offensive Holding (Declined),-0.500,-1.570
2,10:31,2,21,CAR 13,17,3,"Jimmy Clausen for no gain. Jimmy Clausen fumbles, recovered by Jimmy Clausen at CAR-2",-1.570,-3.990
2,9:55,3,32,CAR 2,17,3,DeAngelo Williams left tackle for 11 yards (tackle by Danieal Manning),-3.990,-2.490
2,9:55,4,21,CAR 13,17,3,Jason Baker punts 44 yards,-2.490,-1.800
2,9:48,1,10,CHI 43,17,3,Matt Forte middle for -2 yards (tackle by Charles Johnson and Dan Connor),1.800,0.980
2,9:19,2,12,CHI 41,17,3,Matt Forte middle for 7 yards (tackle by James Anderson),0.980,1.220
2,8:42,3,5,CHI 48,17,3,Todd Collins sacked by Greg Hardy for -6 yards,1.220,-0.590
2,8:10,4,11,CHI 42,17,3,Brad Maynard punts 42 yards,-0.590,0.140
2,8:03,1,10,CAR 16,17,3,Jonathan Stewart right tackle for no gain (tackle by Matt Toeaina),-0.140,-0.660
2,7:26,2,10,CAR 16,17,3,"Jimmy Clausen pass complete short left to Jonathan Stewart for 15 yards (tackle by Lance Briggs). Penalty on David Clowney: Offensive Pass Interfere, 8 yards (no play)",-0.660,-1.360
2,6:58,2,18,CAR 8,17,3,Jonathan Stewart middle for no gain (tackle by Brian Urlacher and Israel Idonije),-1.360,-2.360
2,6:17,3,18,CAR 8,17,3,Jimmy Clausen pass complete short middle to DeAngelo Williams for 5 yards (tackle by Lance Briggs),-2.360,-2.490
