Unnamed: 0,CHI,CAR
First Downs,13,8
Rush-Yds-TDs,42-218-2,25-85-0
Cmp-Att-Yd-TD-INT,8-19-51-0-4,14-32-96-0-3
Sacked-Yards,3-22,5-34
Net Pass Yards,29,62
Total Yards,247,147
Fumbles-Lost,0-0,4-0
Turnovers,4,3
Penalties-Yards,5-45,7-53
Third Down Conv.,3-15,3-18
Fourth Down Conv.,0-0,1-1
Time of Possession,30:19,29:41
