Unnamed: 0,PIT,BAL
First Downs,27,18
Rush-Yds-TDs,27-113-1,16-61-1
Cmp-Att-Yd-TD-INT,29-48-292-2-0,24-38-218-0-0
Sacked-Yards,1-10,2-14
Net Pass Yards,282,204
Total Yards,395,265
Fumbles-Lost,0-0,1-0
Turnovers,0,0
Penalties-Yards,8-103,5-25
Third Down Conv.,10-16,4-12
Fourth Down Conv.,1-1,0-1
Time of Possession,36:29,23:31
