Unnamed: 0,GNB,BUF
First Downs,21,20
Rush-Yds-TDs,31-208-0,27-153-1
Cmp-Att-Yd-TD-INT,19-30-203-2-1,13-25-218-2-2
Sacked-Yards,2-13,2-2
Net Pass Yards,190,216
Total Yards,398,369
Fumbles-Lost,0-0,1-0
Turnovers,1,2
Penalties-Yards,8-58,4-35
Third Down Conv.,6-12,2-7
Fourth Down Conv.,0-2,0-0
Time of Possession,33:48,26:12
