Quarter,Time,Down,ToGo,Location,GNB,BUF,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Packers won the coin toss and deferred, Bills to receive the opening kickoff.",,
1,15:00,,,GNB 35,0,0,"Mason Crosby kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,BUF 25,0,0,Devin Singletary left guard for 6 yards (tackle by Quay Walker and Dean Lowry),0.610,0.870
1,14:25,2,4,BUF 31,0,0,Josh Allen pass incomplete short left intended for Gabriel Davis (defended by Jaire Alexander),0.870,0.170
1,14:18,3,4,BUF 31,0,0,Josh Allen pass incomplete intended for Gabriel Davis (defended by Jaire Alexander),0.170,-1.310
1,14:11,4,4,BUF 31,0,0,"Sam Martin punts 44 yards, returned by Amari Rodgers for 3 yards (tackle by Siran Neal)",-1.310,-0.810
1,14:02,1,10,GNB 28,0,0,Aaron Jones left guard for 2 yards (tackle by Damar Hamlin),0.810,0.530
1,13:21,2,8,GNB 30,0,0,Aaron Jones up the middle for 6 yards (tackle by Matt Milano and Jordan Poyer),0.530,0.630
1,12:42,3,2,GNB 36,0,0,Aaron Rodgers pass complete short right to Sammy Watkins for 3 yards,0.630,1.530
1,11:55,1,10,GNB 39,0,0,Aaron Rodgers pass complete short left to AJ Dillon for 9 yards (tackle by Tremaine Edmunds),1.530,2.200
1,11:09,2,1,GNB 48,0,0,Aaron Rodgers pass complete short right to Aaron Jones for 7 yards (tackle by Tremaine Edmunds and Jordan Poyer),2.200,2.590
1,10:46,1,10,BUF 45,0,0,AJ Dillon up the middle for 2 yards (tackle by Tremaine Edmunds),2.590,2.310
1,10:09,2,8,BUF 43,0,0,Aaron Rodgers sacked by Tim Settle for -7 yards,2.310,0.700
1,9:30,3,15,BUF 50,0,0,Aaron Rodgers pass complete short middle to Christian Watson for 12 yards (tackle by Tremaine Edmunds),0.700,0.720
1,8:50,4,3,BUF 38,0,0,Aaron Rodgers pass incomplete short left intended for Romeo Doubs,0.720,-1.530
1,8:47,1,10,BUF 39,0,0,Devin Singletary right guard for 9 yards (tackle by Quay Walker),1.530,2.200
1,8:08,2,1,BUF 48,0,0,Devin Singletary left tackle for 5 yards (tackle by Quay Walker and De'Vondre Campbell),2.200,2.460
1,7:30,1,10,GNB 47,0,0,Devin Singletary right guard for 30 yards (tackle by Darnell Savage),2.460,4.440
1,6:49,,,,,,Timeout #1 by Buffalo Bills,,
1,6:49,1,10,GNB 17,0,0,Devin Singletary right guard for 1 yard (tackle by Preston Smith),4.440,4.000
1,6:09,2,9,GNB 16,0,0,Isaiah McKenzie right end for -5 yards (tackle by Kingsley Enagbare),4.000,2.680
1,5:20,3,14,GNB 21,0,0,Josh Allen scrambles left end for 20 yards (tackle by Rasul Douglas and Adrian Amos),2.680,6.970
1,4:32,1,1,GNB 1,0,0,Devin Singletary up the middle for no gain (tackle by Jarran Reed and Tedarrell Slaton),6.970,5.910
1,3:40,2,1,GNB 1,0,6,"Josh Allen pass complete short left to Dawson Knox for 1 yard, touchdown",5.910,7.000
1,3:34,,,GNB 15,0,7,Tyler Bass kicks extra point good,0.000,0.000
1,3:34,,,BUF 35,0,7,"Tyler Bass kicks off 62 yards, returned by Keisean Nixon for 17 yards (tackle by Jaquan Johnson)",0.000,0.280
1,3:27,1,10,GNB 20,0,7,Aaron Rodgers pass incomplete deep middle intended for Romeo Doubs (defended by Dane Jackson),0.280,-0.270
1,3:19,2,10,GNB 20,0,7,Aaron Rodgers pass complete short right to Robert Tonyan for 3 yards (tackle by Damar Hamlin),-0.270,-0.560
1,2:37,3,7,GNB 23,0,7,Aaron Rodgers pass complete short right to Aaron Jones for 2 yards (tackle by Jordan Phillips and Ed Oliver),-0.560,-1.700
1,1:53,4,5,GNB 25,0,7,"Pat O'Donnell punts 43 yards, returned by Khalil Shakir for 17 yards (tackle by Isaiah McDuffie and Patrick Taylor)",-1.700,-2.190
1,1:41,1,10,BUF 49,0,7,Josh Allen sacked by Rasul Douglas for no gain,2.190,1.650
1,1:00,2,10,BUF 49,0,7,Josh Allen pass complete short middle to Devin Singletary for 16 yards (tackle by De'Vondre Campbell),1.650,3.250
1,0:24,1,10,GNB 35,0,7,"Josh Allen pass complete short right to Stefon Diggs for 9 yards. Stefon Diggs fumbles (forced by Quay Walker), recovered by Stefon Diggs at GB-26 (tackle by Quay Walker)",3.250,3.920
Quarter,Time,Down,ToGo,Location,GNB,BUF,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,1,GNB 26,0,13,"Josh Allen pass complete deep right to Stefon Diggs for 26 yards, touchdown",3.920,7.000
2,14:53,,,GNB 15,0,14,Tyler Bass kicks extra point good,0.000,0.000
2,14:53,,,BUF 35,0,14,"Tyler Bass kicks off 60 yards, returned by Keisean Nixon for 15 yards (tackle by Siran Neal and Cameron Lewis)",0.000,0.280
2,14:47,1,10,GNB 20,0,14,Aaron Jones right end for 7 yards (tackle by Jordan Poyer),0.280,0.680
2,14:11,2,3,GNB 27,0,14,AJ Dillon right guard for 7 yards (tackle by Matt Milano),0.680,1.200
2,13:33,1,10,GNB 34,0,14,Aaron Jones left end for 5 yards (tackle by Tremaine Edmunds),1.200,1.330
2,12:48,2,5,GNB 39,0,14,Aaron Jones up the middle for 4 yards (tackle by Ed Oliver and DaQuan Jones),1.330,1.160
2,12:06,3,1,GNB 43,0,14,Aaron Jones up the middle for 3 yards (tackle by Boogie Basham),1.160,1.990
2,11:29,1,10,GNB 46,0,14,Aaron Rodgers pass complete short left to Romeo Doubs for 7 yards (tackle by Dane Jackson),1.990,2.400
2,10:48,2,3,BUF 47,0,14,AJ Dillon left tackle for 2 yards (tackle by Tremaine Edmunds and Damar Hamlin),2.400,1.950
2,10:06,3,1,BUF 45,0,14,AJ Dillon up the middle for 1 yard (tackle by Gregory Rousseau and Tremaine Edmunds),1.950,2.650
2,9:19,,,,,,Timeout #1 by Green Bay Packers,,
2,9:19,1,10,BUF 44,0,14,"Aaron Rodgers sacked by Ed Oliver for no gain. Penalty on Dane Jackson: Illegal Use of Hands / Defense, 5 yards (accepted) (no play)",2.650,2.980
2,8:45,1,10,BUF 39,0,14,Aaron Jones left end for 9 yards (tackle by Taron Johnson and Tremaine Edmunds),2.980,3.660
2,8:05,2,1,BUF 30,0,14,Aaron Jones left guard for 13 yards (tackle by Christian Benford),3.660,4.440
2,7:22,1,10,BUF 17,0,14,"Penalty on Amari Rodgers: False Start, 5 yards (accepted) (no play)",4.440,4.110
2,7:03,1,15,BUF 22,0,14,Aaron Jones left guard for 3 yards (tackle by Von Miller),4.110,3.600
2,6:21,2,12,BUF 19,6,14,"Aaron Rodgers pass complete deep right to Romeo Doubs for 19 yards, touchdown",3.600,7.000
2,6:15,,,BUF 15,7,14,Mason Crosby kicks extra point good,0.000,0.000
2,6:15,,,GNB 35,7,14,"Mason Crosby kicks off 68 yards, returned by Isaiah McKenzie for 23 yards (tackle by Rasul Douglas)",0.000,0.280
2,6:10,1,10,BUF 20,7,14,Josh Allen pass complete short left to Dawson Knox for 9 yards (tackle by Adrian Amos),0.280,0.950
2,5:31,2,1,BUF 29,7,14,James Cook right guard for 17 yards (tackle by Jarran Reed),0.950,1.990
2,4:52,1,10,BUF 46,7,14,James Cook left end for 4 yards (tackle by Preston Smith),1.990,1.990
