Quarter,Time,Tm,Detail,GNB,BUF
1.0,3:34,Bills,Dawson Knox 1 yard pass from Josh Allen (Tyler Bass kick),0,7
2.0,14:53,Bills,Stefon Diggs 26 yard pass from Josh Allen (Tyler Bass kick),0,14
,6:15,Packers,Romeo Doubs 19 yard pass from Aaron Rodgers (Mason Crosby kick),7,14
,1:54,Bills,Isaiah McKenzie 7 yard rush (Tyler Bass kick),7,21
,0:00,Bills,Tyler Bass 42 yard field goal,7,24
3.0,10:20,Packers,Mason Crosby 38 yard field goal,10,24
,5:59,Bills,Tyler Bass 38 yard field goal,10,27
4.0,6:32,Packers,Samori Toure 37 yard pass from Aaron Rodgers (Mason Crosby kick),17,27
