Quarter,Time,Down,ToGo,Location,DAL,NYG,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Cowboys won the coin toss, Cowboys to receive the opening kickoff.",,
1,15:00,,,NYG 35,0,0,"Josh Brown kicks off 65 yards, touchback",0.000,-0.280
1,15:00,1,10,DAL 20,0,0,DeMarco Murray left end for 3 yards (tackle by Mark Herzlich and Quintin Demps),0.280,0.140
1,14:34,2,7,DAL 23,0,0,Tony Romo pass incomplete short middle intended for Gavin Escobar,0.140,-0.560
1,14:25,3,7,DAL 23,0,0,Tony Romo pass incomplete deep left intended for Dez Bryant,-0.560,-1.830
1,14:18,4,7,DAL 23,0,0,"Chris Jones punts 57 yards, out of bounds",-1.830,-0.280
1,14:08,1,10,NYG 20,0,0,Rashad Jennings right end for 3 yards (tackle by Brandon Carr and Nick Hayden),0.280,0.140
1,13:34,2,7,NYG 23,0,0,Rashad Jennings left tackle for 2 yards (tackle by Rolando McClain and George Selvie),0.140,-0.300
1,12:50,3,5,NYG 25,0,0,Eli Manning pass complete short middle to Odell Beckham for 12 yards (tackle by Barry Church),-0.300,1.400
1,12:13,1,10,NYG 37,0,0,Eli Manning pass complete short middle to Rashad Jennings for 6 yards (tackle by Nick Hayden),1.400,1.670
1,11:49,2,4,NYG 43,0,0,Rashad Jennings up the middle for 1 yard (tackle by Rolando McClain and Anthony Spencer),1.670,1.090
1,11:10,3,3,NYG 44,0,0,Eli Manning pass complete short left to Rueben Randle for 21 yards (tackle by Sterling Moore),1.090,3.250
1,10:29,1,10,DAL 35,0,0,Rashad Jennings right guard for no gain (tackle by Barry Church and Bruce Carter),3.250,2.700
1,9:49,2,10,DAL 35,0,0,Eli Manning pass complete short left to Daniel Fells for 9 yards (tackle by Bruce Carter),2.700,3.200
1,9:10,3,1,DAL 26,0,0,Henry Hynoski up the middle for 4 yards (tackle by George Selvie),3.200,4.110
1,8:35,1,10,DAL 22,0,0,Eli Manning pass complete short right to Rashad Jennings for 15 yards (tackle by Jack Crawford),4.110,5.600
1,7:50,1,7,DAL 7,0,0,Andre Williams right guard for 4 yards (tackle by Anthony Hitchens and J.J. Wilcox),5.600,5.530
1,7:15,2,3,DAL 3,0,0,Eli Manning pass incomplete short left intended for Daniel Fells (defended by Orlando Scandrick),5.530,4.720
1,7:06,3,3,DAL 3,0,6,"Eli Manning pass complete short middle to Odell Beckham for 3 yards, touchdown",4.720,7.000
1,7:06,,,DAL 2,0,7,"Josh Brown kicks extra point good. Penalty on Orlando Scandrick: Defensive Offside, 5 yards",0.000,0.000
1,7:06,,,NYG 40,0,7,"Josh Brown kicks off 60 yards, touchback",0.000,-0.280
1,7:01,1,10,DAL 20,0,7,DeMarco Murray right end for 7 yards (tackle by Devon Kennard),0.280,0.680
1,6:30,2,3,DAL 27,0,7,DeMarco Murray left tackle for 2 yards (tackle by Mike Patterson and Mark Herzlich),0.680,0.230
1,5:51,3,1,DAL 29,0,7,Tony Romo pass complete deep left to James Hanna for 27 yards (tackle by Spencer Paysinger),0.230,2.650
1,5:09,1,10,NYG 44,0,7,Tony Romo pass complete deep right to Terrance Williams for 18 yards (tackle by Antrel Rolle),2.650,3.840
1,4:26,1,10,NYG 26,0,7,DeMarco Murray up the middle for 3 yards (tackle by Johnathan Hankins and Devon Kennard),3.840,3.700
1,3:42,2,7,NYG 23,0,7,DeMarco Murray left end for 3 yards (tackle by Jason Pierre-Paul),3.700,3.400
1,2:57,3,4,NYG 20,0,7,Tony Romo pass incomplete deep right intended for Jason Witten,3.400,2.200
1,2:50,4,4,NYG 20,3,7,Dan Bailey 38 yard field goal good,2.200,3.000
1,2:50,,,DAL 35,3,7,"Dan Bailey kicks off 68 yards, returned by Preston Parker for 37 yards (tackle by Dan Bailey)",0.000,-1.200
1,2:38,1,10,NYG 34,3,7,Andre Williams right guard for -1 yards (tackle by Anthony Hitchens),1.200,0.520
1,2:19,2,11,NYG 33,3,7,Eli Manning pass complete short right to Odell Beckham for 13 yards (tackle by Brandon Carr),0.520,1.990
1,1:50,1,10,NYG 46,3,7,Andre Williams right end for 2 yards (tackle by Rolando McClain and Brandon Carr),1.990,1.720
1,1:20,2,8,NYG 48,3,7,Andre Williams up the middle for -4 yards (tackle by Rolando McClain and Tyrone Crawford),1.720,0.500
1,0:36,3,12,NYG 44,3,7,Eli Manning pass complete short left to Daniel Fells for 13 yards (tackle by Jeff Heath),0.500,2.720
Quarter,Time,Down,ToGo,Location,DAL,NYG,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,DAL 43,3,13,"Eli Manning pass complete deep right to Odell Beckham for 43 yards, touchdown. Penalty on Brandon Carr: Defensive Pass Interference (Declined)",2.720,7.000
,,,,,,,"Replay Assistant challenged the runner was in bounds ruling, and the play was upheld.",,
2,15:00,,,DAL 2,3,14,Josh Brown kicks extra point good,0.000,0.000
2,15:00,,,NYG 35,3,14,"Josh Brown kicks off 64 yards, returned by Dwayne Harris for 22 yards (tackle by Chandler Fenner)",0.000,-0.480
2,14:46,1,10,DAL 23,3,14,Tony Romo pass complete short middle to Dez Bryant for 12 yards (tackle by Jayron Hosley and Jameel McClain),0.480,1.270
2,14:10,1,10,DAL 35,3,14,DeMarco Murray right tackle for 5 yards (tackle by Jameel McClain),1.270,1.400
2,13:28,2,5,DAL 40,3,14,DeMarco Murray left end for 13 yards (tackle by Antrel Rolle),1.400,2.460
2,12:54,1,10,NYG 47,3,14,DeMarco Murray up the middle for 4 yards (tackle by Robert Ayers),2.460,2.450
2,12:15,2,6,NYG 43,3,14,DeMarco Murray left guard for 4 yards (tackle by Mark Herzlich),2.450,2.450
2,11:23,2,6,NYG 43,3,14,Timeout #1 by Dallas Cowboys,2.450,2.280
2,11:23,3,2,NYG 39,3,14,Tony Romo pass complete short middle to Jason Witten for 6 yards (tackle by Spencer Paysinger),2.280,3.380
2,10:46,1,10,NYG 33,3,14,Tony Romo pass complete short right to Lance Dunbar for 26 yards (tackle by Dominique Rodgers-Cromartie),3.380,5.600
2,10:06,1,7,NYG 7,3,14,DeMarco Murray right guard for 3 yards (tackle by Antrel Rolle and Johnathan Hankins),5.600,5.340
2,9:22,2,4,NYG 4,9,14,"Tony Romo pass complete short middle to Jason Witten for 4 yards, touchdown",5.340,7.000
2,9:22,,,NYG 2,10,14,Dan Bailey kicks extra point good,0.000,0.000
2,9:22,,,DAL 35,10,14,"Dan Bailey kicks off 65 yards, touchback",0.000,-0.280
2,9:15,1,10,NYG 20,10,14,Rashad Jennings right end for 12 yards (tackle by Demarcus Lawrence),0.280,1.070
2,8:51,1,10,NYG 32,10,14,Rashad Jennings left end for -4 yards (tackle by Rolando McClain),1.070,-0.010
2,8:12,2,14,NYG 28,10,14,Rashad Jennings left end for 6 yards (tackle by Anthony Hitchens and Nick Hayden),-0.010,0.100
2,7:32,3,8,NYG 34,10,14,Eli Manning pass complete short middle to Odell Beckham for 14 yards (tackle by Orlando Scandrick),0.100,2.130
