Unnamed: 0,DAL,NYG
First Downs,18,27
Rush-Yds-TDs,25-119-0,32-89-1
Cmp-Att-Yd-TD-INT,18-26-275-4-0,29-40-338-3-1
Sacked-Yards,2-9,2-10
Net Pass Yards,266,328
Total Yards,385,417
Fumbles-Lost,1-1,0-0
Turnovers,1,1
Penalties-Yards,7-63,5-30
Third Down Conv.,4-10,11-16
Fourth Down Conv.,0-0,0-1
Time of Possession,24:53,35:07
