Quarter,Time,Down,ToGo,Location,CIN,CLE,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Browns won the coin toss and deferred, Bengals to receive the opening kickoff.",,
1,15:00,,,CLE 35,0,0,"Travis Coons kicks off 65 yards, returned by Cedric Peerman for 20 yards (tackle by Craig Robertson)",0.000,-0.280
1,14:55,1,10,CIN 20,0,0,Andy Dalton right end for 4 yards (tackle by Nate Orchard),0.280,0.270
1,14:11,2,6,CIN 24,0,0,Jeremy Hill right guard for 5 yards (tackle by Randy Starks),0.270,0.230
1,13:34,3,1,CIN 29,0,0,Giovani Bernard right guard for 9 yards (tackle by Donte Whitner),0.230,1.470
1,12:58,1,10,CIN 38,0,0,Jeremy Hill right tackle for 6 yards (tackle by Danny Shelton and Karlos Dansby),1.470,1.730
1,12:18,2,4,CIN 44,0,0,Jeremy Hill left guard for 2 yards (tackle by Tashaun Gipson),1.730,1.290
1,11:41,3,2,CIN 46,0,0,Andy Dalton pass incomplete short right intended for Mohamed Sanu,1.290,-0.320
1,11:37,4,2,CIN 46,0,0,Kevin Huber punts 27 yards,-0.320,-0.740
1,11:28,1,10,CLE 27,0,0,Austin Davis pass complete short middle to Gary Barnidge for 9 yards (tackle by A.J. Hawk),0.740,1.410
1,10:58,2,1,CLE 36,0,0,Isaiah Crowell left guard for 3 yards (tackle by Domata Peko),1.410,1.530
1,10:23,1,10,CLE 39,0,0,Austin Davis pass incomplete short right intended for Travis Benjamin,1.530,0.990
1,10:15,2,10,CLE 39,0,0,Isaiah Crowell right guard for 4 yards (tackle by Rey Maualuga),0.990,0.830
1,9:35,3,6,CLE 43,0,0,"Austin Davis sacked by Carlos Dunlap for -10 yards. Penalty on Carlos Dunlap: Face Mask (15 Yards), 15 yards (no play)",0.830,2.790
1,9:12,1,10,CIN 42,0,0,Duke Johnson for -2 yards (tackle by Reggie Nelson),2.790,1.970
1,8:46,2,12,CIN 44,0,0,Austin Davis pass incomplete short right intended for Malcolm Johnson,1.970,1.290
1,8:38,3,12,CIN 44,0,0,Austin Davis pass incomplete short left intended for Gary Barnidge,1.290,0.330
1,8:34,4,12,CIN 44,0,0,"Andy Lee punts 40 yards, returned by Brandon Tate for 12 yards (tackle by Craig Robertson)",0.330,0.140
1,8:25,1,10,CIN 16,0,0,Andy Dalton pass complete deep left to A.J. Green for 57 yards (tackle by Tramon Williams),-0.140,3.780
1,7:39,1,10,CLE 27,0,0,Andy Dalton pass complete short right to Marvin Jones for 7 yards (tackle by Donte Whitner),3.780,4.180
1,7:00,2,3,CLE 20,0,0,Jeremy Hill right guard for 4 yards,4.180,4.510
1,6:23,1,10,CLE 16,0,0,Jeremy Hill right tackle for 3 yards (tackle by Xavier Cooper),4.510,4.390
1,5:43,2,7,CLE 13,0,0,Andy Dalton pass incomplete short right intended for Jeremy Hill,4.390,3.540
1,5:37,3,7,CLE 13,0,0,Andy Dalton pass complete short right to Marvin Jones for 6 yards (tackle by Charles Gaines),3.540,3.010
1,5:11,4,1,CLE 7,0,0,Andy Dalton middle for 2 yards (tackle by Danny Shelton),3.010,6.060
1,4:30,1,5,CLE 5,0,0,Jeremy Hill right guard for 2 yards (tackle by Karlos Dansby and Craig Robertson),6.060,5.530
1,3:52,2,3,CLE 3,0,0,Andy Dalton pass incomplete short middle intended for Jake Fisher,5.530,4.720
1,3:48,3,3,CLE 3,6,0,"Andy Dalton middle for 3 yards, touchdown",4.720,7.000
1,3:48,,,CLE 3,7,0,Mike Nugent kicks extra point good,0.000,0.000
1,3:48,,,CIN 35,7,0,"Mike Nugent kicks off 69 yards, returned by Darius Jennings for 21 yards (tackle by Vincent Rey)",0.000,0.060
1,3:40,1,10,CLE 17,7,0,Austin Davis pass complete deep right to Brian Hartline for 18 yards (tackle by Reggie Nelson),-0.060,1.270
1,3:17,1,10,CLE 35,7,0,Austin Davis pass complete short right to Darius Jennings for 6 yards (tackle by Josh Shaw),1.270,1.530
1,2:46,2,4,CLE 41,7,0,Austin Davis pass complete short right to Gary Barnidge for 24 yards (tackle by Reggie Nelson),1.530,3.250
1,2:00,1,10,CIN 35,7,0,Isaiah Crowell left guard for 1 yard (tackle by Vontaze Burfict),3.250,2.840
1,1:19,2,9,CIN 34,7,0,Austin Davis pass incomplete short right intended for Travis Benjamin (defended by Dre Kirkpatrick),2.840,2.150
1,1:13,3,9,CIN 34,7,0,"Austin Davis pass complete short left to Darius Jennings for 10 yards (tackle by Shawn Williams). Penalty on Gary Barnidge: Offensive Pass Interference, 10 yards (no play)",2.150,0.830
1,0:48,3,19,CIN 44,7,0,Austin Davis pass complete short right to Duke Johnson for 8 yards (tackle by Reggie Nelson),0.830,0.880
Quarter,Time,Down,ToGo,Location,CIN,CLE,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,4,11,CIN 36,7,0,Austin Davis sacked by Michael Johnson for -10 yards,0.880,-1.990
2,14:55,1,10,CIN 46,7,0,Andy Dalton pass complete deep right to A.J. Green for 22 yards (tackle by Tramon Williams),1.990,3.450
2,14:19,1,10,CLE 32,7,0,Giovani Bernard left guard for 9 yards (tackle by Karlos Dansby and Christian Kirksey),3.450,4.120
2,13:45,2,1,CLE 23,13,0,"Andy Dalton pass complete deep left to A.J. Green for 23 yards, touchdown",4.120,7.000
2,13:45,,,CLE 23,14,0,Mike Nugent kicks extra point good,0.000,0.000
2,13:45,,,CIN 35,14,0,"Mike Nugent kicks off 67 yards, returned by Darius Jennings for 21 yards (tackle by C.J. Uzomah)",0.000,-0.150
2,13:35,1,10,CLE 19,14,0,Austin Davis pass complete short left to Brian Hartline for 5 yards (tackle by Adam Jones),0.150,0.340
2,12:57,2,5,CLE 24,14,0,Isaiah Crowell right guard for 4 yards (tackle by Vontaze Burfict and Pat Sims),0.340,0.100
2,12:15,3,1,CLE 28,14,0,"Austin Davis pass complete short right to Brian Hartline for 8 yards (tackle by Dre Kirkpatrick). Penalty on Dre Kirkpatrick: Face Mask (15 Yards), 15 yards",0.100,2.320
2,12:15,1,10,CIN 49,14,0,Austin Davis pass incomplete deep right intended for Gary Barnidge,2.320,1.780
2,11:44,2,10,CIN 49,14,0,Duke Johnson for 5 yards (tackle by Josh Shaw),1.780,1.750
2,11:44,3,5,CIN 44,14,0,Austin Davis pass complete short middle to Brian Hartline for 4 yards (tackle by Josh Shaw),1.750,1.750
2,10:13,3,5,CIN 44,14,0,Timeout #1 by Cleveland Browns,1.750,0.590
2,10:13,4,1,CIN 40,14,0,Austin Davis pass incomplete short right intended for Gary Barnidge (defended by Shawn Williams),0.590,-1.600
2,10:07,1,10,CIN 40,14,0,Andy Dalton pass complete short left to Tyler Kroft for 17 yards (tackle by Tashaun Gipson),1.600,2.720
2,9:25,1,10,CLE 43,14,0,"Andy Dalton pass complete short left to Marvin Jones for 7 yards (tackle by Karlos Dansby). Penalty on Barkevious Mingo: Face Mask (15 Yards), 15 yards",2.720,4.170
2,8:57,1,10,CLE 21,14,0,Mohamed Sanu left end for 7 yards (tackle by Donte Whitner),4.170,4.740
2,8:20,2,3,CLE 14,14,0,Giovani Bernard right guard for -1 yards (tackle by Desmond Bryant),4.740,3.810
2,7:35,3,4,CLE 15,14,0,"Penalty on Andre Smith: False Start, 5 yards (no play)",3.810,3.070
2,7:00,3,9,CLE 20,14,0,Andy Dalton sacked by Paul Kruger for -6 yards,3.070,1.740
2,6:28,4,15,CLE 26,17,0,Mike Nugent 44 yard field goal good,1.740,3.000
2,6:28,,,CIN 35,17,0,"Mike Nugent kicks off 68 yards, returned by Darius Jennings for 21 yards (tackle by Josh Shaw)",0.000,-0.040
2,6:17,1,10,CLE 18,17,0,Austin Davis pass complete short middle to Gary Barnidge for 5 yards (tackle by Rey Maualuga),0.040,0.280
2,5:44,2,5,CLE 23,17,0,Duke Johnson for -3 yards (tackle by Vontaze Burfict),0.280,-0.910
2,5:07,3,8,CLE 20,17,0,Austin Davis pass complete short middle to Marlon Moore for 14 yards (tackle by Vontaze Burfict),-0.910,1.200
