Quarter,Time,Tm,Detail,CIN,CLE
1.0,3:45,Bengals,Andy Dalton 3 yard rush (Mike Nugent kick),7,0
2.0,13:40,Bengals,A.J. Green 23 yard pass from Andy Dalton (Mike Nugent kick),14,0
,6:24,Bengals,Mike Nugent 44 yard field goal,17,0
,3:20,Bengals,Mike Nugent 40 yard field goal,20,0
,0:00,Browns,Travis Coons 47 yard field goal,20,3
3.0,7:42,Bengals,Jeremy Hill 1 yard rush (Mike Nugent kick),27,3
,0:42,Bengals,Marvin Jones 21 yard pass from Andy Dalton (Mike Nugent kick),34,3
4.0,5:45,Bengals,Mike Nugent 20 yard field goal,37,3
