Unnamed: 0,CIN,CLE
First Downs,20,18
Rush-Yds-TDs,33-144-2,19-68-0
Cmp-Att-Yd-TD-INT,16-22-239-2-0,25-38-230-0-1
Sacked-Yards,1-6,3-25
Net Pass Yards,233,205
Total Yards,377,273
Fumbles-Lost,0-0,1-1
Turnovers,0,2
Penalties-Yards,5-55,7-84
Third Down Conv.,5-12,6-13
Fourth Down Conv.,2-3,0-2
Time of Possession,30:58,29:02
