Unnamed: 0,TEN,JAX
First Downs,19,17
Rush-Yds-TDs,28-95-0,25-177-2
Cmp-Att-Yd-TD-INT,24-35-287-1-0,14-27-124-1-0
Sacked-Yards,4-25,4-13
Net Pass Yards,262,111
Total Yards,357,288
Fumbles-Lost,0-0,1-0
Turnovers,0,0
Penalties-Yards,7-47,3-25
Third Down Conv.,7-15,5-13
Fourth Down Conv.,0-1,0-0
Time of Possession,34:52,25:08
