Quarter,Time,Down,ToGo,Location,MIA,STL,Detail,EPB,EPA
1,8:35,2,10,MIA 40,0,3,Ronnie Brown right tackle for 6 yards (tackle by David Vobora),1.050,1.160
1,7:53,3,4,MIA 46,0,3,Chad Pennington pass complete short right to Davone Bess for 1 yard (tackle by Jason Craft),1.160,-0.260
1,7:26,4,3,MIA 47,0,3,"Brandon Fields punts 33 yards, fair catch by Derek Stanley",-0.260,-0.280
1,7:16,1,10,STL 20,0,3,Steven Jackson up the middle for 2 yards (tackle by Randy Starks),0.280,0.000
1,6:44,2,8,STL 22,0,3,Steven Jackson left guard for 13 yards (tackle by Yeremiah Bell),0.000,1.270
1,6:02,1,10,STL 35,0,3,Steven Jackson up the middle for 4 yards (tackle by Renaldo Hill),1.270,1.260
1,5:21,2,6,STL 39,0,3,Marc Bulger pass complete short left to Torry Holt for 8 yards (tackle by Yeremiah Bell),1.260,2.060
1,4:43,1,10,STL 47,0,3,Marc Bulger pass incomplete short left intended for Torry Holt (defended by Andre' Goodman),2.060,1.520
1,4:38,2,10,STL 47,0,3,Antonio Pittman right tackle for 5 yards (tackle by Phillip Merling),1.520,1.490
1,3:56,3,5,MIA 48,0,3,Marc Bulger pass complete short left to Dane Looker for 8 yards (tackle by Will Allen),1.490,2.920
1,3:14,1,10,MIA 40,0,3,Marc Bulger pass incomplete deep right intended for Keenan Burton,2.920,2.370
1,3:09,2,10,MIA 40,0,3,"Penalty on Donnie Avery: False Start, 5 yards (no play)",2.370,1.700
1,3:09,2,15,MIA 45,0,3,Kenneth Darby up the middle for 2 yards (tackle by Will Allen),1.700,1.290
1,2:29,3,13,MIA 43,0,3,Marc Bulger pass complete short right to Dane Looker for 10 yards (tackle by Tyrone Culver),1.290,1.190
1,1:53,4,3,MIA 33,0,6,Josh Brown 51 yard field goal good,1.190,3.000
1,,,,STL 30,0,6,"Josh Brown kicks off 72 yards, returned by Ted Ginn Jr. for 19 yards (tackle by Eric Bassey). Penalty on Brandon London: Offensive Holding, 8 yards",0.000,-0.380
1,1:36,1,10,MIA 9,0,6,Lousaka Polite left guard for 10 yards (tackle by Fakhir Brown),-0.380,0.150
1,1:02,1,10,MIA 19,0,6,Patrick Cobbs right end for 12 yards (tackle by O.J. Atogwe),0.150,1.000
1,0:31,1,10,MIA 31,0,6,Ricky Williams right end for 10 yards (tackle by Ronald Bartell),1.000,1.660
Quarter,Time,Down,ToGo,Location,MIA,STL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,MIA 41,0,6,Chad Pennington pass complete deep right to Ted Ginn Jr. for 19 yards (tackle by Quinton Culberson),1.660,2.920
2,14:22,1,10,STL 40,0,6,Chad Pennington pass incomplete deep middle intended for Davone Bess (defended by Quinton Culberson),2.920,2.370
2,14:12,2,10,STL 40,0,6,Chad Pennington pass complete short left to Brandon London for 14 yards (tackle by Fakhir Brown),2.370,3.840
2,13:33,1,10,STL 26,0,6,"Ronnie Brown right guard for 3 yards. Penalty on Vernon Carey: Face Mask (15 Yards), 15 yards",3.840,3.050
2,13:33,1,22,STL 38,0,6,Chad Pennington pass complete short right to Ted Ginn Jr. for 13 yards (tackle by O.J. Atogwe),3.050,3.430
2,13:33,2,9,STL 25,0,6,Chad Pennington pass incomplete deep right intended for Ted Ginn Jr.,3.430,2.740
2,12:15,3,9,STL 25,0,6,Chad Pennington pass complete short left to Davone Bess for 19 yards (tackle by Fakhir Brown),2.740,5.830
2,11:45,1,6,STL 6,0,6,Ricky Williams right tackle for 3 yards (tackle by Victor Adeyanju),5.830,5.530
2,11:06,2,3,STL 3,6,6,"Ronnie Brown up the middle for 3 yards, touchdown",5.530,7.000
2,,,,STL 2,7,6,Dan Carpenter kicks extra point good,0.000,0.000
2,,,,MIA 30,7,6,"Dan Carpenter kicks off 69 yards, returned by Derek Stanley for 28 yards (tackle by Joey Thomas)",0.000,0.870
2,10:53,1,10,STL 29,7,6,Marc Bulger pass incomplete short right intended for Antonio Pittman,0.870,0.330
2,10:46,2,10,STL 29,7,6,Steven Jackson right tackle for 3 yards (tackle by Channing Crowder),0.330,0.040
2,10:12,3,7,STL 32,7,6,Marc Bulger pass incomplete short middle intended for Dane Looker (defended by Phillip Merling),0.040,-1.240
2,10:05,4,7,STL 32,7,6,"Donnie Jones punts 62 yards, returned by Davone Bess for 17 yards (tackle by Chris Chamberlain)",-1.240,-0.480
2,9:52,1,10,MIA 23,7,6,Ricky Williams left end for 1 yard (tackle by David Vobora),0.480,0.070
2,9:14,2,9,MIA 24,7,6,Ricky Williams right end for -3 yards (tackle by Victor Adeyanju),0.070,-1.020
2,8:29,3,12,MIA 21,7,6,Chad Pennington pass incomplete short left intended for Ted Ginn Jr.,-1.020,-1.960
2,8:23,4,12,MIA 21,7,6,"Brandon Fields punts 43 yards, returned by Derek Stanley for -2 yards (tackle by Nate Jones)",-1.960,-1.200
2,8:13,1,10,STL 34,7,6,Steven Jackson up the middle for 3 yards (tackle by Vonnie Holliday),1.200,1.060
2,7:34,2,7,STL 37,7,6,Marc Bulger pass complete short right to Dane Looker for 6 yards (tackle by Joey Thomas),1.060,1.160
2,6:51,3,1,STL 43,7,6,Steven Jackson left guard for 1 yard (tackle by Akin Ayodele),1.160,1.860
2,6:15,1,10,STL 44,7,6,Steven Jackson up the middle for 7 yards (tackle by Channing Crowder),1.860,2.260
2,5:40,2,3,MIA 49,7,6,Steven Jackson left guard for 4 yards (tackle by Matt Roth),2.260,2.590
2,4:50,,,,7,6,Timeout #1 by St. Louis Rams,0.000,2.590
2,4:50,1,10,MIA 45,7,6,Steven Jackson left end for 7 yards (tackle by Akin Ayodele),2.590,2.990
2,4:26,2,3,MIA 38,7,6,Antonio Pittman right guard for 3 yards (tackle by Akin Ayodele),2.990,3.250
2,3:48,1,10,MIA 35,7,6,Marc Bulger pass incomplete deep left intended for Joe Klopfenstein,3.250,2.700
2,3:39,2,10,MIA 35,7,6,Marc Bulger pass incomplete short left intended for Antonio Pittman,2.700,2.010
2,3:34,3,10,MIA 35,7,6,Marc Bulger pass complete short left to Torry Holt for 15 yards (tackle by Andre' Goodman),2.010,4.240
2,2:54,1,10,MIA 20,7,6,Steven Jackson right guard for 2 yards (tackle by Channing Crowder and Phillip Merling),4.240,3.960
2,2:11,2,8,MIA 18,7,6,Steven Jackson right guard for 3 yards (tackle by Akin Ayodele),3.960,3.700
2,2:00,3,5,MIA 15,7,6,Marc Bulger pass incomplete short right intended for Anthony Becht,3.700,2.490
2,1:55,4,5,MIA 15,7,9,Josh Brown 33 yard field goal good,2.490,3.000
2,,,,STL 30,7,9,"Josh Brown kicks off 69 yards, returned by Ted Ginn Jr. for 23 yards (tackle by Keenan Burton)",0.000,0.540
2,1:44,1,10,MIA 24,7,9,Chad Pennington for 16 yards (tackle by Fakhir Brown),0.540,1.600
2,1:37,1,10,MIA 40,7,9,Chad Pennington pass complete short left to Davone Bess for 8 yards (tackle by Jason Craft),1.600,2.130
2,1:32,2,2,MIA 48,7,9,Chad Pennington pass incomplete short right intended for Ernest Wilford,2.130,1.420
2,1:27,3,2,MIA 48,7,9,Chad Pennington pass complete deep right to Davone Bess for 21 yards (tackle by Corey Chavous),1.420,3.510
2,1:22,1,10,STL 31,7,9,Ricky Williams right end for 7 yards (tackle by Corey Chavous),3.510,3.910
2,1:15,,,,7,9,Timeout #1 by Miami Dolphins,0.000,3.910
2,1:15,2,3,STL 24,7,9,Ricky Williams right tackle for 10 yards (tackle by Ronald Bartell),3.910,4.650
2,0:55,1,10,STL 14,7,9,"Ricky Williams right tackle for 14 yards. Penalty on Ikechuku Ndukwe: Offensive Holding, 10 yards (no play)",4.650,3.970
2,0:49,1,20,STL 24,7,9,Chad Pennington pass complete short left to Anthony Fasano for 7 yards (tackle by Pisa Tinoisamoa),3.970,3.590
2,0:41,,,,7,9,Timeout #2 by Miami Dolphins,0.000,3.590
2,0:41,2,13,STL 17,7,9,Chad Pennington pass incomplete deep middle intended for Davone Bess,3.590,2.930
2,0:36,3,13,STL 17,7,9,Chad Pennington pass complete short right to Davone Bess for -2 yards (tackle by Jason Craft),2.930,2.180
2,0:03,,,,7,9,Timeout #3 by Miami Dolphins,0.000,2.180
2,0:03,4,15,STL 19,10,9,Dan Carpenter 37 yard field goal good,2.180,3.000
Quarter,Time,Down,ToGo,Location,MIA,STL,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,STL 30,10,9,"Josh Brown kicks off 69 yards, returned by Ted Ginn Jr. for 20 yards (tackle by Quinton Culberson)",0.000,0.340
3,14:55,1,10,MIA 21,10,9,Chad Pennington pass incomplete short right intended for Davone Bess,0.340,-0.200
3,14:49,2,10,MIA 21,10,9,Patrick Cobbs right guard for no gain (tackle by Pisa Tinoisamoa),-0.200,-0.890
3,14:07,3,10,MIA 21,10,9,Chad Pennington pass incomplete deep left intended for Ted Ginn Jr.,-0.890,-1.960
3,14:01,4,10,MIA 21,10,9,"Brandon Fields punts 53 yards, returned by Derek Stanley for 9 yards (tackle by Casey Cramer)",-1.960,-1.270
3,13:48,1,10,STL 35,10,9,Steven Jackson up the middle for 6 yards (tackle by Channing Crowder),1.270,1.530
3,13:15,2,4,STL 41,10,9,Steven Jackson right guard for 2 yards (tackle by Channing Crowder),1.530,1.090
3,12:35,3,2,STL 43,10,9,Antonio Pittman up the middle for 11 yards (tackle by Renaldo Hill),1.090,2.520
3,11:51,1,10,MIA 46,10,9,Marc Bulger pass incomplete short right intended for Joe Klopfenstein,2.520,1.980
3,11:42,2,10,MIA 46,10,9,Steven Jackson up the middle for no gain (tackle by Joey Porter),1.980,1.290
3,11:02,3,10,MIA 46,10,9,Marc Bulger pass incomplete deep right intended for Donnie Avery,1.290,0.200
3,10:54,4,10,MIA 46,10,9,"Donnie Jones punts 34 yards, fair catch by Davone Bess",0.200,0.350
3,10:46,1,10,MIA 12,10,9,Ronnie Brown left end for 5 yards (tackle by Pisa Tinoisamoa),-0.350,-0.230
3,10:08,2,5,MIA 17,10,9,Chad Pennington pass complete deep right to Davone Bess for 37 yards (tackle by O.J. Atogwe),-0.230,2.520
3,9:18,1,10,STL 46,10,9,Ricky Williams right tackle for no gain (tackle by Ronald Bartell),2.520,1.980
3,8:39,2,10,STL 46,10,9,Ronnie Brown left tackle for 6 yards (tackle by O.J. Atogwe),1.980,2.080
3,8:00,3,4,STL 40,10,9,"Penalty on Leonard Little: Defensive Offside, 5 yards (no play)",2.080,3.250
3,7:43,1,10,STL 35,10,9,Ronnie Brown up the middle for 5 yards (tackle by Quinton Culberson),3.250,3.380
3,7:04,2,5,STL 30,10,9,Ronnie Brown up the middle for no gain (tackle by La'Roi Glover),3.380,2.680
3,6:21,3,5,STL 30,10,9,Chad Pennington pass incomplete deep left intended for Ted Ginn Jr.,2.680,1.450
3,6:14,4,5,STL 30,13,9,Dan Carpenter 47 yard field goal good,1.450,3.000
3,,,,MIA 30,13,9,"Dan Carpenter kicks off 62 yards, returned by Derek Stanley for 18 yards (tackle by Courtney Bryan)",0.000,0.670
3,6:05,1,10,STL 26,13,9,"Penalty on Alex Barron: False Start, 5 yards (no play)",0.670,0.340
3,6:05,1,15,STL 21,13,9,Marc Bulger pass incomplete short right intended for Torry Holt,0.340,-0.550
3,6:00,2,15,STL 21,13,9,Kenneth Darby right tackle for 6 yards (tackle by Randy Starks),-0.550,-0.430
3,5:23,3,9,STL 27,13,9,Marc Bulger pass complete short middle to Dane Looker for 16 yards (tackle by Will Allen),-0.430,1.800
3,4:46,1,10,STL 43,13,9,Marc Bulger pass complete short right to Daniel Fells for 6 yards (tackle by Phillip Merling),1.800,2.060
3,4:06,2,4,STL 49,13,9,"Antonio Pittman right end for 5 yards. Penalty on Jason Ferguson: Defensive Holding, 10 yards (no play)",2.060,2.850
3,3:36,1,10,MIA 41,13,9,Steven Jackson left tackle for 10 yards (tackle by Channing Crowder),2.850,3.510
3,2:59,1,10,MIA 31,13,9,"Marc Bulger pass complete deep left to Torry Holt for 17 yards. Penalty on Torry Holt: Offensive Pass Interference, 10 yards (no play)",3.510,2.850
3,2:30,1,20,MIA 41,13,9,Marc Bulger pass incomplete short right intended for Steven Jackson is intercepted by Akin Ayodele at MIA-37 and returned for 17 yards (tackle by Marc Bulger),2.850,-2.520
3,2:18,1,10,STL 46,13,9,"Chad Pennington for no gain. Chad Pennington fumbles, recovered by Chad Pennington at STL-49",2.520,1.570
3,1:44,2,13,STL 49,13,9,"Ronnie Brown pass complete short right to David Martin for 22 yards (tackle by O.J. Atogwe). David Martin fumbles (forced by O.J. Atogwe), recovered by Quinton Culberson at STL-27 and returned for 10 yards (tackle by Jake Long)",1.570,-1.400
3,1:28,1,10,STL 37,13,9,Donnie Avery left end for 2 yards (tackle by Yeremiah Bell),1.400,1.130
3,0:54,2,8,STL 39,13,9,Steven Jackson left tackle for 3 yards (tackle by Phillip Merling),1.130,0.830
3,0:13,3,5,STL 42,13,9,Marc Bulger pass complete short right to Keenan Burton for 23 yards (tackle by Joey Thomas),0.830,3.250
Quarter,Time,Down,ToGo,Location,MIA,STL,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,MIA 35,13,9,"Steven Jackson up the middle for 1 yard (tackle by Akin Ayodele). Penalty on Derek Stanley: Illegal Formation, 5 yards (no play)",3.250,2.920
4,14:32,1,15,MIA 40,13,9,Marc Bulger pass complete short right to Daniel Fells for 9 yards (tackle by Matt Roth),2.920,3.240
4,14:04,2,6,MIA 31,13,9,Steven Jackson up the middle for 1 yard (tackle by Channing Crowder),3.240,2.680
4,13:20,3,5,MIA 30,13,9,Marc Bulger pass complete short right to Torry Holt for 7 yards (tackle by Joey Thomas),2.680,4.040
,,,,,,,"MIA challenged the pass completion ruling, and the play was upheld.",,
4,13:09,1,10,MIA 23,13,9,Marc Bulger pass complete short right to Daniel Fells for 3 yards (tackle by Yeremiah Bell),4.040,3.900
4,12:31,2,7,MIA 20,13,9,Marc Bulger pass incomplete deep left intended for Torry Holt,3.900,3.200
4,12:23,3,7,MIA 20,13,9,Marc Bulger pass incomplete short right intended for Steven Jackson,3.200,2.120
4,12:19,4,7,MIA 20,13,12,Josh Brown 38 yard field goal good,2.120,3.000
4,,,,STL 30,13,12,"Josh Brown kicks off 68 yards, returned by Ted Ginn Jr. for 21 yards (tackle by Jason Craft)",0.000,0.480
4,12:08,1,10,MIA 23,13,12,Ronnie Brown right guard for 2 yards (tackle by O.J. Atogwe),0.480,0.200
4,11:22,2,8,MIA 25,13,12,Ricky Williams left end for 6 yards (tackle by James Hall),0.200,0.300
4,10:41,3,2,MIA 31,13,12,Ricky Williams right tackle for 1 yard (tackle by Adam Carriker),0.300,-1.240
4,10:26,4,1,MIA 32,13,12,"Brandon Fields punts 39 yards, returned by Derek Stanley for 4 yards (tackle by Courtney Bryan)",-1.240,-1.140
4,10:12,1,10,STL 33,13,12,Marc Bulger pass incomplete short left intended for Anthony Becht is intercepted by Renaldo Hill at STL-41 and returned for 1 yard (tackle by Joe Klopfenstein),1.140,-2.920
4,10:04,1,10,STL 40,13,12,Ricky Williams left tackle for 6 yards (tackle by Clifton Ryan),2.920,3.180
4,9:24,2,4,STL 34,13,12,Lousaka Polite up the middle for 6 yards (tackle by O.J. Atogwe),3.180,3.710
4,8:41,1,10,STL 28,13,12,"Penalty on Ikechuku Ndukwe: False Start, 5 yards (no play)",3.710,3.380
4,8:20,1,15,STL 33,13,12,Ricky Williams right tackle for 9 yards (tackle by Todd Johnson),3.380,3.710
4,7:33,2,6,STL 24,13,12,Ronnie Brown left end for no gain (tackle by James Hall),3.710,3.010
4,6:49,3,6,STL 24,13,12,Chad Pennington pass incomplete deep right intended for Davone Bess (defended by Jason Craft),3.010,1.890
4,6:44,4,6,STL 24,16,12,Dan Carpenter 42 yard field goal good,1.890,3.000
4,,,,MIA 30,16,12,"Dan Carpenter kicks off 66 yards, returned by Derek Stanley for 27 yards (tackle by Charlie Anderson)",0.000,1.000
4,6:32,1,10,STL 31,16,12,Antonio Pittman right guard for 6 yards (tackle by Akin Ayodele),1.000,1.270
4,5:58,2,4,STL 37,16,12,Antonio Pittman right guard for -2 yards (tackle by Matt Roth),1.270,0.300
4,5:20,3,6,STL 35,16,12,Marc Bulger pass complete short middle to Anthony Becht for 5 yards (tackle by Yeremiah Bell),0.300,-0.720
4,4:43,4,1,STL 40,16,12,"Donnie Jones punts 60 yards, touchback",-0.720,-0.280
4,4:34,1,10,MIA 20,16,12,Ronnie Brown right guard for 7 yards (tackle by Victor Adeyanju and David Vobora),0.280,0.680
4,3:52,2,3,MIA 27,16,12,Lousaka Polite up the middle for 4 yards (tackle by David Vobora),0.680,1.000
4,3:10,1,10,MIA 31,16,12,Ronnie Brown right guard for no gain (tackle by David Vobora),1.000,0.460
4,3:02,,,,16,12,Timeout #1 by St. Louis Rams,0.000,0.460
4,3:02,2,10,MIA 31,16,12,"Chad Pennington pass complete short right to Ted Ginn Jr. for 8 yards (tackle by Ronald Bartell). Ted Ginn Jr. fumbles (forced by Ronald Bartell), ball out of bounds at MIA-38",0.460,0.700
4,2:54,,,,16,12,Timeout #2 by Miami Dolphins,0.000,0.700
4,2:54,3,3,MIA 38,16,12,Chad Pennington pass complete short right to Lousaka Polite for 6 yards (tackle by Quinton Culberson),0.700,1.860
4,2:49,1,10,MIA 44,16,12,Ricky Williams right tackle for 4 yards (tackle by Clifton Ryan),1.860,1.860
4,2:43,,,,16,12,Timeout #2 by St. Louis Rams,0.000,1.860
4,2:43,2,6,MIA 48,16,12,Ronnie Brown left tackle for -2 yards (tackle by Fakhir Brown),1.860,0.890
4,2:38,,,,16,12,Timeout #3 by St. Louis Rams,0.000,0.890
4,2:38,3,8,MIA 46,16,12,"Penalty on Andy Alleman: False Start, 5 yards (no play)",0.890,0.230
4,2:38,3,13,MIA 41,16,12,Ronnie Brown right end for 1 yard (tackle by Pisa Tinoisamoa),0.230,-0.590
4,2:00,4,12,MIA 42,16,12,"Brandon Fields punts 40 yards, returned by Derek Stanley for 7 yards (tackle by Brandon London)",-0.590,-0.610
4,1:50,1,10,STL 25,16,12,Marc Bulger pass incomplete short right intended for Donnie Avery,0.610,0.060
4,1:45,2,10,STL 25,16,12,Marc Bulger pass complete short left to Dane Looker for 6 yards (tackle by Will Allen),0.060,0.170
,,,,,,,"Replay Assistant challenged the pass completion ruling, and the play was upheld.",,
4,1:20,3,4,STL 31,16,12,"Marc Bulger pass incomplete short middle intended for Dane Looker. Penalty on Will Allen: Defensive Holding, 5 yards (no play)",0.170,1.330
4,1:12,1,10,STL 36,16,12,Marc Bulger pass complete short right to Dane Looker for 6 yards (tackle by Will Allen),1.330,1.600
4,1:08,2,4,STL 42,16,12,Marc Bulger pass complete short middle to Kenneth Darby for 5 yards (tackle by Yeremiah Bell),1.600,2.060
4,0:47,1,10,STL 47,16,12,Marc Bulger pass incomplete short right intended for Donnie Avery,2.060,1.520
4,0:42,2,10,STL 47,16,12,Marc Bulger pass incomplete deep left intended for Derek Stanley is intercepted by Andre' Goodman at MIA-10 and returned for -5 yards (tackle by Derek Stanley),1.520,0.380
4,0:35,1,10,MIA 5,16,12,Chad Pennington kneels for -1 yards,-0.380,-0.850
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
