Unnamed: 0,MIA,STL
First Downs,16,19
Rush-Yds-TDs,35-149-1,30-129-0
Cmp-Att-Yd-TD-INT,14-24-188-0-0,16-35-149-0-3
Sacked-Yards,0-0,0-0
Net Pass Yards,188,149
Total Yards,337,278
Fumbles-Lost,3-1,0-0
Turnovers,1,3
Penalties-Yards,10-94,5-30
Third Down Conv.,4-12,7-14
Fourth Down Conv.,0-0,0-0
Time of Possession,28:13,31:47
