Unnamed: 0,TAM,ATL
First Downs,18,13
Rush-Yds-TDs,37-132-2,19-29-1
Cmp-Att-Yd-TD-INT,16-24-192-2-0,18-31-127-0-4
Sacked-Yards,1-8,2-20
Net Pass Yards,184,107
Total Yards,316,136
Fumbles-Lost,1-1,1-1
Turnovers,1,5
Penalties-Yards,10-123,5-35
Third Down Conv.,4-13,3-12
Fourth Down Conv.,0-0,1-1
Time of Possession,35:04,24:56
