Unnamed: 0,GNB,LVR
First Downs,18,19
Rush-Yds-TDs,25-110-1,29-96-1
Cmp-Att-Yd-TD-INT,16-30-182-0-3,22-31-208-1-1
Sacked-Yards,2-7,4-25
Net Pass Yards,175,183
Total Yards,285,279
Fumbles-Lost,0-0,0-0
Turnovers,3,1
Penalties-Yards,3-18,4-28
Third Down Conv.,4-12,5-13
Fourth Down Conv.,1-1,1-1
Time of Possession,27:26,32:34
