Quarter,Time,Down,ToGo,Location,GNB,LVR,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Raiders won the coin toss and deferred, Packers to receive the opening kickoff.",,
1,15:00,,,LVR 35,0,0,"Daniel Carlson kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,GNB 25,0,0,AJ Dillon up the middle for 4 yards (tackle by Tyler Hall and Robert Spillane),0.610,0.600
1,14:20,2,6,GNB 29,0,0,AJ Dillon up the middle for 4 yards (tackle by Bilal Nichols and Malcolm Koonce),0.600,0.430
1,13:39,3,2,GNB 33,0,0,AJ Dillon left guard for 3 yards (tackle by Robert Spillane),0.430,1.330
1,13:01,1,10,GNB 36,0,0,Jordan Love pass complete short left to Luke Musgrave for 6 yards (tackle by Robert Spillane),1.330,1.600
1,12:55,2,4,GNB 42,0,0,AJ Dillon right guard for 4 yards (tackle by Jerry Tillery and Divine Deablo),1.600,1.990
1,12:16,1,10,GNB 46,0,0,Jordan Love pass complete short right to Christian Watson for 6 yards (tackle by Marcus Peters),1.990,2.260
1,11:12,2,4,LVR 48,0,0,AJ Dillon left guard for 1 yard (tackle by Tre'von Moehrig and Robert Spillane),2.260,1.690
1,10:35,3,3,LVR 47,0,0,Jordan Love pass incomplete deep middle intended for Jayden Reed,1.690,0.130
1,10:28,4,3,LVR 47,0,0,"Penalty on GNB: Delay of Game, 5 yards (accepted) (no play)",0.130,-0.190
1,10:28,4,8,GNB 48,0,0,"Daniel Whelan punts 39 yards, fair catch by DeAndre Carter at LV-13",-0.190,0.320
1,10:21,1,10,LVR 13,0,0,Jimmy Garoppolo pass complete short right to Michael Mayer for 20 yards (tackle by Rasul Douglas and Darnell Savage),-0.320,1.140
1,9:51,1,10,LVR 33,0,0,Josh Jacobs for -2 yards (tackle by Quay Walker),1.140,0.320
1,9:10,2,12,LVR 31,0,0,Jimmy Garoppolo pass complete short left to Davante Adams for 12 yards (tackle by Quay Walker),0.320,1.800
1,8:35,,,,,,Timeout #1 by Las Vegas Raiders,,
1,8:35,1,10,LVR 43,0,0,Josh Jacobs up the middle for no gain (tackle by Darnell Savage and Isaiah McDuffie),1.800,1.250
1,8:02,2,10,LVR 43,0,0,Jimmy Garoppolo pass complete short right to Austin Hooper for 4 yards (tackle by Keisean Nixon),1.250,1.090
1,7:20,3,6,LVR 47,0,0,Jimmy Garoppolo sacked by Kenny Clark for -9 yards,1.090,-0.850
1,6:33,4,15,LVR 38,0,0,AJ Cole punts 55 yards out of bounds,-0.850,0.380
1,6:30,1,10,GNB 7,0,0,AJ Dillon right guard for 8 yards (tackle by Divine Deablo),-0.380,-0.140
1,5:53,2,2,GNB 15,0,0,"AJ Dillon for 5 yards (tackle by Robert Spillane and Tyree Wilson). Penalty on Maxx Crosby: Unnecessary Roughness / Defense, 15 yards (accepted)",-0.140,1.270
1,5:27,1,10,GNB 35,0,0,Jordan Love scrambles left tackle for 26 yards (tackle by Marcus Epps),1.270,2.980
1,4:47,1,10,LVR 39,0,0,Jordan Love pass complete short right to Josiah Deguara for 19 yards (tackle by Roderic Teamer),2.980,4.240
1,4:06,1,10,LVR 20,0,0,Christian Watson left end for -5 yards (tackle by Divine Deablo),4.240,3.020
1,3:27,2,15,LVR 25,0,0,Jordan Love pass complete short left to Jayden Reed for 7 yards (tackle by Divine Deablo and Malcolm Koonce),3.020,3.220
