Quarter,Time,Tm,Detail,GNB,LVR
1.0,2:38,Packers,Anders Carlson 37 yard field goal,3,0
2.0,4:09,Raiders,Jakobi Meyers 9 yard pass from Jimmy Garoppolo (Daniel Carlson kick),3,7
,2:32,Raiders,Daniel Carlson 26 yard field goal,3,10
3.0,8:27,Packers,AJ Dillon 5 yard rush (Anders Carlson kick),10,10
,5:16,Packers,Anders Carlson 22 yard field goal,13,10
4.0,14:56,Raiders,Josh Jacobs 2 yard rush (Daniel Carlson kick),13,17
