Unnamed: 0,CHI,ATL
First Downs,13,19
Rush-Yds-TDs,31-106-1,30-122-0
Cmp-Att-Yd-TD-INT,12-24-143-1-1,17-28-166-1-0
Sacked-Yards,1-7,4-31
Net Pass Yards,136,135
Total Yards,242,257
Fumbles-Lost,2-1,3-3
Turnovers,2,3
Penalties-Yards,7-79,5-40
Third Down Conv.,4-13,5-13
Fourth Down Conv.,0-0,0-0
Time of Possession,28:35,31:25
