Quarter,Time,Tm,Detail,CHI,ATL
2.0,11:33,Falcons,Warrick Dunn 10 yard pass from Michael Vick (Jay Feely kick),0,7
,1:10,Bears,Anthony Thomas 3 yard rush (Paul Edinger kick),7,7
,0:00,Falcons,Jay Feely 37 yard field goal,7,10
3.0,9:27,Bears,David Terrell 14 yard pass from Jim Miller (Paul Edinger kick),14,10
,6:08,Falcons,Jay Feely 27 yard field goal,14,13
