Quarter,Time,Down,ToGo,Location,OAK,ARI,Detail,EPB,EPA
1,1:21,1,8,ARI 8,13,0,"Charlie Garner left end for 8 yards, touchdown",5.370,7.000
1,1:21,,,ARI 8,14,0,Sebastian Janikowski kicks extra point good,0.000,0.000
1,1:21,,,OAK 30,14,0,"Sebastian Janikowski kicks off 72 yards, returned by Kevin Kasper for 23 yards (tackle by Zack Crockett)",0.000,0.340
1,1:06,1,10,ARI 21,14,0,Marcel Shipp left guard for 17 yards (tackle by Charles Woodson and Derrick Gibson),0.340,1.470
1,0:32,1,10,ARI 38,14,0,Marcel Shipp right end for 26 yards (tackle by Rod Woodson),1.470,3.180
Quarter,Time,Down,ToGo,Location,OAK,ARI,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,OAK 36,14,0,Marcel Shipp left tackle for 2 yards (tackle by John Parrella),3.180,2.910
2,14:24,2,8,OAK 34,14,0,Jake Plummer pass complete to Frank Sanders for 31 yards (tackle by Tory James),2.910,6.510
2,13:56,2,8,OAK 34,,,Timeout #1 by Arizona Cardinals,2.910,6.510
2,13:56,1,3,OAK 3,14,6,"Marcel Shipp left guard for 3 yards, touchdown",6.510,7.000
2,13:56,,,OAK 3,14,7,Bill Gramatica kicks extra point good,0.000,0.000
2,13:56,,,ARI 30,14,7,"Bill Gramatica kicks off 70 yards, returned by Marcus Knight for 46 yards (tackle by Levar Fisher)",0.000,1.990
2,13:45,1,10,OAK 46,14,7,Rich Gannon pass complete to Doug Jolley for 16 yards (tackle by Ronald McKinnon and Adrian Wilson),1.990,3.050
2,13:09,1,10,ARI 38,14,7,Charlie Garner right tackle for 2 yards (tackle by Barron Tanner),3.050,2.780
2,12:35,2,8,ARI 36,14,7,Rich Gannon pass incomplete intended for Jerry Rice,2.780,2.080
2,12:29,3,8,ARI 36,14,7,Rich Gannon pass incomplete intended for Jerry Rice (defended by Kwamie Lassiter),2.080,0.880
2,12:24,4,8,ARI 36,14,7,Shane Lechler punts 32 yards,0.880,0.380
2,12:17,1,10,ARI 4,14,7,Marcel Shipp right guard for 6 yards (tackle by John Parrella and Derrick Gibson),-0.380,-0.340
2,11:39,2,4,ARI 10,14,7,"Jake Plummer pass complete to Joel Makovicka for 10 yards (tackle by Travian Smith). Penalty on Travian Smith: Unnecessary Roughness, 15 yards",-0.340,1.270
2,11:12,1,10,ARI 35,14,7,Frank Sanders left end for -8 yards (tackle by Tory James and Eric Barton),1.270,-0.360
2,10:25,2,18,ARI 27,14,7,Jake Plummer pass incomplete intended for Jason McAddley (defended by Tory James),-0.360,-1.020
2,10:19,3,18,ARI 27,14,7,Jake Plummer pass complete to Marcel Shipp for 13 yards (tackle by Bill Romanowski and Charles Woodson),-1.020,-0.720
2,9:34,4,5,ARI 40,14,7,"Scott Player punts 44 yards, fair catch by Tim Brown",-0.720,0.140
2,9:25,1,10,OAK 16,14,7,Rich Gannon pass complete to Jerry Porter for 26 yards (tackle by Adrian Wilson),-0.140,1.730
2,8:57,1,10,OAK 42,14,7,Jerry Porter left end for 1 yard (tackle by David Barrett),1.730,1.320
2,8:22,2,9,OAK 43,14,7,Rich Gannon pass complete to Roland Williams for 19 yards (tackle by Raynoch Thompson),1.320,3.050
2,7:37,1,10,ARI 38,14,7,Rich Gannon pass complete to Jerry Rice for 11 yards (tackle by David Barrett),3.050,3.780
2,6:55,1,10,ARI 27,14,7,Tyrone Wheatley right tackle for 9 yards (tackle by Kwamie Lassiter and Raynoch Thompson),3.780,4.530
2,6:20,2,1,ARI 18,14,7,Tyrone Wheatley right guard for 4 yards (tackle by Ronald McKinnon),4.530,4.650
2,5:38,1,10,ARI 14,20,7,"Rich Gannon pass complete to Jerry Porter for 14 yards, touchdown",4.650,7.000
2,5:38,,,ARI 14,21,7,Sebastian Janikowski kicks extra point good,0.000,0.000
2,5:38,,,OAK 30,21,7,"Sebastian Janikowski kicks off 74 yards, touchback",0.000,0.280
2,5:31,1,10,ARI 20,21,7,Marcel Shipp right tackle for 3 yards (tackle by Eric Barton),0.280,0.140
2,4:52,2,7,ARI 23,21,7,Marcel Shipp left guard for no gain (tackle by Eric Barton and Travian Smith),0.140,-0.560
2,4:12,3,7,ARI 23,21,7,Jake Plummer pass complete to Arnold Jackson for 4 yards (tackle by Terrance Shaw),-0.560,-1.570
2,3:39,4,3,ARI 27,21,7,"Scott Player punts 51 yards, returned by Charles Woodson for 5 yards (tackle by Justin Lucas). Penalty on OAK: Illegal Procedure, 5 yards (no play)",-1.570,1.070
2,3:26,1,10,ARI 32,21,7,Jake Plummer pass complete to Jason McAddley for 9 yards (tackle by Eric Barton),1.070,1.740
2,2:57,2,1,ARI 41,21,7,Marcel Shipp left guard for 39 yards (tackle by Rod Woodson),1.740,4.240
2,2:23,1,10,OAK 20,21,7,Jake Plummer pass incomplete intended for Freddie Jones (defended by Travian Smith),4.240,3.690
2,2:18,2,10,OAK 20,21,7,Damien Anderson left guard for 4 yards (tackle by Roderick Coleman and DeLawrence Grant),3.690,3.520
2,2:00,3,6,OAK 16,21,7,Jake Plummer pass complete to Arnold Jackson for 10 yards (tackle by Charles Woodson),3.520,5.830
2,1:40,3,6,OAK 16,,,Timeout #1 by Oakland Raiders,3.520,5.830
2,1:40,1,6,OAK 6,21,7,Jake Plummer pass incomplete intended for Frank Sanders,5.830,4.950
2,1:34,2,6,OAK 6,21,7,Jake Plummer pass incomplete. Penalty on ARI: Illegal Receiver Pass (Declined),4.950,4.040
2,1:28,3,6,OAK 6,21,7,Jake Plummer pass complete to Steve Bush for 5 yards (tackle by Eric Barton and Travian Smith),4.040,3.550
2,1:13,3,6,OAK 6,,,Timeout #2 by Oakland Raiders,4.040,3.550
2,1:13,4,1,OAK 1,21,13,"Jake Plummer pass complete to Joel Makovicka for 1 yard, touchdown",3.550,7.000
2,1:13,,,OAK 1,21,14,Bill Gramatica kicks extra point good,0.000,0.000
2,1:13,,,ARI 30,21,14,"Bill Gramatica kicks off 66 yards, returned by Marcus Knight for 20 yards (tackle by Dennis McKinley). Penalty on Brandon Jennings: Offensive Holding, 10 yards",0.000,-0.140
2,1:03,1,10,OAK 16,21,14,Rich Gannon pass complete to Tim Brown for 9 yards (tackle by Raynoch Thompson),-0.140,0.690
2,0:43,2,1,OAK 25,21,14,Rich Gannon pass complete to Tim Brown for 6 yards,0.690,1.000
2,0:39,1,10,OAK 31,21,14,Rich Gannon pass incomplete intended for Jerry Rice,1.000,0.460
2,0:34,2,10,OAK 31,21,14,Rich Gannon pass complete to Charlie Garner for 10 yards (tackle by David Barrett and Adrian Wilson),0.460,1.660
2,0:24,2,10,OAK 31,,,Timeout #3 by Oakland Raiders,0.460,1.660
2,0:24,1,10,OAK 41,21,14,Rich Gannon pass complete to Jerry Porter for 9 yards,1.660,2.340
2,0:19,2,1,,21,14,Rich Gannon pass complete to Jerry Rice for 28 yards (tackle by Kwamie Lassiter),2.340,4.110
2,0:02,1,10,ARI 22,21,14,"Penalty on OAK: False Start, 5 yards (no play)",4.110,3.560
Quarter,Time,Down,ToGo,Location,OAK,ARI,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,ARI 30,21,14,"Bill Gramatica kicks off 62 yards, returned by Marcus Knight for 30 yards (tackle by Kwamie Lassiter)",0.000,1.470
3,14:54,1,10,OAK 38,21,14,"Penalty on Kyle Vanden Bosch: False Start, 5 yards (no play)",1.470,2.200
3,14:53,1,5,OAK 43,21,14,Charlie Garner right tackle for 7 yards (tackle by Adrian Wilson),2.200,2.260
3,14:18,1,10,,21,14,Rich Gannon pass complete to Jerry Rice for 9 yards (tackle by David Barrett and Kwamie Lassiter),2.260,2.930
3,13:37,2,1,ARI 41,21,14,"Rich Gannon pass complete to Tim Brown for 4 yards (tackle by Raynoch Thompson). Penalty on OAK: Illegal Shift, 5 yards (no play)",2.930,2.250
3,13:16,2,6,ARI 46,21,14,Rich Gannon pass incomplete intended for Charlie Garner,2.250,1.550
3,13:13,3,6,ARI 46,21,14,Rich Gannon pass complete to Jerry Rice for 8 yards (tackle by Raynoch Thompson),1.550,3.050
3,12:30,1,10,ARI 38,21,14,Rich Gannon pass incomplete intended for Jerry Porter,3.050,2.510
3,12:21,2,10,ARI 38,21,14,Charlie Garner right guard for 8 yards (tackle by Ronald McKinnon and LeVar Woods),2.510,2.870
3,11:37,3,2,ARI 30,21,14,Rich Gannon pass incomplete intended for Tim Brown,2.870,1.500
3,11:32,4,2,ARI 30,21,14,Rich Gannon pass complete to Tim Brown for 12 yards (tackle by Raynoch Thompson),1.500,4.370
3,10:56,1,10,ARI 18,21,14,Charlie Garner right end for 5 yards (tackle by LeVar Woods and Raynoch Thompson),4.370,4.610
3,10:14,2,5,ARI 13,21,14,Rich Gannon pass complete to Charlie Garner for 11 yards (tackle by David Barrett),4.610,6.740
3,9:49,1,2,ARI 2,27,14,"Tyrone Wheatley left guard for 2 yards, touchdown",6.740,7.000
3,9:49,,,ARI 2,28,14,Sebastian Janikowski kicks extra point good,0.000,0.000
3,9:49,,,OAK 30,28,14,"Sebastian Janikowski kicks off 70 yards, returned by Kevin Kasper for 22 yards (tackle by Zack Crockett)",0.000,0.410
3,9:40,1,10,ARI 22,28,14,Marcel Shipp middle for 3 yards (tackle by Rod Woodson and Travian Smith),0.410,0.270
3,9:01,2,7,ARI 25,28,14,Marcel Shipp left end for 2 yards (tackle by Eric Barton),0.270,-0.160
3,8:19,3,5,ARI 27,28,14,Jake Plummer pass incomplete intended for Frank Sanders,-0.160,-1.570
3,8:19,4,5,ARI 27,28,14,"Scott Player punts 48 yards, returned by Tim Brown for 11 yards (tackle by Michael Young)",-1.570,-1.330
3,8:04,1,10,OAK 36,28,14,Rich Gannon pass incomplete (defended by Russell Davis),1.330,0.790
3,7:59,2,10,OAK 36,28,14,Rich Gannon pass complete to Jerry Porter for 11 yards (tackle by Adrian Wilson),0.790,2.060
3,7:31,1,10,OAK 47,28,14,Charlie Garner right tackle for 5 yards (tackle by Ronald McKinnon),2.060,2.190
3,6:51,2,5,ARI 48,28,14,Rich Gannon pass complete to Jerry Rice for 8 yards (tackle by David Barrett),2.190,2.920
3,6:11,1,10,ARI 40,28,14,Charlie Garner right end for 2 yards (tackle by Raynoch Thompson and Duane Starks),2.920,2.640
3,5:29,2,8,ARI 38,28,14,Rich Gannon pass complete to Tyrone Wheatley for 1 yard (tackle by LeVar Woods),2.640,2.080
3,5:10,3,7,ARI 37,34,14,"Rich Gannon pass complete to Jerry Rice for 37 yards, touchdown",2.080,7.000
3,5:10,,,ARI 37,35,14,Sebastian Janikowski kicks extra point good,0.000,0.000
3,5:10,,,OAK 30,35,14,"Sebastian Janikowski kicks off 66 yards, returned by Kevin Kasper for 56 yards (tackle by Sebastian Janikowski). Penalty on Michael Young: Offensive Holding, 10 yards",0.000,-0.320
3,4:51,1,10,ARI 13,35,14,Jake Plummer pass complete to Jason McAddley for 11 yards (tackle by Tory James),-0.320,0.540
3,4:17,1,10,ARI 24,35,14,Marcel Shipp left tackle for 1 yard (tackle by Travian Smith),0.540,0.130
3,3:41,2,9,ARI 25,35,14,Jake Plummer pass incomplete intended for Freddie Jones,0.130,-0.560
3,3:36,3,9,ARI 25,35,14,"Penalty on Chris Dishman: False Start, 5 yards (no play)",-0.560,-1.220
3,3:35,3,14,ARI 20,35,14,Jake Plummer pass incomplete intended for Jason McAddley (defended by Bill Romanowski),-1.220,-2.030
3,3:31,4,14,ARI 20,35,14,"Scott Player punts 37 yards, fair catch by Tim Brown. Penalty on Anthony Dorsett: Defensive Holding, 10 yards",-2.030,-1.140
3,3:24,1,10,OAK 33,35,14,Charlie Garner left end for 6 yards (tackle by David Barrett),1.140,1.400
3,2:59,2,4,OAK 39,35,14,Charlie Garner right end for no gain (tackle by Raynoch Thompson),1.400,0.700
3,2:21,3,4,OAK 39,35,14,Rich Gannon pass complete to Charlie Garner for 42 yards (tackle by Duane Starks and Kwamie Lassiter),0.700,4.310
3,1:41,1,10,ARI 19,35,14,Tyrone Wheatley right tackle for 5 yards (tackle by Russell Davis and Kwamie Lassiter),4.310,4.530
3,1:02,2,5,ARI 14,35,14,"Rich Gannon pass complete to Tim Brown for 14 yards. Penalty on Jerry Porter: Offensive Offside, 5 yards (no play)",4.530,3.750
3,0:56,2,10,ARI 19,35,14,Rich Gannon pass incomplete intended for Tyrone Wheatley,3.750,3.030
3,0:51,2,10,ARI 19,,,Timeout #1 by Oakland Raiders,3.750,3.030
3,0:51,3,10,ARI 19,35,14,Rich Gannon pass incomplete intended for Jerry Rice (defended by Duane Starks),3.030,2.180
3,0:51,4,10,ARI 19,38,14,Sebastian Janikowski 37 yard field goal good,2.180,3.000
3,0:51,,,OAK 30,38,14,"Sebastian Janikowski kicks off 70 yards, returned by Kevin Kasper for 35 yards (tackle by Tim Johnson)",0.000,1.270
3,0:35,1,10,ARI 35,38,14,Jake Plummer pass complete to Marcel Shipp for 7 yards (tackle by Eric Barton and Bill Romanowski),1.270,1.670
Quarter,Time,Down,ToGo,Location,OAK,ARI,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,3,ARI 42,38,14,Jake Plummer pass incomplete intended for Freddie Jones,1.670,0.960
4,14:57,3,3,ARI 42,38,14,Jake Plummer pass incomplete intended for Jason McAddley (defended by Charles Woodson),0.960,-0.590
4,14:53,4,3,ARI 42,38,14,Scott Player punts 55 yards,-0.590,0.380
4,14:40,1,10,OAK 3,38,14,Rich Gannon pass incomplete intended for Charlie Garner,-0.380,-0.780
4,14:35,2,10,OAK 3,38,14,Rich Gannon pass complete to Jon Ritchie for 4 yards (tackle by Duane Starks),-0.780,-0.950
4,13:59,3,6,OAK 7,38,14,Rich Gannon pass complete to Tim Brown for 5 yards (tackle by Raynoch Thompson),-0.950,-2.490
4,13:59,4,1,OAK 12,38,14,"Shane Lechler punts 34 yards, out of bounds",-2.490,-2.520
4,13:16,1,10,OAK 46,38,14,"Jake Plummer pass complete to Frank Sanders for 8 yards (tackle by Eric Barton). Penalty on Eric Barton: Face Mask (15 Yards), 15 yards",2.520,4.040
4,12:53,1,10,OAK 23,38,14,Jake Plummer sacked by Sam Adams for -10 yards,4.040,2.150
4,12:17,2,20,OAK 33,38,14,Jake Plummer pass complete to Freddie Jones for 6 yards (tackle by Bill Romanowski and Eric Barton),2.150,2.280
4,11:45,3,14,OAK 27,38,14,Jake Plummer pass complete to Frank Sanders for 16 yards (tackle by Tory James),2.280,4.840
4,10:59,1,10,OAK 11,38,14,Jake Plummer pass incomplete intended for Jason McAddley,4.840,4.140
4,10:55,2,10,OAK 11,38,20,"Jake Plummer pass complete to Arnold Jackson for 11 yards, touchdown",4.140,7.000
4,10:55,2,,OAK 11,38,20,"Two Point Attempt: Jake Plummer pass incomplete intended for Jason McAddley, conversion fails",1.000,-1.000
4,10:55,,,ARI 30,38,20,"Bill Gramatica kicks off 55 yards, returned by Marcus Knight for 14 yards (tackle by Raynoch Thompson). Penalty on Michael Young: Offensive Offside (Declined)",0.000,0.870
4,10:44,1,10,OAK 29,38,20,Rich Gannon pass incomplete intended for Jerry Rice (defended by David Barrett),0.870,0.330
4,10:39,2,10,OAK 29,38,20,"Charlie Garner left tackle for 3 yards (tackle by Kwamie Lassiter and Adrian Wilson). Penalty on Roland Williams: Offensive Holding, 10 yards",0.330,-0.620
4,10:32,2,17,OAK 22,38,20,Rich Gannon pass incomplete intended for Jerry Rice,-0.620,-1.290
4,10:22,3,17,OAK 22,38,20,Rich Gannon pass incomplete intended for Tyrone Wheatley,-1.290,-1.900
4,10:18,4,17,OAK 22,38,20,"Shane Lechler punts 45 yards. Penalty on LeVar Woods: Roughing the Kicker, 15 yards (no play)",-1.900,1.400
4,10:06,1,10,OAK 37,38,20,Charlie Garner left tackle for 7 yards (tackle by Adrian Wilson),1.400,1.800
4,9:30,2,3,OAK 44,38,20,Charlie Garner right guard for 5 yards (tackle by Marcus Bell and Dennis Johnson),1.800,2.190
4,8:52,1,10,OAK 49,38,20,Rich Gannon right end for 6 yards,2.190,2.460
4,8:23,2,4,ARI 45,38,20,Tyrone Wheatley left tackle for 12 yards (tackle by Kwamie Lassiter and Adrian Wilson),2.460,3.380
4,7:40,1,10,ARI 33,38,20,Rich Gannon pass incomplete intended for Jerry Rice is intercepted by Kwamie Lassiter at ARI-7,3.380,0.380
4,7:32,1,10,ARI 7,38,20,Jake Plummer sacked by Roderick Coleman and Travian Smith for -4 yards,-0.380,-1.070
4,7:08,2,14,ARI 3,38,20,Marcel Shipp left guard for 7 yards (tackle by Rod Woodson and Bill Romanowski),-1.070,-1.070
4,6:32,3,7,ARI 10,38,20,Jake Plummer pass incomplete intended for Jason McAddley (defended by Roderick Coleman),-1.070,-2.490
4,6:25,4,7,ARI 10,38,20,"Scott Player punts 52 yards, fair catch by Tim Brown",-2.490,-1.470
4,6:19,1,10,OAK 38,38,20,Tyrone Wheatley right end for 6 yards (tackle by Duane Starks and Adrian Wilson),1.470,1.730
4,5:45,2,4,OAK 44,38,20,Tyrone Wheatley left end for -1 yards (tackle by Levar Fisher and Wendell Bryant),1.730,0.890
4,4:57,3,5,OAK 43,38,20,"Penalty on OAK: Delay of Game, 5 yards (no play)",0.890,0.230
4,4:56,3,10,OAK 38,38,20,Rich Gannon pass incomplete intended for Tyrone Wheatley,0.230,-0.850
4,4:49,4,10,OAK 38,38,20,"Shane Lechler punts 34 yards, out of bounds",-0.850,-0.810
4,4:41,1,10,ARI 28,38,20,Jake Plummer pass complete to Freddie Jones for 1 yard (tackle by Anthony Dorsett),0.810,0.400
4,4:08,2,9,ARI 29,38,20,Jake Plummer pass complete to Freddie Jones for 2 yards (tackle by Charles Woodson),0.400,-0.030
4,3:44,3,7,ARI 31,38,20,Jake Plummer pass incomplete intended for Jason McAddley,-0.030,-1.310
4,3:38,4,7,ARI 31,38,20,"Scott Player punts 41 yards, fair catch by Tim Brown",-1.310,-0.810
4,3:30,1,10,OAK 28,38,20,Tyrone Wheatley left tackle for 2 yards (tackle by Levar Fisher),0.810,0.530
4,3:17,1,10,OAK 28,,,Timeout #1 by Arizona Cardinals,0.810,0.530
4,3:17,2,8,OAK 30,38,20,Tyrone Wheatley left end for 36 yards (tackle by Levar Fisher),0.530,3.310
4,3:09,1,10,ARI 34,38,20,Tyrone Wheatley right end for -3 yards (tackle by Raynoch Thompson),3.310,2.370
4,2:24,2,13,ARI 37,38,20,Tyrone Wheatley middle for -2 yards (tackle by Fred Wakefield),2.370,1.420
4,2:14,2,13,ARI 37,,,Timeout #2 by Arizona Cardinals,2.370,1.420
4,2:14,3,15,ARI 39,38,20,Tyrone Wheatley right end for 6 yards (tackle by Russell Davis and Raynoch Thompson),1.420,1.150
4,2:00,4,9,ARI 33,41,20,Sebastian Janikowski 51 yard field goal good,1.150,3.000
4,2:00,,,OAK 30,41,20,"Sebastian Janikowski kicks off 48 yards, returned by Mike Banks for 18 yards (tackle by Randy Jordan)",0.000,1.600
4,1:48,1,10,ARI 40,41,20,Jake Plummer pass incomplete intended for Freddie Jones,1.600,1.050
4,1:44,2,10,ARI 40,41,20,Jake Plummer pass incomplete intended for Jason McAddley is intercepted by Tory James at OAK-44,1.050,-1.860
4,1:35,1,10,OAK 44,41,20,Rich Gannon middle for -2 yards,1.860,1.050
4,0:54,2,12,OAK 42,41,20,Rich Gannon middle for -1 yards,1.050,0.230
4,0:12,3,13,OAK 41,41,20,Rich Gannon middle for -1 yards,0.230,-0.720
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
