Unnamed: 0,OAK,ARI
First Downs,28,15
Rush-Yds-TDs,37-187-2,20-132-1
Cmp-Att-Yd-TD-INT,27-45-340-3-1,16-34-145-2-2
Sacked-Yards,1-7,2-14
Net Pass Yards,333,131
Total Yards,520,263
Fumbles-Lost,0-0,1-1
Turnovers,1,3
Penalties-Yards,13-105,5-35
Third Down Conv.,4-14,2-12
Fourth Down Conv.,1-1,1-1
Time of Possession,36:17,23:43
