#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,15:00,ARI 22,4,2:29,16,Punt
2,1,11:47,ARI 21,1,0:07,-8,Fumble
3,1,8:51,ARI 17,3,1:09,8,Punt
4,1,3:14,ARI 20,2,0:48,3,Interception
5,1,1:14,ARI 21,5,2:21,79,Touchdown
6,2,12:17,ARI 4,5,2:52,36,Punt
7,2,5:31,ARI 20,12,4:23,80,Touchdown
8,3,9:45,ARI 22,3,1:41,5,Punt
9,3,5:02,ARI 13,4,1:38,7,Punt
10,3,0:43,ARI 35,3,1:03,7,Punt
11,4,13:16,OAK 46,6,2:27,46,Touchdown
12,4,7:32,ARI 7,3,1:13,3,Punt
13,4,4:41,ARI 28,3,1:11,3,Punt
14,4,1:56,ARI 40,2,0:21,0,Interception
