Quarter,Time,Tm,Detail,OAK,ARI
1.0,8:51,Raiders,Jerry Porter 7 yard pass from Rich Gannon (Sebastian Janikowski kick),7,0
,1:14,Raiders,Charlie Garner 8 yard rush (Sebastian Janikowski kick),14,0
2.0,13:53,Cardinals,Marcel Shipp 3 yard rush (Bill Gramatica kick),14,7
,5:31,Raiders,Jerry Porter 14 yard pass from Rich Gannon (Sebastian Janikowski kick),21,7
,1:08,Cardinals,Joel Makovicka 1 yard pass from Jake Plummer (Bill Gramatica kick),21,14
3.0,9:45,Raiders,Tyrone Wheatley 2 yard rush (Sebastian Janikowski kick),28,14
,5:02,Raiders,Jerry Rice 37 yard pass from Rich Gannon (Sebastian Janikowski kick),35,14
,0:43,Raiders,Sebastian Janikowski 37 yard field goal,38,14
4.0,10:49,Cardinals,Arnold Jackson 11 yard pass from Jake Plummer (pass failed),38,20
,1:56,Raiders,Sebastian Janikowski 51 yard field goal,41,20
